Mixture	Chondrocyte.articular	B.cell.naive	B.cell.memory	Monocyte.CD14	NK.cell.CD56	Endothelial.large.blood.vessel	Endothelial.microvascular.mammary.or.endometrial	Endothelial.microvascular.non.reproductive	Epithelial.cell.mammary	Epithelial.renal.cortical	Epithelial.respiratory	Fibroblast.cardiac.ventricle	Fibroblast.of.arm	Fibroblast.of.lung	Fibroblast.of.the.aortic.adventitia	Fibroblast.or.papilla.dermal.cell	Hair.follicular.keratinocyte	Macrophage	Mature.neutrophil	Melanocyte.of.skin	Myometrial.cell	Osteoblast	MSC.like.pluripotent.cell	Myocyte.regular.cardiac	Smooth.muscle.cell.aortic	Smooth.muscle.cell.bronchial	Smooth.muscle.cell.of.bladder	Smooth.muscle.cell.coronary.artery	Smooth.muscle.cell.pulmonary.artery	Smooth.muscle.cell.of.trachea	Smooth.muscle.cell.uterine	T.Cell.CD4	T.cell.CD4.memory	T.cell.CD8.memory	P-value	Correlation	RMSE	Absolute score (sig.score)
mix_1	0	0	0.144712494416272	0.383956640322541	0.0706715426036897	0	0.0519706545245713	0	0.00817187031080195	0	0	0.0148170162656189	0.0209025111588124	0.0885412874408403	0.166075224377892	0.00486828285404417	0	0.023496194550718	0	0	0.0506539571747813	0.00250652038505995	0	0.0701758967193759	0	0	0.00268158965727376	0	0	0.0107211907209393	0.0846247153502421	0.0972679954750704	0.1807179477052	0.0222517574654399	9999	0.343778834505839	0.943864675478404	1.49978528947918
mix_2	0	0	0.137897467331354	0.433171323290643	0.0408676974027958	0	0.0533528024676371	0	0.0102055358299227	0	0.00421664205110495	0.0128442380133663	0.0233323544541778	0.0915574365336769	0.170266782194706	0.00466486690559033	0	0.0347450117217011	0	0	0.0540709546942468	0.00349188840628077	0	0.0730237815033402	0	0	0.00292808621298783	0	0	0.00738008531367511	0.082036836144868	0.0988112376546374	0.16487221913329	0.00264820562719012	9999	0.332870894119055	0.950071723581489	1.50638545288719
mix_3	0	0	0.171337371080821	0.165124553035304	0.0411886943655271	0	0.0561495430038595	0	0.00773794133210574	0	0	0.0207216575774039	0.0151243113121079	0.0687661166234925	0.160251520742453	0.0032196161896327	0.00285833857050547	0.00195469773842468	0	0	0.0350252171627296	0	0	0.0614485562235249	0	0	0	0	0	0.0130615782754665	0.117983961260921	0.105100573108688	0.414289913244942	0.0442630139036537	9999	0.343208810484209	0.94314745037941	1.50560717475156
mix_4	0	0.00194112709385289	0.158658818393758	0.279429190141017	0.0486179775078396	0	0.0585210109792838	0	0.00372808492715479	0	0	0.0232322122060224	0.0181590607777801	0.0856495309275126	0.163915885270509	0.00661718921294801	0.00070592499607489	0.00371748153832286	0	0	0.0351608265320348	0	0	0.0647639634148196	0	0	0	0	0	0	0.129617415625482	0.0768412261316775	0.316328185153748	0.0330832549000834	9999	0.352678066010405	0.939409385962486	1.50868836572992
mix_5	0	0	0.15317728058985	0.250662099117041	0.0723913518881322	0	0.0591841063928958	0	0.0018394157928068	0	0	0.0227526235786049	0.0204805151077351	0.08406831263407	0.159917744745631	0.00842649969585442	0.00086467357692158	0.00203518186151835	0	0	0.0323366796134947	0	0	0.0647500880201194	0	0	0	0	0	0	0.133783821448689	0.0747991171009098	0.320685121191681	0.0419643894761148	9999	0.353433346399957	0.938939093832341	1.50411902183207
mix_6	0	0	0.151580080975281	0.333824492579312	0.0482539327073319	0	0.052670139095032	0	0.00417885717476583	0	0	0.0251615835505451	0.0200706647290921	0.0885333354607569	0.157958899562456	0.011798464967786	0.000595364300921105	0.00703246483029078	0	0.000354322354066261	0.0379277875190569	0	0	0.0649060999309528	0	0	3.94429056018282e-05	0	0	0.000328385712871356	0.125480205870587	0.0761185650798993	0.280091279783409	0.020717664389625	9999	0.35188990030335	0.939977204388337	1.50762203347964
mix_7	0	0.0194353077943515	0.174630365915337	0.222302583423351	0.0637102268812555	0	0.0630186802350376	0	0.00540951510195931	0	0	0.0221232210704688	0.0146720448402729	0.0726769738693323	0.167125909274754	0.00310246990705503	0.000498137814673478	0.000569724147466275	0	0	0.0308283175699377	0	0	0.059803496010905	0	0	0	0	0	0	0.135339831566943	0.0806401387084721	0.318678344622527	0.037242649834891	9999	0.34727619534932	0.941439089357455	1.49180793858899
mix_8	0	0	0.173643976082314	0.363570504909351	0.0089541589509884	0	0.053574021673337	0	0.0070628100322131	0	0	0.0236997537129247	0.021900941711499	0.0898329428698367	0.160783548671809	0.0112739965304365	0	0.0197894850930563	0	0	0.0423496589607788	0	0	0.0696638151810924	0	0	0	0	0	0.00568942849491008	0.111528521695152	0.085200342606101	0.247582721755017	0	9999	0.34380445823891	0.944910899893062	1.49610062893082
mix_9	0	0	0.131164536658374	0.331941517489688	0.0713705027795357	0	0.054718499297197	0	0.00316537825943842	0	0	0.0246756948738595	0.0201364959970201	0.0839715539386839	0.162650451598123	0.00957493550602167	0.000688548440394615	0.0115139162325764	0	0.000272335308257622	0.0377677227293323	0	0	0.0666868019308217	0	0	0.000342961303687486	0	0	0	0.125503324468894	0.0776978556711427	0.268783164581815	0.0271209005429197	9999	0.3530286086641	0.939353703281228	1.50974709760778
mix_10	0	0.0311512289520859	0.190252166412618	0.263361786243783	0.00627103288260944	0	0.0641937317919706	0	0.00294372887075336	0	0	0.0221179261795719	0.0130828893960462	0.0828942203087813	0.161112943565192	0.00265067819486344	0.00075741215106787	0.00440348016453529	0	0	0.0318215936577879	0	0	0.0582042006717219	0	0	0	0	0	0	0.138628500414261	0.0701061283771134	0.321132553774755	0.0267217365794731	9999	0.35087942040262	0.939926391541047	1.49180793858899
