Mixture	naive_B_cell	memory_B_cell	CD14_positive_monocyte	CD16_positive_monocyte	CD56dim_natural_killer_cell	CD56bright_natural_killer_cell	neutrophil	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell	macrophage_m0	macrophage_m1	macrophage_m2	MAST_cell	basophil	eosinophil	gamma_delta_T_cell	hematopoietic_progenitor	myeloid_dendritic_cell	plasma_cell	plasmacytoid_dendritic_cell	P-value	Correlation	RMSE
mix_1	0.0863192058153017	0	0.274548984898067	0	0.218268271333178	0	0	0.266900639709487	0.0604202246864501	0	0	0.0486988240641216	0.00616935968833866	0.00190467947690714	0	0	0.00140644994835109	0	0	0.0353633603797981	9999	0.598199206299928	0.800409405706864
mix_2	0.0368579303162972	0	0.317304093345625	0.0123146011734448	0.213263147986951	0	0	0.246783353115422	0.0669317187129104	0	0	0.0757715107174436	0.00284646018771363	0	0	0	0	0	0	0.0279271844441921	9999	0.561055386891667	0.827731448938512
mix_3	0.164159591056731	0	0.0910206228275068	0	0.113240889390899	0	0	0.503382341254441	0.0714065965752214	0	0	0.027925823357255	0	0	0	0	0.0069136317391301	0	0	0.0219505037988153	9999	0.613469125303794	0.794517434564467
mix_4	0.215381371576967	0	0.152682861781502	0	0.165832519839909	0	0	0.34582728909727	0.068409165118688	0	0	0.0289647105796256	0.00775268586920399	0	0	0	0.00323606145581961	0	0	0.0119133346810146	9999	0.614770912731226	0.790616760408547
mix_5	0.223794409142545	0	0.153868649583672	0	0.150638727009798	0	0	0.300867253466418	0.101599548511144	0	0	0.0343118499804477	0	0.00676191013421538	0	0	0.00387327601280173	0	0	0.0242843761589585	9999	0.609101981791895	0.79434662308314
mix_6	0.191655820855675	0	0.197666205415559	0	0.1798617342638	0	0.000706710749309116	0.271408263691697	0.0920209423792744	0	0	0.0383765110608653	0.00880784776375547	0.00208826180806699	0	0	0.0045941657921171	0	0	0.0128135362198814	9999	0.612919207969591	0.790974032233943
mix_7	0.274460602160954	0	0.111659331528529	0	0.144772134902011	0	0	0.342720361637141	0.0705908023960931	0	0	0.0275133352437471	0.00834159329673784	0	0	0	0.00322175230702441	0	0	0.0167200865277628	9999	0.633546526012868	0.777192790555862
mix_8	0.21874818029685	0	0.197262019810829	0	0.159294326709804	0	0.00356939395574794	0.304765413593126	0.0435453541815006	0	0	0.0493965355365032	0.00165173981256656	0.000184703431760837	0	0	0.000120147000737716	0	0	0.021462185670575	9999	0.61858980046261	0.787436258488253
mix_9	0.102078925921706	0	0.215427872364445	0	0.200684628091069	0	0	0.33676947912006	0.0644490167230976	0	0	0.0529328610040192	0.00616305934770627	5.22132240704307e-05	0	0	0.00225823298203576	0	0	0.0191837112217911	9999	0.59397814838209	0.804191833745416
mix_10	0.268337156074939	0	0.130114154842573	0	0.134993861542161	0	0	0.317985118226411	0.0950134268461992	0	0	0.0315508106057686	0.00739562153591764	0	0	0	6.22098629822793e-05	0	0.00419164155652086	0.0103559989065284	9999	0.622088145902256	0.78477860662576
mix_11	0.0919671308924098	0	0.288363718681631	0.00445871371747301	0.184818099900709	0	0.00176680176064352	0.275500685448779	0.0382804211189055	0	0	0.0764557327178359	0.00532401005533592	0	0	0	0	0	0	0.0330646857062779	9999	0.576853786936706	0.815328875814046
mix_12	0.0275600442683755	0	0.244552476202653	0.015000950595357	0.190480562056707	0	0.00242160851931523	0.326077058853862	0.0941685124001164	0	0	0.0598845873825473	0.0129061542585216	0	0	0	0.00356337742630412	0	0	0.0233846680362407	9999	0.555256536086595	0.830146309761695
mix_13	0.375923775823057	0	0.116237084391381	0	0.140274665563808	0	0	0.21630770229507	0.0929601824271119	0	0	0.0278469838213688	0.00360987020973268	0	0	0	0.00130252179590274	0	0	0.0255372136725682	9999	0.636916960943066	0.771223212299901
mix_14	0.290090051010057	0	0.128924815249698	0	0.140409082995743	0	0	0.287890609482021	0.105067174725107	0	0	0.0268824956265164	0.00701705487264239	0	0	0	0.000865672539552427	0	0.00361067721805716	0.00924236628060506	9999	0.631581636112009	0.777172148651973
mix_15	0.313855669596973	0	0.093702520475963	0.00587059164579484	0.15119306586404	0	0	0.194818633342338	0.178968708034674	0	0	0.0216358370494294	0.0102972027507314	0	0	0	0.00468772158925192	0	0.00250217108882107	0.0224678785619828	9999	0.632382201825892	0.77524260108143
mix_16	0.163736040252683	0	0.125256782184512	0	0.147029555770612	0	0	0.438410703828851	0.0677486563413511	0	0	0.0299421236344342	0.00643924192795791	0	0	0	0.00370078837427751	0	0	0.0177361076853208	9999	0.60515281772753	0.798973995053199
mix_17	0.369953474831767	0	0.0131159903614567	0.00302978896141592	0.0911746020854344	0	0.0108749150526641	0.292051912176861	0.166382086264445	0	0	0.0226960523816113	0.0207769959610609	0.00146289023576652	0	0	0	0	0	0.00848129168751695	9999	0.666128115300003	0.748717921118574
mix_18	0.0975843316313466	0	0.32641102925818	0.00956765862450431	0.198124764194198	0	0.00128218395070907	0.209008996757627	0.0614865708279374	0	0	0.0682534796928988	0.00394027368448556	0.00166836536426911	0	0	0	0	0	0.0226723460138444	9999	0.573179842300171	0.818806892660421
mix_19	0.219527025929639	0	0.176474758750306	0	0.169765479027998	0	0	0.284887301312261	0.0918099051613613	0	0	0.0348444285317606	0.00413309945480744	0.00107761962326386	0	0	0	0	0	0.0174803822086033	9999	0.621610588755495	0.785084493434152
mix_20	0.160557736481958	0	0	0.00626653554384872	0.0978985535690096	0	0.0402283373428927	0.394623325888185	0.167957592308954	0	0	0.0538767162916807	0.0325258510565066	0.0141199604427083	0	0	0	0	0	0.0319453910742577	9999	0.625071213462242	0.787450197832257
mix_21	0.219880334504897	0	0.138008499978007	0	0.126567781031031	0	0.00216507189837944	0.308070636720457	0.122569169813417	0	0	0.0392908494325638	0	0.00577754332073509	0	0	0.00692306547458662	0	0	0.0307470478259257	9999	0.607125454864886	0.796446973289547
mix_22	0.274365212143025	0	0.193874224081809	0	0.188756277944251	0	0	0.212764583273955	0.0772040165005272	0	0	0.0352415761565108	0.00350777300518801	0	0	0	0.0026858753700737	0	0	0.0116004615246599	9999	0.625101318056967	0.780740627255626
mix_23	0.234728585455576	0	0.162409843841187	0	0.142870933974381	0	0	0.33673679882124	0.0506003630190271	0	0	0.0459435748323125	0.00742781178818652	0	0	0	0.00142875626482053	0	0	0.0178533320032693	9999	0.622915210031627	0.785211826893052
mix_24	0.0269302466515568	0	0.377287094413848	0.00845765141917081	0.224014297283432	0	0	0.17580626040736	0.0506359862900526	0	0	0.0560028953076734	0.0124770487137577	0.00793473452986608	0	0	0	0	0	0.0604537849832831	9999	0.564196852311049	0.826485522332134
mix_25	0.0863853614603491	0	0.184447662839865	0	0.156823667718587	0	6.90730521316864e-05	0.419685916151071	0.0861507227650459	0	0	0.0435875987746072	0.00744019638156849	0	0	0	0.00322071187916282	0	0	0.0121890889776116	9999	0.590011074703167	0.80782566380427
mix_26	0.110357953841096	0	0.011040507931651	0.015920785635573	0.125371068182173	0	0.0162028367367819	0.473772309388436	0.195373377798494	0	0	0.029488467283295	0.00380204666571478	0.00638034052583992	0	0	0.00769722527992529	0	0	0.00459308073102	9999	0.612820516808148	0.791598064483945
mix_27	0.302236128034595	0	0.273256952208693	0	0.191840499502426	0	0	0.12671395279103	0.0209974611288256	0	0	0.0438903806899845	0.00401648136747542	0.00392490731066032	0	0	0	0	0	0.0331232369663108	9999	0.633731343631022	0.772949066425778
mix_28	0.221011578035949	0	0	0.0156549255891207	0.0993755687697113	0	0.0396552970374815	0.392265315255268	0.0960328202823597	0	0	0.0475988505489121	0.0328580445147061	0.0146042090475478	0	0	0	0	0	0.0409433909189429	9999	0.629253575635856	0.785377887502364
mix_29	0.148179609007001	0	0.195382880308892	0	0.194820502872838	0	0	0.33628408440707	0.067572681345243	0	0	0.0271131954972508	0.00642908894634767	0.000431090395765193	0	0	0.00354286679412946	0	0	0.0202440004254636	9999	0.611940122333084	0.79245485344147
mix_30	0.179002655815274	0	0.177769233209813	0	0.180247667003428	0	0	0.323443078134659	0.0830982879033874	0	0	0.0254767067513264	0.00626434703289245	0.00217995648373524	0	0	0.00470933046399973	0	0	0.0178087372014854	9999	0.620046187084737	0.786935505407891
