naive_B_cell	memory_B_cell	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell	macrophage_m0	macrophage_m1	macrophage_m2	MAST_cell
mix_1	0	0	0.000519928420305262	0.00299635741376028	0	0	0	0
mix_2	0.00185947755829267	0.00115342497471031	0	0	0	0	0	0.000884844908156871
mix_3	0	0	0	0	0.00241839792601189	0.00280264599323152	0.00208500202033543	0.000395222904653301
mix_4	0.000170621076639855	6.96965066822046e-05	0.000948795589568416	0.00153904797469775	0	0	0	0
mix_5	0	0	0	3.24449240187014e-05	0	0	0	0
mix_6	0	0	0.000799179344897544	0.00185043337507253	0	0	0	0
mix_7	0	0	0	0	0	0	0	0.000312197760128427
mix_8	0	0	0	0	0	0	0	0
mix_9	0.000144407902151194	2.09771783702818e-06	0.00144549763405277	0.00326620157796132	0	0	0	0
mix_10	0.00175267160835796	0.00140543452444972	0.000676205106758616	0	0	0	0	2.91330990507157e-05
mix_11	0.00207828786222527	0.00126824650026299	0.00104683656779439	0.00321665752347302	0	0	0	0
mix_12	0	0	0.000177801186093394	0.0001617255711165	0	0	0	0
mix_13	0	0	0.00118487387224132	0.000167302070859665	0	0	0	0
mix_14	0.00118798821067111	0.000861675903211706	0.0015754245220876	0.00188943827767158	0	0	0	0
mix_15	0	0	0	0	0	0	0	0
mix_16	0.000600516196105959	0.000647354074979324	0	0	0	0	0	0
mix_17	0	0	0	0	0	0	0	6.93110131767369e-05
mix_18	0.000620508130175859	8.32002056107083e-05	0.000815152827982037	0	0	0	0	9.0725784077813e-07
mix_19	0	0	0	0	0.00108430434131502	0	0.000149181042872364	0.000111810472239862
mix_20	0.00104022220884014	0.000564880079955995	0.000978474639611259	0.00115465065758753	0	0	0	0
mix_21	0	0	0	0	0	0	0	0
mix_22	0	0	0.00102869408832709	0.00219344213909768	0	0	0	0
mix_23	0.00108025640404412	0.000536057305326669	0.00141450402296318	0.00228412980314057	0	0	0	0
mix_24	0	0	0	0	0	0	0	0
mix_25	0.0005937295546314	0.000324718818800922	0.00152364038051863	0.00251896928131334	0	0	0	0
mix_26	0	0	0	0	0	0	0	0
mix_27	0.000617701475543038	0.000240092795008851	0.00110141326458002	0.00306885894020908	0	0	0	0
mix_28	0	0	0.000630123951310313	0.000891180325843496	0	0	0	0
mix_29	0.000284281508584548	0	0.000646419332734016	0.0023541293961856	0	0	0	0
mix_30	0	0	0.00115664767517259	0.00179680271449852	0	0	0	0
mix_31	0	0	0.000714184574746589	9.05940563738644e-05	0	0	0	0
mix_32	0.0012378664342451	0.000601873417145106	0.00180150275440447	0.00195952016400593	0	0	0	0
mix_33	0	0	0.000730148497235366	0	0	0	0	0
mix_34	0.000339849591292478	0	0	0	0	0	0.000560538153268247	0.00196351624672965
mix_35	0	0	0.000613200093880547	0.00109702145825952	0	0	0	0
