B_cells,Monocytes_CD14.CD16.,Monocytes_CD16.CD14.,NK_cells,Neutrophils,T_cells_.CD4..,T_cells_.CD8..
S10001,0.0386918601280691,0,0.0195595458383166,0.11475383676436,0.538046226128991,0.288948531140262,0
S10006,0.080654014242062,0,0,0.180362944694591,0.517902981585437,0.22108005947791,0
S1001,0.0704478999156979,0.0254085375100477,0,0.198792499781059,0.490846345429391,0.214504717363804,0
S10010,0.0385203482815258,0.0218246792137784,0,0.156102515841588,0.543037874985752,0.240514581677355,0
S10011,0.0569892415158553,0.0319901694139403,0,0.137790946427653,0.499291952648659,0.273937689993892,0
S10014,0.0634232929280432,0.00637395435219312,0,0.170566109124899,0.520880763771868,0.238755879822996,0
S10026,0.0686952820858245,0,0,0.186955323025789,0.507990102056651,0.236359292831735,0
S10032,0.0560426547710988,0.0481830045910564,0,0.17566005517177,0.492767332374796,0.22734695309128,0
S10036,0.0925957372074636,0,0,0.180513056490108,0.524133735352774,0.202757470949654,0
S10042,0.0666531947560059,0.0189806322539864,0,0.175607735900335,0.5087098577609,0.230048579328773,0
S10044,0.0621943139774112,0,0,0.180429368729466,0.513046328430157,0.244329988862965,0
S10049,0.0592679344559902,0,0,0.177264336482389,0.509407251033267,0.254060478028354,0
S10057,0.0864203726737514,0.0122579365391506,0,0.165714156735508,0.492140503727701,0.243467030323889,0
S10062,0.0509065305445363,0.0270824682327487,0,0.1583064932699,0.506485002680266,0.257219505272548,0
S10066,0.0265996978327155,0.0177286179661462,0,0.123011545564963,0.558371175816586,0.27428896281959,0
S10067,0.0528757108530848,0,0,0.186619468408852,0.492097707042325,0.268407113695738,0
S1007,0.0806924476347111,0.0138311927854612,0,0.167846979009086,0.510348648921673,0.227280731649068,0
S10073,0.0499441611912729,0,0,0.163032454597926,0.500449353963078,0.286574030247722,0
S10077,0.050667905775045,0,0.0465669338663704,0.136578508947069,0.508433861454962,0.257752789956553,0
