CD14	CD19B	CD4HelperT	CD4MemoryT	CD4NaiveT	CD4RegulatoryT	CD56NK	CD8CytotoxicT	CD8NaiveT
mix_1	0.8475	0.0483	0	0	0.06	0	0.0404	0	0.0037
mix_2	0.9126	0.0448	0	0	0.0397	0	0.0029	0	0
mix_3	0.23	0.2354	0	0	0.4499	0	0.0122	0.0726	0
mix_4	0.4909	0.2852	0	0	0.1644	0	0.0233	0	0.0363
mix_5	0.4584	0.1994	0	0	0.1233	0	0.0809	0.004	0.134
mix_6	0.6768	0.1461	0	0	0.0897	0	0.019	0	0.0683
mix_7	0.309	0.4187	0	0	0.1958	0	0.0485	0.0024	0.0256
mix_8	0.6608	0.2631	0	0	0.0761	0	0	0	0
mix_9	0.7221	0.062	0	0	0.1298	0	0.0656	0	0.0205
mix_10	0.368	0.4547	0	0	0.1052	0	0	0	0.0721
mix_11	0.8856	0.0541	0	0	0.0602	0	0	0	0
mix_12	0.833	0.0313	0	0	0.0865	0	0	0	0.0492
mix_13	0.2792	0.5408	0	0	0.1187	0	0.0571	0	0.0042
mix_14	0.3312	0.5047	0	0	0.0719	0	0	0	0.0923
mix_15	0.1753	0.4453	0	0	0.0845	0	0.1934	0	0.1015
mix_16	0.4224	0.2438	0	0	0.2766	0	0.0033	0.0516	0.0024
mix_17	0.0108	0.7266	0	0	0.1486	0	0	0.0508	0.0632
mix_18	0.9089	0.0639	0	0	0.0272	0	0	0	0
mix_19	0.6149	0.2569	0	0	0.0572	0	0.0095	0	0.0615
mix_20	0.0021	0.1179	0	0	0.325	0	0.0245	0.2626	0.2679
mix_21	0.3476	0.3428	0	0	0.1434	0	0	0.0429	0.1232
mix_22	0.5389	0.3181	0	0	0.0522	0	0.0555	0	0.0354
mix_23	0.5585	0.3248	0	0	0.1166	0	0	0	0
mix_24	0.9415	0.0384	0	0	0.0136	0	0.0065	0	0
mix_25	0.6836	0.0488	0	0	0.206	0	0	0.0189	0.0427
mix_26	0.0324	0.0325	0	0	0.5269	0	0.2621	0.1461	0
mix_27	0.7	0.2804	0	0	0	0	0.0196	0	0
mix_28	0.0192	0.2682	0	0	0.3803	0	0.0534	0.2197	0.0592
mix_29	0.6576	0.1316	0	0	0.1453	0	0.0388	0	0.0268
mix_30	0.6134	0.1937	0	0	0.1226	0	0.0238	0	0.0465
mix_31	0.6767	0.1217	0	0	0.1959	0	0.0057	0	0
mix_32	0.5048	0.2021	0	0	0.192	0	0.0251	0.0158	0.0602
mix_33	0.6651	0.1977	0	0	0.1243	0	0.013	0	0
mix_34	0.8844	0.0362	0	0	0.0645	0	0.015	0	0
mix_35	0.7343	0.1059	0	0	0.0578	0	0.0176	0	0.0843
mix_36	0.3022	0.4177	0	0	0.2752	0	0.0048	0	0
mix_37	0.3711	0.3738	0	0	0.2551	0	0	0	0
mix_38	0.1292	0.1235	0.0075	0	0.542	0	0.1247	0.0731	0
mix_39	0.1502	0.5038	0	0	0.111	0	0.1186	0	0.1165
mix_40	0.6496	0.2043	0	0	0.1461	0	0	0	0
mix_41	0.819	0.0632	0	0	0.0447	0	0.0344	0	0.0387
mix_42	0.0395	0.531	0	0	0.2752	0	0.0121	0.0824	0.0597
mix_43	0.4773	0.0123	0	0	0.211	0	0.1239	0.0407	0.1348
mix_44	0.3937	0.068	0	0	0.408	0	0.0941	0.0362	0
mix_45	0.6383	0.017	0	0	0.2893	0	0	0.0545	0.001
mix_46	0.2096	0.2165	0	0	0.1491	0	0.0635	0.115	0.2462
mix_47	0.648	0.2179	0	0	0.1274	0	0	0	0.0067
mix_48	0.7336	0.2461	0	0	0	0	0.0202	0	0
mix_49	0.6758	0.2447	0	0	0.0364	0	0.0321	0	0.0111
mix_50	0.1881	0.3632	0	0	0.3584	0	0	0.0765	0.0139
mix_51	0.7066	0.2527	0	0	0.0124	0	0.0283	0	0
mix_52	0.0835	0.5892	0	0	0.2551	0	0.071	0	0.0012
mix_53	0.6837	0.2618	0	0	0.0357	0	0.0188	0	0
mix_54	0.0757	0.507	0	0	0.1132	0	0	0.0827	0.2212
mix_55	0.6881	0.2385	0	0	0.0552	0	0.0183	0	0
mix_56	0.4674	0.1423	0	0	0.3121	0	0	0.0658	0.0124
mix_57	0.7527	0.0264	0	0	0.1844	0	0.0366	0	0
mix_58	0.4209	0.2126	0	0	0.2226	0	0.0752	0.0051	0.0636
mix_59	0.8083	0.0362	0	0	0.0422	0	0.0327	0	0.0806
mix_60	0.469	0.3735	0	0	0.0848	0	0	0	0.0727
mix_61	0.0316	0.3451	0.0146	0	0.52	0	0	0.0887	0
mix_62	0.1127	0.313	0.0048	0.0024	0.4652	0	0.0749	0.0271	0
mix_63	0.7895	0.0476	0	0	0.1288	0	0.0098	0	0.0242
mix_64	0.6636	0.2193	0	0	0.1171	0	0	0	0
mix_65	0.4834	0.1884	0	0	0.159	0	0.1582	0	0.0108
mix_66	0.7204	0.2445	0	0	0.0032	0	0.0319	0	0
mix_67	0.0752	0.4989	0	0	0.2517	0	0.0951	0.0336	0.0454
mix_68	0.2272	0.0902	0	0	0.1937	0	0.1718	0.1045	0.2126
mix_69	0.6891	0.2105	0	0	0.1004	0	0	0	0
mix_70	0.4465	0.4443	0	0	0	0	0.1092	0	0
mix_71	0.7204	0.2763	0	0	0.0033	0	0	0	0
mix_72	0.1669	0.6545	0	0	0.1785	0	0	0	0
mix_73	0.3635	0.4695	0	0	0.0542	0	0.1016	0	0.0112
mix_74	0.5188	0.3044	0	0	0.1623	0	0.0145	0	0
mix_75	0.7589	0.2173	0	0	0.0177	0	0.0061	0	0
mix_76	0.4174	0.076	0	0	0.2367	0	0.0998	0.0781	0.092
mix_77	0.0545	0.1085	0	0	0.521	0	0.0378	0.2305	0.0477
mix_78	0.7183	0.1906	0	0	0.0485	0	0.0193	0	0.0233
mix_79	0.8308	0.0554	0	0	0.0976	0	0	0	0.0161
mix_80	0.386	0.3637	0	0	0.1492	0	0	0	0.1012
mix_81	0.4157	0.1519	0	0	0.3433	0	0	0.0823	0.0068
mix_82	0.6347	0.2509	0	0	0.0604	0	0	0	0.054
mix_83	0.7639	0.1867	0	0	0.0338	0	0.0155	0	0
mix_84	0.4791	0.2298	0	0	0.2133	0	0	0.0228	0.055
mix_85	0.487	0.1531	0	0	0.2402	0	0	0.0506	0.0691
mix_86	0.2339	0.0743	0	0	0.4912	0	0.0578	0.1428	0
mix_87	0.6171	0.106	0	0	0.2308	0	0	0.0324	0.0136
mix_88	0.356	0.2588	0	0	0.2465	0	0.0458	0.0411	0.0519
mix_89	0.1478	0.2149	0	0	0.3652	0	0.0245	0.1543	0.0932
mix_90	0.6858	0.0877	0	0	0.1462	0	0	0.0097	0.0705
mix_91	0.7586	0.1752	0	0	0.032	0	0.0342	0	0
mix_92	0.645	0.1677	0	0	0.1832	0	0	0.002	0.0022
mix_93	0.9379	0.0475	0	0	0.0146	0	0	0	0
mix_94	0.8806	0.0315	0	0	0.0227	0	0.0445	0	0.0206
mix_95	0.6895	0.2611	0	0	0.0032	0	0.0462	0	0
mix_96	0.6624	0.2314	0	0	0.0076	0	0.0986	0	0
mix_97	0.7333	0.1403	0	0	0.0914	0	0.0014	0	0.0336
mix_98	0.6629	0.2094	0	0	0.1277	0	0	0	0
mix_99	0	0.1199	0.0288	0	0.6627	0	0	0.1886	0
mix_100	0.6051	0.1856	0	0	0.1904	0	0	0.0081	0.0108
