B_cells	Blood_CD34._cells	Dendritic_cells	Eosinophils	Fibroblasts	Keratinocytes	Lymphatic_endothelial_cells	Macrophages	Monocytes	NK_cells	Neutrophils	Plasma_cells_CD138.	Platelets	Reticulocytes	Subcutaneous_Adipose	T_cells_CD3.	T_cells_CD4.	T_cells_CD8.	T_cells_Gamma_Delta	T_cells_Regulatory	Vascular_Endothelial_Cells
mix_1	0	0	0.0262	0.0413	0.003	0	0.1211	0.0496	0	0	0.0221	0	0	0	0.2127	0	0	0.348	0.1761	0	0
mix_2	0	0	0	0.0681	0	0	0.2011	0	0	0.0161	0	0.0458	0	0	0.1956	0	0	0.2708	0.1657	0	0.0368
mix_3	0	0	0.0354	0.0325	0.1486	0	0.1041	0.0644	0.0216	0	0.0352	0	0	0	0.2852	0	0	0.1773	0.0956	0	0
mix_4	0	0	0	0.0512	0.133	0	0	0	0	0	0	0.0114	0	0	0.1628	0.0451	0	0.3183	0.1568	0.1215	0
mix_5	0	0	0.0145	0.0391	0.1856	0	0	0.002	0	0	0.0276	0.0192	0	0	0.2093	0	0	0.3484	0.1335	0.0207	0
mix_6	0	0	0	0.0282	0.1293	0	0.0381	0	0	0	0	0.0092	0	0	0.1719	0	0	0.3787	0.1598	0.0848	0
mix_7	0	0	0.0071	0.0482	0.1907	0	0.0166	0.0177	0	0	0.0228	0.0212	0	0	0.26	0	0	0.3037	0.112	0	0
mix_8	0	0	0	0.0456	0.1248	0	0.1387	0	0	0.004	0.0044	0	0	0	0.2505	0	0	0.2972	0.1348	0	0
mix_9	0	0	0	0.0402	0.0889	0	0.0084	0	0	0	6e-04	0.0175	0	0	0.1409	0.0444	0	0.388	0.174	0.0971	0
mix_10	0	0	0.0519	0.0498	0.047	0	0.0525	0.0589	0	0	0.0382	0.0402	0	0	0.1894	0.1039	0	0.0992	0.1241	0.1447	0
mix_11	0.0049	0	0.0436	0.0748	0	0	0.1258	0.0554	0.0107	0	0.0153	0.0334	0	0	0.0888	0	0	0.3537	0.187	0	0.0066
mix_12	0	0	0.0101	0.031	0.1734	0	0	0	0	0	0.022	0	0	0	0.2175	0.0205	0	0.3236	0.1252	0.0767	0
mix_13	0	0	0.0055	0.0317	8e-04	0	0.1154	0	0	0	0.0157	0	0	0	0.1892	0.1519	0	0.166	0.1318	0.1626	0.0293
mix_14	0	0	0.062	0.0482	0.0239	0	0.0111	0.0358	0	0	0.0286	0.0227	0	0	0.1426	0.072	0	0.2617	0.1624	0.1289	0
mix_15	0	0	0	0.0309	0.1371	0	0.0942	0	0	0	0.0142	0	0	0	0.2214	0	0	0.349	0.1478	0.0053	0
