B_cells	Monocytes_CD14.CD16.	Monocytes_CD16.CD14.	NK_cells	Neutrophils	T_cells_.CD4..	T_cells_.CD8..
A	0.999999999896771	2.44618122918336e-74	5.67994739267781e-69	0	0	6.06311045426247e-98	1.03229314692048e-10
B	0.999999999895504	2.43558144337578e-74	5.63905983189593e-69	0	0	6.19391222810085e-98	1.04495452312068e-10
C	0.999999999870299	1.57734606164886e-74	4.3590418127067e-69	0	0	9.55579656805912e-98	1.29701415980075e-10
D	0.999999999863698	1.58946010902239e-74	4.52822289810673e-69	0	0	9.78538006633999e-98	1.36301812674682e-10
E	0.999999999866041	1.85660098590135e-74	4.83264347503596e-69	0	0	8.15286929446708e-98	1.33958658669716e-10
F	0.999999999882079	2.06898802942219e-74	5.6788519874127e-69	0	0	5.88897186036477e-98	1.17920673108016e-10
G	0.999999999901168	2.93441397862262e-74	6.85097910010225e-69	0	0	5.36221083798293e-98	9.88319695950813e-11
H	0.999999999898947	3.87138070469783e-74	8.32333044646601e-69	0	0	5.22221885169529e-98	1.01053379447857e-10
I	0.999999999901826	3.8513148954494e-74	8.22804467304991e-69	0	0	5.0664112760393e-98	9.8174037396109e-11
J	0.999999999862502	1.29091960495875e-74	4.18920431672936e-69	0	0	1.03987914438063e-97	1.37498103334309e-10
K	0.999999999858335	1.14952332425565e-74	4.0211714212706e-69	0	0	8.68039308350049e-98	1.41665343200523e-10
L	0.999999999854118	1.70180709397012e-74	4.74335523965514e-69	0	0	1.00189629148358e-97	1.45882312456343e-10
