CD14	CD19B	CD4HelperT	CD4MemoryT	CD4NaiveT	CD4RegulatoryT	CD56NK	CD8CytotoxicT	CD8NaiveT
Mix_1	NA	NA	NA	NA	0	NA	NA	NA	NA
Mix_2	NA	NA	NA	NA	0	NA	NA	NA	NA
Mix_3	NA	0	NA	NA	0	NA	NA	NA	NA
Mix_4	NA	0	NA	NA	0	NA	NA	NA	NA
Mix_5	NA	NA	NA	NA	0	NA	NA	NA	NA
Mix_6	NA	NA	NA	NA	0	NA	NA	NA	NA
Mix_7	NA	NA	NA	NA	0	NA	NA	NA	NA
Mix_8	NA	NA	NA	NA	0	NA	NA	NA	NA
Mix_9	NA	NA	NA	NA	0	NA	NA	NA	NA
Mix_10	NA	NA	NA	NA	0	NA	NA	NA	NA
Mix_11	NA	NA	NA	NA	0	NA	NA	NA	NA
Mix_12	NA	0	NA	NA	0	NA	NA	NA	NA
Mix_13	NA	NA	NA	NA	0	NA	NA	NA	NA
Mix_14	NA	0	NA	NA	0	NA	NA	NA	NA
Mix_15	NA	NA	NA	NA	0	NA	NA	NA	NA
Mix_16	NA	NA	NA	NA	0	NA	NA	NA	NA
Mix_17	NA	NA	NA	NA	0	NA	NA	NA	NA
Mix_18	NA	NA	NA	NA	0	NA	NA	NA	NA
Mix_19	NA	NA	NA	NA	0	NA	NA	NA	NA
Mix_20	NA	NA	NA	NA	0	NA	NA	NA	NA
Mix_21	NA	NA	NA	NA	0	NA	NA	NA	NA
Mix_22	NA	NA	NA	NA	0	NA	NA	NA	NA
Mix_23	NA	NA	NA	NA	0	NA	NA	NA	NA
Mix_24	NA	0	NA	NA	0	NA	NA	NA	NA
Mix_25	NA	NA	NA	NA	0	NA	NA	NA	NA
Mix_26	NA	NA	NA	NA	0	NA	NA	NA	NA
Mix_27	NA	NA	NA	NA	0	NA	NA	NA	NA
Mix_28	NA	NA	NA	NA	0	NA	NA	NA	NA
Mix_29	NA	NA	NA	NA	0	NA	NA	NA	NA
Mix_30	NA	NA	NA	NA	0	NA	NA	NA	NA
Mix_31	NA	NA	NA	NA	0	NA	NA	NA	NA
Mix_32	NA	NA	NA	NA	0	NA	NA	NA	NA
Mix_33	NA	NA	NA	NA	0	NA	NA	NA	NA
Mix_34	NA	NA	NA	NA	0	NA	NA	NA	NA
Mix_35	NA	NA	NA	NA	0	NA	NA	NA	NA
Mix_36	NA	NA	NA	NA	0	NA	NA	NA	NA
Mix_37	NA	0	NA	NA	0	NA	NA	NA	NA
Mix_38	NA	0	NA	NA	0	NA	NA	NA	NA
Mix_39	NA	NA	NA	NA	0	NA	NA	NA	NA
Mix_40	NA	NA	NA	NA	0	NA	NA	NA	NA
Mix_41	NA	NA	NA	NA	0	NA	NA	NA	NA
Mix_42	NA	NA	NA	NA	0	NA	NA	NA	NA
Mix_43	NA	NA	NA	NA	0	NA	NA	NA	NA
Mix_44	NA	NA	NA	NA	0	NA	NA	NA	NA
Mix_45	NA	NA	NA	NA	0	NA	NA	NA	NA
Mix_46	NA	NA	NA	NA	0	NA	NA	NA	NA
Mix_47	NA	NA	NA	NA	0	NA	NA	NA	NA
Mix_48	NA	NA	NA	NA	0	NA	NA	NA	NA
Mix_49	NA	0	NA	NA	0	NA	NA	NA	NA
Mix_50	NA	NA	NA	NA	0	NA	NA	NA	NA
Mix_51	NA	NA	NA	NA	0	NA	NA	NA	NA
Mix_52	NA	0	NA	NA	0	NA	NA	NA	NA
Mix_53	NA	NA	NA	NA	0	NA	NA	NA	NA
Mix_54	NA	NA	NA	NA	0	NA	NA	NA	NA
