Chondrocyte.articular	B.cell.naive	B.cell.memory	Monocyte.CD14	NK.cell.CD56	Endothelial.large.blood.vessel	Endothelial.microvascular.mammary.or.endometrial	Endothelial.microvascular.non.reproductive	Epithelial.cell.mammary	Epithelial.renal.cortical	Epithelial.respiratory	Fibroblast.cardiac.ventricle	Fibroblast.of.arm	Fibroblast.of.lung	Fibroblast.of.the.aortic.adventitia	Fibroblast.or.papilla.dermal.cell	Hair.follicular.keratinocyte	Macrophage	Mature.neutrophil	Melanocyte.of.skin	Myometrial.cell	Osteoblast	MSC.like.pluripotent.cell	Myocyte.regular.cardiac	Smooth.muscle.cell.aortic	Smooth.muscle.cell.bronchial	Smooth.muscle.cell.of.bladder	Smooth.muscle.cell.coronary.artery	Smooth.muscle.cell.pulmonary.artery	Smooth.muscle.cell.of.trachea	Smooth.muscle.cell.uterine	T.Cell.CD4	T.cell.CD4.memory	T.cell.CD8.memory
mix_1	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	NA	0	NA	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	NA	NA	NA
mix_2	0	0	0	NA	0	0	NA	0	0	0	0	0	NA	0	NA	0	NA	0	0	0	NA	0	0	0	0	NA	0	NA	0	NA	0	NA	NA	NA
mix_3	0	0	0	NA	0	0	0	0	0	0	0	NA	NA	0	NA	0	NA	0	0	0	NA	0	0	0	0	NA	NA	NA	0	NA	0	NA	NA	NA
mix_4	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	NA	0	NA	0	0	0	NA	0	0	0	0	0	0	NA	0	NA	0	NA	NA	NA
mix_5	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	NA	0	NA	0	0	0	NA	0	0	0	0	NA	NA	NA	0	NA	0	NA	NA	NA
mix_6	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	NA	0	NA	0	0	0	NA	0	0	0	0	NA	0	NA	0	NA	0	NA	NA	NA
mix_7	0	0	0	NA	0	0	0	0	0	0	0	NA	NA	0	NA	0	NA	0	0	0	NA	0	0	0	0	NA	NA	NA	0	NA	0	NA	NA	NA
mix_8	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	NA	0	NA	0	0	0	NA	0	0	0	0	NA	NA	NA	0	NA	0	NA	NA	NA
mix_9	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	NA	0	NA	0	NA	0	NA	0	0	0	0	0	0	NA	0	0	0	NA	NA	NA
mix_10	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	NA	0	NA	0	NA	0	NA	0	0	0	0	NA	NA	NA	0	NA	0	NA	NA	NA
mix_11	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	NA	0	NA	0	NA	0	NA	0	0	0	0	0	0	NA	0	0	0	NA	NA	NA
mix_12	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	NA	0	NA	0	0	0	NA	0	0	0	0	NA	NA	NA	0	NA	0	NA	NA	NA
mix_13	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	NA	0	NA	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA
mix_14	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	NA	0	NA	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA
mix_15	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	NA	0	NA	0	0	0	NA	0	0	0	0	NA	NA	NA	0	NA	0	NA	NA	NA
mix_16	0	0	0	NA	0	0	0	0	0	0	0	NA	NA	0	NA	0	NA	0	0	0	NA	0	0	0	0	NA	NA	NA	0	NA	0	NA	NA	NA
mix_17	0	0	0	NA	0	0	0	0	0	0	0	NA	NA	0	NA	0	NA	0	0	0	NA	0	0	0	0	NA	NA	NA	0	NA	0	NA	NA	NA
mix_18	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	NA	0	NA	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA
mix_19	0	0	0	NA	0	0	0	0	0	0	0	NA	NA	0	NA	0	NA	0	0	0	NA	0	0	0	0	NA	NA	NA	0	NA	0	NA	NA	NA
mix_20	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	NA	0	NA	0	0	0	NA	0	0	0	0	0	0	NA	0	0	0	NA	NA	NA
mix_21	0	0	0	NA	0	0	0	0	0	0	0	NA	NA	0	NA	0	NA	0	0	0	NA	0	0	0	0	NA	NA	NA	0	NA	0	NA	NA	NA
mix_22	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	NA	0	NA	NA	NA	0	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA
mix_23	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	NA	0	NA	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA
mix_24	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	NA	0	NA	0	0	0	NA	0	0	0	0	NA	NA	NA	0	NA	0	NA	NA	NA
mix_25	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	NA	0	NA	0	0	0	NA	0	0	0	0	0	0	NA	0	0	0	NA	NA	NA
mix_26	0	0	0	NA	0	0	0	0	0	0	0	NA	NA	0	NA	0	NA	0	0	0	NA	0	0	0	0	NA	NA	NA	0	NA	0	NA	NA	NA
mix_27	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	NA	0	NA	0	NA	0	NA	0	0	0	0	0	0	NA	0	0	0	NA	NA	NA
mix_28	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	NA	0	NA	0	0	0	NA	0	0	0	0	NA	0	NA	0	NA	0	NA	NA	NA
mix_29	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	NA	0	NA	0	NA	0	NA	0	0	0	0	0	0	NA	0	0	0	NA	NA	NA
mix_30	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	NA	0	NA	0	0	0	NA	0	0	0	0	0	0	NA	0	NA	0	NA	NA	NA
mix_31	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	NA	0	NA	0	0	0	NA	0	0	0	0	0	0	NA	0	NA	0	NA	NA	NA
mix_32	0	0	NA	NA	0	0	0	0	0	0	0	0	NA	0	NA	0	NA	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA
mix_33	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	NA	0	NA	0	0	0	NA	0	0	0	0	NA	NA	NA	0	NA	0	NA	NA	NA
mix_34	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	NA	0	NA	NA	0	0	NA	0	0	0	0	NA	0	NA	0	NA	0	NA	NA	NA
mix_35	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	NA	0	NA	0	0	0	NA	0	0	0	0	0	0	NA	0	NA	0	NA	NA	NA
mix_36	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	NA	0	NA	0	0	0	NA	0	0	0	0	NA	NA	NA	0	NA	0	NA	NA	NA
mix_37	0	0	0	NA	0	0	0	0	0	0	0	NA	NA	0	NA	0	NA	0	0	0	NA	0	0	0	0	NA	NA	NA	0	NA	0	NA	NA	NA
mix_38	0	0	0	NA	0	0	0	0	0	0	0	NA	NA	0	NA	0	NA	0	0	0	NA	0	0	0	0	NA	NA	NA	0	NA	0	NA	NA	NA
mix_39	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	NA	0	NA	0	0	0	NA	0	0	0	0	0	0	NA	0	NA	0	NA	NA	NA
mix_40	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	NA	0	NA	0	NA	0	NA	0	0	0	0	NA	NA	NA	0	NA	0	NA	NA	NA
mix_41	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	NA	0	NA	0	0	0	NA	0	0	0	0	NA	NA	NA	0	NA	0	NA	NA	NA
mix_42	0	0	NA	NA	0	0	0	0	0	0	0	0	NA	0	NA	0	NA	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA
mix_43	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	NA	0	NA	0	0	0	NA	0	0	0	0	NA	NA	NA	0	NA	0	NA	NA	NA
mix_44	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	NA	0	NA	0	0	0	NA	0	0	0	0	0	0	NA	0	0	0	NA	NA	NA
mix_45	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	NA	0	NA	0	0	0	NA	0	0	0	0	NA	0	NA	0	NA	0	NA	NA	NA
mix_46	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	NA	0	NA	NA	0	0	NA	0	0	0	0	NA	NA	NA	0	NA	0	NA	NA	NA
mix_47	0	0	0	NA	0	0	NA	0	0	0	0	NA	NA	0	NA	0	NA	0	0	0	NA	0	0	0	NA	NA	NA	NA	NA	NA	0	NA	0	0
mix_48	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	NA	0	NA	0	NA	0	NA	0	0	0	0	0	0	NA	0	0	0	NA	NA	NA
mix_49	0	0	0	NA	0	0	0	0	0	0	NA	0	NA	0	NA	0	NA	NA	NA	0	NA	0	0	0	0	0	0	0	0	0	0	NA	NA	NA
mix_50	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	NA	0	NA	0	0	0	NA	0	0	0	0	0	0	NA	0	NA	0	NA	NA	NA
mix_51	0	0	0	NA	0	0	0	0	0	0	0	NA	NA	0	NA	0	NA	0	0	0	NA	0	0	0	0	NA	NA	NA	0	NA	0	NA	NA	NA
mix_52	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	NA	0	NA	0	0	0	NA	0	0	0	0	NA	NA	NA	0	NA	0	NA	NA	NA
mix_53	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	NA	0	NA	0	0	0	NA	0	0	0	0	NA	0	NA	0	NA	0	NA	NA	NA
mix_54	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	NA	0	NA	0	0	0	NA	0	0	0	0	NA	NA	NA	0	NA	0	NA	NA	NA
mix_55	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	NA	0	NA	0	0	0	NA	0	0	0	0	NA	NA	NA	0	NA	0	NA	NA	NA
mix_56	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	NA	0	NA	0	NA	0	NA	0	0	0	0	0	0	0	0	NA	0	NA	NA	NA
mix_57	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	NA	0	NA	0	NA	0	NA	0	0	0	0	0	0	NA	0	0	0	NA	NA	NA
mix_58	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	NA	0	NA	0	0	0	NA	0	0	0	0	NA	NA	NA	0	NA	0	NA	NA	NA
mix_59	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	NA	0	NA	NA	0	0	NA	0	0	0	0	NA	NA	NA	0	NA	0	NA	NA	NA
mix_60	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	NA	0	NA	0	0	0	NA	0	0	0	0	NA	0	NA	0	NA	0	NA	NA	NA
mix_61	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	NA	0	NA	0	0	0	NA	0	0	0	0	NA	NA	NA	0	NA	0	NA	NA	NA
mix_62	0	0	0	NA	0	0	0	0	0	0	0	NA	NA	0	NA	0	NA	0	0	0	NA	0	0	0	0	NA	NA	NA	0	NA	0	NA	NA	NA
mix_63	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	NA	0	NA	0	0	0	NA	0	0	0	0	NA	NA	NA	0	NA	0	NA	NA	NA
