	B Cells	CD4 T Cells	NK Cells	Monocytes	CD8 T Cells	Other
Mix_1	0.318350386733	0.105780336046	0.031600662779	0.444144155149	0.246057072214	0
Mix_2	0.40014310959	0.187146267519	0.0176711027712	0.318232089163	0.223045378195	0
Mix_3	0.264154656317	0.19053056152	0.0411695393346	0.295278627974	0.342984152848	0
Mix_4	0.346005706226	0.185643314235	0.0165017008495	0.251431340411	0.344779617134	0
Mix_5	0.544125221139	0.145844810012	0.0468917295406	0.186143212439	0.205773926205	0
Mix_6	0.350730096051	0.0813973416154	0.0357652257902	0.468954582288	0.209390701494	0
Mix_7	0.340776423315	0.232474678238	0.0	0.21392813731	0.350303127614	0
Mix_8	0.395467122958	0.21172699385	0.0	0.380325266871	0.163770004299	0
Mix_9	0.397228549667	0.156787702518	0.0191875850785	0.286466217848	0.278638767853	0
Mix_10	0.434372521988	0.104816010763	0.0331551697636	0.358655070848	0.215086506716	0
Mix_11	0.353677937777	0.25854148666	0.00229290334015	0.255310484875	0.278115139263	0
Mix_12	0.23371287808	0.157621187282	0.00557450583495	0.417721021992	0.3376102262	0
Mix_13	0.487587236686	0.169969397052	0.0269338053246	0.234342750331	0.2152843486	0
Mix_14	0.311874034618	0.204034466204	0.0038605958455	0.166070876554	0.445467311425	0
Mix_15	0.281396028939	0.256380037317	0.0	0.281266714596	0.31754088932	0
Mix_16	0.370376530811	0.210552608759	0.00398045403407	0.322283646226	0.236812325636	0
Mix_17	0.307215179876	0.242572455681	0.0	0.26286786511	0.331018731939	0
Mix_18	0.283332887454	0.282388409857	0.0	0.293826297986	0.275376448709	0
Mix_19	0.288586143848	0.100980084515	0.025553424552	0.417496161894	0.307661566412	0
Mix_20	0.383252723968	0.142781793847	0.0184340697812	0.372236632473	0.219666315842	0
Mix_21	0.37518327466	0.146458314411	0.0120021614621	0.41939896259	0.199373093154	0
Mix_22	0.282102232041	0.0882852617233	0.0239469616473	0.449778273777	0.294196093775	0
Mix_23	0.474646382487	0.203527521752	0.0159830882143	0.281057918866	0.166010701848	0
Mix_24	0.211097358743	0.320557135988	0.0	0.353002331339	0.243055763007	0
Mix_25	0.486526461877	0.204857994156	0.0208104516601	0.1907103131	0.2312123172	0
Mix_26	0.379204199809	0.245900572608	0.0	0.236670345282	0.270431937804	0
Mix_27	0.399501411905	0.166847575813	0.0	0.372316577388	0.202560048062	0
Mix_28	0.349777316754	0.155255462708	0.0221746684886	0.407399356955	0.215610392559	0
Mix_29	0.422700002226	0.248976089864	0.0	0.231996955479	0.240138157232	0
Mix_30	0.369739066056	0.17955043113	0.022072937995	0.185702674298	0.369876407595	0
Mix_31	0.383998753146	0.210717968494	0.0127436123006	0.309121040226	0.22981679552	0
Mix_32	0.270953659688	0.308674940792	0.0	0.348579649697	0.216360215829	0
Mix_33	0.240785400602	0.264544194158	0.00967131050368	0.367946159135	0.261414614457	0
Mix_34	0.381934368826	0.0947089475725	0.0366188483274	0.43627380145	0.201753421802	0
Mix_35	0.377927684511	0.191243150069	0.015474216486	0.260840272523	0.299083142416	0
Mix_36	0.381822416854	0.17877809792	0.0174284950112	0.283461449715	0.282515105966	0
Mix_37	0.269558704224	0.181766380283	0.0429807000688	0.302595766142	0.330811038358	0
Mix_38	0.232323962773	0.177638024875	0.0	0.396633288633	0.337410289185	0
Mix_39	0.452626490459	0.142550597993	0.0145881167978	0.431048395977	0.105424346011	0
Mix_40	0.384578586861	0.119693480365	0.0300123873971	0.246501346246	0.346460375842	0
Mix_41	0.346954635576	0.144021518577	0.0299017585642	0.313621121319	0.318599053355	0
Mix_42	0.402986399104	0.256971770796	0.0	0.232763724584	0.238585390161	0
Mix_43	0.359243615812	0.17541223411	0.0559392064267	0.362114452552	0.187025119292	0
Mix_44	0.287090618622	0.147456574468	0.0136088999354	0.393247803159	0.302601669282	0
Mix_45	0.281201673406	0.22046913582	0.0244557451197	0.347607104444	0.2586997926	0
Mix_46	0.396020500046	0.220521627171	0.0	0.320935696708	0.21511396924	0
Mix_47	0.340513479994	0.103695103876	0.0328445362955	0.414097675297	0.255561151296	0
Mix_48	0.383501317276	0.188872057695	0.0124603316838	0.284721968323	0.276682272259	0
Mix_49	0.341734779139	0.180665501836	0.0207328988817	0.207788208734	0.386560977886	0
Mix_50	0.268195335559	0.281615029604	0.0	0.328740265042	0.269734129157	0
Mix_51	0.352980520127	0.223532394045	0.00357375191513	0.319110179839	0.245453125985	0
Mix_52	0.261301983106	0.245740970935	0.0225386535851	0.284025723221	0.329010198465	0
Mix_53	0.348209678249	0.15460867165	0.00983109370814	0.39777298151	0.236495896027	0
Mix_54	0.295984617122	0.0582742017579	0.0523065520846	0.42422484874	0.29971795232	0
Mix_55	0.264448265459	0.190851204757	0.0470866036803	0.296569631035	0.350913100816	0
Mix_56	0.273822756051	0.252631541665	0.0059253139165	0.364175778278	0.257351506728	0
Mix_57	0.246975372471	0.146726438867	0.015714745846	0.329642178815	0.393796554405	0
Mix_58	0.314226018286	0.24450251622	0.0	0.270885556133	0.316623856598	0
Mix_59	0.320501999212	0.118773917792	0.0279349564449	0.277513658288	0.382216985337	0
Mix_60	0.540933493193	0.211597317593	0.0106120392615	0.138517194654	0.238160436392	0
Mix_61	0.434545134568	0.117248811871	0.0414583005652	0.319430947425	0.218624090217	0
Mix_62	0.523105411334	0.157219572079	0.0448982449945	0.152255732279	0.25773788639	0
Mix_63	0.241846051118	0.0918343337135	0.0269625211189	0.427764812789	0.350777599852	0
Mix_64	0.358857078786	0.0944157064001	0.0277954163445	0.431773338681	0.229434901398	0
Mix_65	0.354693064381	0.132886551983	0.0162645380884	0.407457585247	0.235822955832	0
Mix_66	0.412789537646	0.200056447992	0.0143276101078	0.209585993966	0.292092028622	0
Mix_67	0.508242573337	0.105996992206	0.0441029542369	0.380723017476	0.109479519464	0
Mix_68	0.287917990958	0.262915876541	0.0	0.354298116191	0.239229695165	0
