	B Cells	CD4 T Cells	NK Cells	Monocytes	CD8 T Cells	Other
Mix_1	0.201422564453	0.637972075869	0.159446696678	0.275299325324	0.048797365302	0
Mix_2	0.227856152867	0.546174413765	0.0915648583689	0.103239275615	0.0096498371485	0
Mix_3	0.110080462569	0.377814493664	0.289180456034	0.0682214501084	0.0942601350403	0
Mix_4	0.113420375719	0.422220324417	0.112549160849	0.0420960503983	0.0987814587867	0
Mix_5	0.342025678166	0.299360851586	0.122819528814	0.022354760214	0.0931487937107	0
Mix_6	0.344319602689	0.315549369568	0.0831156710043	0.332525656154	0.170657702138	0
Mix_7	0.138303717991	0.435343513032	0.106240088591	0.0292677791783	0.12519648837	0
Mix_8	0.262017639978	0.636276970299	0.0	0.129953852213	0.0748579496759	0
Mix_9	0.258367810624	0.485422007697	0.0982984871045	0.0919760668194	0.0663641980517	0
Mix_10	0.354575898646	0.393789866769	0.0747401000446	0.171678253298	0.121364650978	0
Mix_11	0.164730025676	0.52237038134	0.139596170173	0.047683712265	0.00897234301258	0
Mix_12	0.126938117515	0.498743838473	0.262527739501	0.159815589423	0.0704429637218	0
Mix_13	0.34648601454	0.315954225874	0.081147328535	0.0872535385885	0.181750523891	0
Mix_14	0.0941819758655	0.362685742582	0.194068097953	0.0244038052974	0.0650093445711	0
Mix_15	0.129072430628	0.581207106183	0.0514844057118	0.0636194670191	0.0705348115955	0
Mix_16	0.246678792489	0.474844059863	0.00411007431743	0.100362969271	0.185408247269	0
Mix_17	0.14181941467	0.498375223076	0.107158709757	0.0346108143788	0.0800824976694	0
Mix_18	0.133591986864	0.598888394224	0.0887764039611	0.046659521149	0.0387817870619	0
Mix_19	0.133486910381	0.471817105943	0.150890607288	0.198683585276	0.200065794402	0
Mix_20	0.312647343037	0.530648871568	0.0470206706303	0.165550744891	0.101186807055	0
Mix_21	0.303174803834	0.556696726831	0.0216972714093	0.220977098843	0.114808529094	0
Mix_22	0.213244258827	0.512059301041	0.186416600593	0.245179797635	0.115644027688	0
Mix_23	0.293580477199	0.516425309826	0.0830141079713	0.092685713214	0.0211050896504	0
Mix_24	0.0656921471189	0.670156713339	0.0186734684652	0.0891813798087	0.110759407822	0
Mix_25	0.251075381425	0.348361757493	0.095758311931	0.0257815735928	0.124819313759	0
Mix_26	0.187796162681	0.445943684386	0.0340917519365	0.0568742595567	0.225352876856	0
Mix_27	0.289660133505	0.423889041239	0.0	0.153675842309	0.210560466067	0
Mix_28	0.252036336023	0.583073694005	0.0449501606147	0.180062221897	0.0847708184872	0
Mix_29	0.237524378086	0.495237621229	0.00866218651248	0.055512998158	0.161771011934	0
Mix_30	0.154293410276	0.262348995538	0.121302348297	0.0120169811594	0.186347242162	0
Mix_31	0.271882515128	0.545738343807	0.0280761227483	0.0928020763955	0.0817379950325	0
Mix_32	0.149950221829	0.670088923664	0.0461233419957	0.0842379837625	0.0767466001083	0
Mix_33	0.129603381966	0.600811123691	0.121278854604	0.0886523729423	0.0949079605332	0
Mix_34	0.392034893779	0.414659293702	0.0813780982551	0.262791278239	0.175329032272	0
Mix_35	0.172804107745	0.515817139248	0.127706032634	0.0472334871822	0.0347671799192	0
Mix_36	0.229878686554	0.486170266173	0.0307497078794	0.0973322478087	0.127856092699	0
Mix_37	0.143326277418	0.411318556387	0.333525812878	0.0760559079985	0.0908117032563	0
Mix_38	0.0909939343731	0.629759306247	0.168866116137	0.152038675936	0.0941199479829	0
Mix_39	0.427763114154	0.583807678137	0.0	0.244449868094	0.0798305112005	0
Mix_40	0.231678879414	0.291946512698	0.145521038996	0.0682367652675	0.175268962894	0
Mix_41	0.182634562771	0.503706423368	0.167349427037	0.116859181972	0.0617373156433	0
Mix_42	0.209579915393	0.494149302703	0.0	0.0546166470417	0.166703097235	0
Mix_43	0.321608416059	0.320066162832	0.0980246896945	0.186641176154	0.164934926676	0
Mix_44	0.159482468396	0.497214745401	0.290400487703	0.131341293959	0.0390783310634	0
Mix_45	0.153250096739	0.467920272945	0.0265870695756	0.138938015331	0.280010636201	0
Mix_46	0.241932775835	0.437856432745	0.0	0.0967094253977	0.221317145121	0
Mix_47	0.260280212079	0.490843871549	0.078744018273	0.252969576758	0.121725995642	0
Mix_48	0.218612824441	0.519216411777	0.0773642511376	0.0883658180971	0.0663867964385	0
Mix_49	0.0877552201793	0.337705438896	0.239085512308	0.0244035036567	0.029713523585	0
Mix_50	0.1257510304	0.585405400162	0.0555236678062	0.0843869232591	0.140431980584	0
Mix_51	0.222126468451	0.565637214741	0.0298708878606	0.0992874553777	0.0657237268128	0
Mix_52	0.112806482903	0.464659681009	0.229481436968	0.0617622531654	0.113882625883	0
Mix_53	0.260514664461	0.536934468183	0.0251740948978	0.182185191981	0.133112909716	0
Mix_54	0.169583105083	0.351952168442	0.433236013719	0.163477291262	0.0346049655339	0
Mix_55	0.0873570085159	0.443719949273	0.210014749061	0.0825114086868	0.104161485128	0
Mix_56	0.159080209855	0.545207036689	0.10884610517	0.113187814697	0.140223535315	0
Mix_57	0.0683385591565	0.409816785713	0.338213392532	0.0573657719542	0.00549640802999	0
Mix_58	0.115090216042	0.518887001527	0.0676932734435	0.0827226270862	0.176473313959	0
Mix_59	0.129439894972	0.384868295213	0.335762174685	0.0511052799665	0.0592960194963	0
Mix_60	0.269814791023	0.326972576586	0.0482336151753	0.0166045141741	0.118715208436	0
Mix_61	0.319749031075	0.343736028708	0.120301196269	0.162271339867	0.0867993106069	0
Mix_62	0.331784766193	0.301865164044	0.179854563558	0.0206225402469	0.0403771167083	0
Mix_63	0.141953473067	0.409591957141	0.371018969317	0.148114025592	0.0460267652469	0
Mix_64	0.364000180287	0.32745638758	0.0436922794988	0.266933474211	0.29228453782	0
Mix_65	0.26838106581	0.526640715284	0.0359904325261	0.195305030417	0.133324144226	0
Mix_66	0.207504083582	0.3939340556	0.114465737009	0.0241071616947	0.106199284618	0
Mix_67	0.516651264207	0.421905991035	0.120743911413	0.207345664612	0.022245583212	0
Mix_68	0.166544445627	0.574118725771	0.0425353644943	0.100520465056	0.142151973691	0
Mix_69	0.345233272117	0.311129597246	0.0886706525242	0.0913229318716	0.145345671938	0
Mix_70	0.143262559701	0.550757585647	0.0	0.092476911211	0.237486287227	0
Mix_71	0.191509139242	0.28297815049	0.0921120810555	0.100563881724	0.255514022847	0
Mix_72	0.169486002304	0.734822709415	0.0155929369551	0.168916409257	0.107979706086	0
Mix_73	0.0922505834519	0.454618644145	0.28450371807	0.0368111682909	0.0625042278997	0
Mix_74	0.35068477277	0.33671673631	0.138090666405	0.195679877296	0.0825518031873	0
Mix_75	0.138074501312	0.410003771514	0.171968595121	0.0341984815469	0.043331218823	0
Mix_76	0.148176010749	0.292908620236	0.167542040197	0.0267881184279	0.160528407106	0
Mix_77	0.210776002054	0.640471967848	0.0726870284958	0.223652273265	0.054849473941	0
Mix_78	0.0671770133683	0.381329627847	0.186274683141	0.0204207010425	0.0537142935307	0
Mix_79	0.145245745559	0.39756417964	0.453563367879	0.108644990933	0.0301985630664	0
Mix_80	0.170591965899	0.647716050004	0.0904433571626	0.093532571797	0.0198173178991	0
Mix_81	0.232403844706	0.369791915085	0.100594750169	0.179727834109	0.175040391742	0
Mix_82	0.175802613946	0.288050555967	0.109825802862	0.00967587006452	0.163347913437	0
Mix_83	0.328101939672	0.371542255621	0.0628162619171	0.146487017882	0.152816989092	0
Mix_84	0.197862559643	0.440164591316	0.00704067422003	0.131332605208	0.242976033894	0
Mix_85	0.167603683993	0.362727243094	0.173896589818	0.0224380872264	0.123716907654	0
Mix_86	0.165629127045	0.374495442355	0.298621145825	0.12400933214	0.0926563250876	0
Mix_87	0.418280102895	0.275455855187	0.247188659886	0.137280647299	0.030349889187	0
Mix_88	0.228474592895	0.541749234769	0.0111800309826	0.0567954883707	0.110824027288	0
