	B Cells	CD4 T Cells	CD8 T Cells	Monocytes	NK Cells	Other
mix_1	0.0369605384486	0.277550689908	0.424223188334	0.290238678922	0.0908448754679	0
mix_2	0.0254681219905	0.27226688438	0.412863065781	0.342742798901	0.0712565942238	0
mix_3	0.0700441446838	0.415321090821	0.52080095386	0.0648598786307	0.0562968908292	0
mix_4	0.0961231389752	0.290840933759	0.516419981253	0.155589606952	0.0689839289828	0
mix_5	0.0841764138427	0.281672935117	0.533318445701	0.143235091767	0.0855547034937	0
mix_6	0.0638550282894	0.288092733538	0.488641546728	0.211356253961	0.0680962395323	0
mix_7	0.145753100165	0.272386714465	0.521265380145	0.112771129011	0.077281579651	0
mix_8	0.114981776932	0.30271837731	0.426177714921	0.227088764557	0.0504447554392	0
mix_9	0.0357545255802	0.317568236443	0.486429618078	0.214815963397	0.0776595156659	0
mix_10	0.145951627904	0.289438662625	0.509247278344	0.127795227684	0.0567765747027	0
mix_11	0.0354136897448	0.292398597241	0.424351067449	0.314487872231	0.0680904556767	0
mix_12	0.01370188829	0.307425419181	0.486063280097	0.255968379309	0.057972728576	0
mix_13	0.185455165558	0.26759084242	0.464208092812	0.109711518753	0.0842795114681	0
mix_14	0.17090881176	0.261619845848	0.497294576273	0.124606480586	0.0631138451673	0
mix_15	0.172156102322	0.255260530068	0.497376413327	0.0677759141182	0.122506758875	0
mix_16	0.0781428620582	0.333225010722	0.523054073167	0.125831291656	0.0583862957345	0
mix_17	0.221551747752	0.30861321869	0.528910703356	0.0	0.0655217954776	0
mix_18	0.0486635598001	0.283488529757	0.389826733881	0.34975226027	0.0585035777902	0
mix_19	0.101950705457	0.267356782494	0.473621270714	0.213890630393	0.0716869477526	0
mix_20	0.0636410577979	0.343305916389	0.614830480484	0.00280565553069	0.0816579356094	0
mix_21	0.11373686132	0.281167727124	0.547948550134	0.121597129588	0.0618648812752	0
mix_22	0.111350570894	0.319103791155	0.427671032941	0.185316242037	0.0829392556363	0
mix_23	0.121662702366	0.296803717476	0.452976886621	0.195275121102	0.0555244423357	0
mix_24	0.0394557337914	0.255144612347	0.389005300966	0.367936607658	0.071505494577	0
mix_25	0.0289398712433	0.324880222169	0.516783315573	0.197204632645	0.0554350372805	0
mix_26	0.0397156419856	0.376367538896	0.564678320639	0.00869651654194	0.124876284318	0
mix_27	0.156190013844	0.309279125189	0.293355703041	0.269729676073	0.0855650737127	0
mix_28	0.0863238465692	0.373167460852	0.576857689127	0.00634913482656	0.0833529051259	0
mix_29	0.0646429580718	0.310296789791	0.482175875727	0.193999054417	0.0771693479097	0
mix_30	0.080282964629	0.282937288654	0.499508815661	0.192001601074	0.0693229886113	0
mix_31	0.0548877713169	0.345733432548	0.481622068645	0.187136213015	0.0552179797504	0
mix_32	0.0804055007653	0.295331967312	0.53377632862	0.150607312151	0.0683852279615	0
mix_33	0.0829741722624	0.301953612106	0.449660029941	0.221661959484	0.0623897595444	0
mix_34	0.0317288981686	0.306346662058	0.427485285555	0.292401970994	0.0709980223059	0
mix_35	0.0493025584837	0.318640875799	0.465614156243	0.221105855114	0.0665533739849	0
mix_36	0.121880113019	0.348479599672	0.491674812904	0.103677917266	0.0550240332255	0
mix_37	0.115566464157	0.347427279971	0.490750977936	0.120647002178	0.0529958377488	0
mix_38	0.0583008874447	0.392957999529	0.549737016462	0.0345977085043	0.090721537502	0
mix_39	0.165122931638	0.267373184257	0.506940807567	0.0609506077286	0.110249570027	0
mix_40	0.0796910138618	0.323200853978	0.458944231598	0.205687736184	0.059799123203	0
mix_41	0.0440379774617	0.272643516424	0.44274258198	0.275137619467	0.0845110592327	0
mix_42	0.141351472707	0.380299974255	0.516069497636	0.0113096171902	0.0724902727321	0
mix_43	0.0204964668098	0.28164103314	0.579121120265	0.146736309103	0.104581406923	0
mix_44	0.034944665176	0.37506142173	0.505078866351	0.11559753435	0.0808066153596	0
mix_45	0.0105619349684	0.349437768792	0.533230455651	0.181088665702	0.0492358690678	0
mix_46	0.0864258823847	0.278862410256	0.60300346493	0.0747045818464	0.0872383220814	0
mix_47	0.083459826845	0.312876915762	0.463468486193	0.203901189282	0.059848276098	0
mix_48	0.147165349619	0.308548779174	0.295803498382	0.286590843613	0.09047576984	0
mix_49	0.110544688161	0.316625727082	0.378068421972	0.229924161188	0.0906239251561	0
mix_50	0.108069492106	0.378498372692	0.526631402889	0.0595305760545	0.0466036035974	0
mix_51	0.133435456409	0.293340338314	0.330901876338	0.271042451542	0.0924115728506	0
mix_52	0.168116590401	0.337725189032	0.501746627127	0.0307439838456	0.0879827590369	0
mix_53	0.121387056218	0.306903712721	0.368874877905	0.249007010516	0.0848000003009	0
mix_54	0.146695525966	0.320025976655	0.567284829089	0.025555316412	0.066489388378	0
mix_55	0.106327152101	0.314638425237	0.394076837726	0.227751586043	0.0755935798846	0
mix_56	0.0541104578894	0.349290588432	0.541393017471	0.132936549471	0.0502790392107	0
mix_57	0.0143050075523	0.343196931967	0.479606484403	0.220541175651	0.0667867378073	0
mix_58	0.0856697209777	0.307717383396	0.513511852773	0.133711757968	0.0880514293308	0
mix_59	0.0264338973301	0.305152568808	0.462813605023	0.252155608735	0.074965154625	0
mix_60	0.123904786415	0.283501231755	0.499473527738	0.16435401734	0.0528200953815	0
mix_61	0.0888970079183	0.456629250188	0.5208704004	0.00651298617204	0.0421660740319	0
mix_62	0.0874927953527	0.408005852727	0.520463432479	0.0409676143709	0.0693854545127	0
mix_63	0.0243864637975	0.318335988533	0.484604413064	0.239518018824	0.0594702652233	0
mix_64	0.0866571538528	0.310356771849	0.454412146126	0.221213184914	0.0497791817608	0
mix_65	0.0853826274791	0.319969128967	0.472116638033	0.149812592589	0.101530504694	0
mix_66	0.128001519398	0.290295706431	0.333949110516	0.272681180253	0.093928627353	0
mix_67	0.154479201177	0.33201707422	0.503576932622	0.023536763331	0.104777609641	0
mix_68	0.0530939253991	0.273832419462	0.605739324576	0.0805289282609	0.1170400638	0
mix_69	0.0825599933899	0.308661222973	0.453288551154	0.228739855576	0.0530655263486	0
mix_70	0.202617125909	0.303356453238	0.292302507351	0.190246523976	0.134525138865	0
mix_71	0.145995538935	0.300878454258	0.333598817344	0.27975098513	0.0598180063811	0
mix_72	0.197106513944	0.348622208584	0.445238605465	0.0614066655235	0.0580890591729	0
mix_73	0.174883180172	0.273133490716	0.433938584271	0.140874102088	0.109843503723	0
