	B Cells	CD4 T Cells	CD8 T Cells	Monocytes	NK Cells	Other
mix_1	0.0116021849511	0.632245418849	0.0	0.552673705744	0.0	0
mix_2	0.00587348252017	0.578045290105	0.0	0.620658931682	0.0	0
mix_3	0.096110843886	0.947420523079	0.0	0.14219893382	0.0	0
mix_4	0.0934550231706	0.836455022792	0.0	0.274847787171	0.0	0
mix_5	0.0896845253526	0.847554813465	0.0	0.25380286225	0.0	0
mix_6	0.0443920268371	0.75935739487	0.00280243087637	0.391133073978	0.0	0
mix_7	0.16725349573	0.82814197389	0.0	0.203928857272	0.0	0
mix_8	0.127037293547	0.689565072015	0.0	0.387520076438	0.0	0
mix_9	0.0161195507187	0.780488467171	0.0	0.394581630403	0.0	0
mix_10	0.187390682864	0.792386750313	0.0	0.220063719039	0.0	0
mix_11	0.0134341733132	0.617569169948	0.0	0.58145138702	0.0	0
mix_12	0.00492217349406	0.696123155005	0.0138731860731	0.483150610815	0.0	0
mix_13	0.248582715193	0.743351569304	0.0	0.208941620958	0.0	0
mix_14	0.22285897092	0.765175032938	0.0	0.209316506316	0.0	0
mix_15	0.210480367986	0.81998313836	0.0	0.131662672033	0.0362984492475	0
mix_16	0.0907640114028	0.887387594745	0.0	0.222364839158	0.0	0
mix_17	0.337815820887	0.805633669139	0.0	0.0345109500358	0.0	0
mix_18	0.0133913960385	0.536718868018	0.00586201912275	0.642557424777	0.0	0
mix_19	0.0934115417088	0.74341383978	0.0	0.349744000411	0.0	0
mix_20	0.0773490071082	1.04177141115	0.0	0.0533731394308	0.00357590971508	0
mix_21	0.134281072878	0.860443363002	0.0	0.206891403296	0.0	0
mix_22	0.141210823415	0.70576528508	0.0	0.348205255392	0.0	0
mix_23	0.149682547987	0.738245619041	0.0	0.320423882222	0.0	0
mix_24	0.00522500142148	0.50406800609	0.00710544106761	0.680952061596	0.0	0
mix_25	0.0116423137839	0.869725542642	0.0	0.31381350746	0.0	0
mix_26	0.041740693369	1.02272538166	0.0	0.0633790053299	0.0631971207084	0
mix_27	0.193930460415	0.414183642705	0.0350405000071	0.556285249426	0.0	0
