	B Cells	CD4 T Cells	CD8 T Cells	Endothelial	Fibroblasts	Macrophages	Mast Cell	Other
mix_1	0.0156258537603	0.652093057698	0.319793608351	0	0	0.157101142936	0.0718314155938	0
mix_2	0.0585340813143	0.606099279375	0.195570834924	0	0	0.114040144831	0.184881161273	0
mix_3	0.110884144477	0.583881481384	0.0694466343125	0	0	0.211921197023	0.29582389683	0
mix_4	0.00912802546669	0.688068034365	0.149466252605	0	0	0.0960841790789	0.0599739436031	0
mix_5	0.0206296799162	0.629050330594	0.14819047142	0	0	0.114333268847	0.176287484017	0
mix_6	0.013149544943	0.675997901959	0.18275205772	0	0	0.106353984531	0.0309430013932	0
mix_7	0.0748746349365	0.539564730101	0.113556209246	0	0	0.122106869271	0.264248006001	0
mix_8	0.0141671334269	0.55515530783	0.210009968326	0	0	0.154621739556	0.137380928192	0
mix_9	0.008719008112	0.715108155228	0.18844433225	0	0	0.0715985114557	0.0176012276464	0
mix_10	0.0420573519899	0.881365278918	0.0695389243134	0	0	0.13610233933	0.0778325362719	0
mix_11	0.0480109319965	0.728049725668	0.283854486522	0	0	0.0583779224397	0.0785308087104	0
mix_12	0.0466029858266	0.6438132382	0.127166904812	0	0	0.120879205463	0.0947489465172	0
mix_13	0.0205833821731	0.823868828808	0.0867829480494	0	0	0.0601007494755	0.0740796531695	0
mix_14	0.0318250143127	0.897908607804	0.150319959497	0	0	0.0668657689268	0.0721896105312	0
mix_15	0.0122704475969	0.638710917076	0.18059404618	0	0	0.148098907495	0.0628064928059	0
mix_16	0.197246081256	0.34422194748	0.0590536346393	0	0	0.213572483195	0.283557321568	0
mix_17	0.0899783132358	0.490654728473	0.0348639017264	0	0	0.205889332068	0.287718597429	0
mix_18	0.00614854431072	1.03207841169	0.0138932738738	0	0	0.0933367400628	0.0743312777158	0
mix_19	0.0612280267901	0.53650692653	0.0949878146066	0	0	0.188916860649	0.292226295718	0
mix_20	0.0194584407115	0.843822004039	0.176460615298	0	0	0.0492826952827	0.0295950734268	0
mix_21	0.00982297379257	0.67933246082	0.0505307345745	0	0	0.200795696928	0.123404652752	0
mix_22	0.012482887428	0.804234853279	0.225436372578	0	0	0.0950713249068	0.0787109548843	0
mix_23	0.0139838464522	0.87640612483	0.193067860458	0	0	0.0657198805895	0.0523496308361	0
mix_24	0.00989696523296	0.658145779065	0.130413231226	0	0	0.183354437468	0.0317690650752	0
mix_25	0.0100057777099	0.796565923077	0.159893786818	0	0	0.0639774486427	0.0182184642951	0
mix_26	0.0283224632401	0.767000670833	0.0304564992416	0	0	0.221545196772	0.117267114073	0
mix_27	0.0161973780725	0.738056025187	0.235521809242	0	0	0.0845981470316	0.0468589920204	0
mix_28	0.0300373291505	0.712718846552	0.155866599607	0	0	0.11095684945	0.0410438919598	0
mix_29	0.0137254869338	0.667364133556	0.25443277538	0	0	0.14990264581	0.120659573834	0
mix_30	0.0120830507	0.745809047281	0.150891540124	0	0	0.0802251636278	0.0391742963506	0
mix_31	0.00898189255678	0.75301844171	0.13189944998	0	0	0.122944424668	0.0717892515375	0
mix_32	0.0107910760954	0.976036586625	0.148592106265	0	0	0.0439107223561	0.0532707365876	0
mix_33	0.0103679694778	0.912016620657	0.0984437841856	0	0	0.133356314544	0.0269518262068	0
mix_34	0.011198048647	0.773086591934	0.0183845727466	0	0	0.237967411388	0.230920399943	0
mix_35	0.00670473767026	0.672257687865	0.177719798433	0	0	0.136580683864	0.0781662478413	0
mix_36	0.00932364717164	0.765970145168	0.164389802552	0	0	0.176930833496	0.0879450802519	0
mix_37	0.0332923992795	0.562328442107	0.0876307791436	0	0	0.195997921029	0.232305088084	0
