	B Cells	CD4 T Cells	NK Cells	Monocytes	CD8 T Cells	Other
Mix_1	0.14027445735	0.68417486802	0	0	0.0514607142037	0
Mix_2	0.224237509585	0.67634937299	0	0	0.0207444441718	0
Mix_3	0.109473049201	0.611525406112	0	0	0.113818130913	0
Mix_4	0.151317716804	0.642556341017	0	0	0.0845870860258	0
Mix_5	0.395239458562	0.398534862144	0	0	0.157807790143	0
Mix_6	0.279020461248	0.49944962857	0	0	0.0775126740047	0
Mix_7	0.17823432677	0.655166190522	0	0	0.114102958908	0
Mix_8	0.204596910801	0.636229749039	0	0	0.0556008412537	0
Mix_9	0.231833185017	0.594117529143	0	0	0.0925544091798	0
Mix_10	0.355377833193	0.44445574688	0	0	0.103712538842	0
Mix_11	0.185498318393	0.714218367441	0	0	0.0372455566076	0
Mix_12	0.0971153370263	0.635553615765	0	0	0.0770519996601	0
Mix_13	0.337706737728	0.49713571871	0	0	0.0937500135392	0
Mix_14	0.124380309092	0.630054815372	0	0	0.135059416521	0
Mix_15	0.138479650264	0.730146539308	0	0	0.068876401042	0
Mix_16	0.193736555951	0.626445130038	0	0	0.0825405256133	0
Mix_17	0.159793217732	0.681547428099	0	0	0.0987558685739	0
Mix_18	0.136780975323	0.680729652166	0	0	0.0566283630291	0
Mix_19	0.124489557236	0.618940872583	0	0	0.124339409575	0
Mix_20	0.269092927608	0.561390600549	0	0	0.0729123211581	0
Mix_21	0.255145091765	0.555152556551	0	0	0.0786427663812	0
Mix_22	0.132998398174	0.627100935112	0	0	0.10123541586	0
Mix_23	0.266961766902	0.621385047491	0	0	0.0297645255764	0
Mix_24	0.0534151315023	0.715051223432	0	0	0.0961896470296	0
Mix_25	0.326158741358	0.516969522998	0	0	0.107877411596	0
Mix_26	0.192153619453	0.628323709856	0	0	0.124196337954	0
Mix_27	0.29189341649	0.442962112874	0	0	0.137841916911	0
Mix_28	0.225061881626	0.611832980301	0	0	0.0639559564196	0
Mix_29	0.223707371925	0.559490359557	0	0	0.145326387485	0
Mix_30	0.173227416569	0.516020212204	0	0	0.198299625509	0
Mix_31	0.208622872606	0.634680854733	0	0	0.072535495342	0
Mix_32	0.116923623829	0.747357929968	0	0	0.0559202931584	0
Mix_33	0.103896901303	0.661889208177	0	0	0.0872985225127	0
Mix_34	0.282695161043	0.523599208561	0	0	0.0692999517446	0
Mix_35	0.190958198914	0.631268764319	0	0	0.108728662805	0
Mix_36	0.211955339951	0.628093951046	0	0	0.0834486427321	0
Mix_37	0.120071123063	0.619030593839	0	0	0.106740234549	0
Mix_38	0.100638643876	0.683689768933	0	0	0.0690697190788	0
Mix_39	0.302146634803	0.525167463834	0	0	0.045106997212	0
Mix_40	0.23902324553	0.396870273919	0	0	0.274057896241	0
Mix_41	0.165127555178	0.578402178382	0	0	0.0751520971405	0
Mix_42	0.200364940983	0.591703374011	0	0	0.143072321506	0
Mix_43	0.281768406977	0.481009694631	0	0	0.122794325791	0
Mix_44	0.124442134422	0.65692074358	0	0	0.0570568312704	0
Mix_45	0.139769305158	0.54024503181	0	0	0.120776556464	0
Mix_46	0.226996813718	0.541073870267	0	0	0.128843281039	0
Mix_47	0.233557030106	0.575668750755	0	0	0.0851557578506	0
Mix_48	0.220312012491	0.653478030561	0	0	0.0610674393674	0
Mix_49	0.150458782009	0.606988192644	0	0	0.150790081253	0
Mix_50	0.0987443427321	0.616089129437	0	0	0.121751330537	0
Mix_51	0.193163395734	0.665860110778	0	0	0.057293258099	0
Mix_52	0.0972406478403	0.640612551341	0	0	0.122750027893	0
Mix_53	0.22846096264	0.574789742685	0	0	0.0938595944038	0
Mix_54	0.142518466139	0.471672369475	0	0	0.0668115751072	0
Mix_55	0.104124978656	0.642519436919	0	0	0.109112534434	0
Mix_56	0.122626840032	0.574360294653	0	0	0.122504437545	0
Mix_57	0.0584300390768	0.752958881354	0	0	0.0406688728585	0
Mix_58	0.117855650638	0.736067255914	0	0	0.0815265264214	0
Mix_59	0.126049569727	0.635388604553	0	0	0.0911938515574	0
Mix_60	0.305868943518	0.437259709944	0	0	0.142789121481	0
Mix_61	0.338655152562	0.489704858577	0	0	0.0733263452203	0
Mix_62	0.378063509008	0.402979165179	0	0	0.184204166983	0
Mix_63	0.112026876815	0.544058889512	0	0	0.0686820809207	0
Mix_64	0.240293824626	0.532826957513	0	0	0.0993842711244	0
Mix_65	0.253497230417	0.552268950993	0	0	0.0974306144153	0
Mix_66	0.233894660015	0.633057033313	0	0	0.0789989689666	0
Mix_67	0.363793397298	0.487713842566	0	0	0.0233596751452	0
Mix_68	0.148124168633	0.590989092593	0	0	0.164363367131	0
Mix_69	0.339168648771	0.503966866738	0	0	0.0878415088249	0
Mix_70	0.128714992756	0.652518523637	0	0	0.144212123667	0
Mix_71	0.194773486185	0.496059784376	0	0	0.210526571751	0
Mix_72	0.118755618085	0.729613061107	0	0	0.0548678517796	0
Mix_73	0.0832102011243	0.70793325982	0	0	0.0918677410264	0
Mix_74	0.337674171671	0.450253028953	0	0	0.1111554285	0
Mix_75	0.171292363844	0.668926541467	0	0	0.0575534587597	0
Mix_76	0.165677678964	0.641344805051	0	0	0.0896733699256	0
Mix_77	0.178926145492	0.680524558866	0	0	0.0399283478789	0
Mix_78	0.0913472109133	0.691862320411	0	0	0.109403787114	0
Mix_79	0.123633277999	0.565420478044	0	0	0.0705103736627	0
Mix_80	0.150899345292	0.746974117275	0	0	0.02509445879	0
Mix_81	0.238766650415	0.515486992529	0	0	0.146371362732	0
Mix_82	0.214860713013	0.482255393457	0	0	0.153683702021	0
Mix_83	0.278361093343	0.559327452891	0	0	0.0732972194184	0
Mix_84	0.166608672206	0.640098393398	0	0	0.106845976445	0
Mix_85	0.155959607774	0.673984402002	0	0	0.0747273069803	0
Mix_86	0.143602050531	0.579214099174	0	0	0.104273905907	0
Mix_87	0.396341798412	0.272074862945	0	0	0.0503718311445	0
Mix_88	0.217232120099	0.601728418383	0	0	0.0916148294559	0
Mix_89	0.0791046048155	0.672061813386	0	0	0.0725337328399	0
Mix_90	0.209345095528	0.60544186533	0	0	0.129526361848	0
Mix_91	0.379287542664	0.515353149841	0	0	0.0548301859213	0
Mix_92	0.195023920336	0.670485161955	0	0	0.0273725238648	0
Mix_93	0.114436031198	0.734146914144	0	0	0.0630902709774	0
Mix_94	0.236961684491	0.593340042405	0	0	0.0729535506963	0
Mix_95	0.140347595629	0.749905789082	0	0	0.0353757794531	0
Mix_96	0.0941901083384	0.757209142851	0	0	0.0753578952729	0
Mix_97	0.255817818579	0.528307284437	0	0	0.0966676318317	0
Mix_98	0.388907015894	0.438127239787	0	0	0.0388969987892	0
Mix_99	0.0670604084451	0.728535118141	0	0	0.0735693189704	0
Mix_100	0.226564047219	0.659632177048	0	0	0.0190299179219	0
