	B Cells	CD4 T Cells	NK Cells	Monocytes	CD8 T Cells	Other
Mix_1	0.0	0.00028397306085	0	0	0.0	0
Mix_2	0.0010865298927	0.000159976836777	0	0	0.0	0
Mix_3	0.0	0.000287341998905	0	0	0.000642431307004	0
Mix_4	0.0	0.000382935717521	0	0	0.000589584903957	0
Mix_5	0.00436916067583	0.0	0	0	0.0	0
Mix_6	0.00014826862225	0.0	0	0	0.0	0
Mix_7	0.0	0.000236297717567	0	0	0.000504475955737	0
Mix_8	7.93603083432e-05	7.04614092426e-05	0	0	0.0	0
Mix_9	0.000303744326936	0.000110206146844	0	0	0.0	0
Mix_10	0.00166406095867	0.0	0	0	0.0	0
Mix_11	0.0	0.000389045699809	0	0	0.000186203454401	0
Mix_12	0.0	0.00052873916862	0	0	0.000615922788148	0
Mix_13	0.00191698230542	0.0	0	0	0.0	0
Mix_14	0.0	0.000400027039116	0	0	0.000955056986233	0
Mix_15	0.0	0.00043075412646	0	0	0.000620831059221	0
Mix_16	0.0	6.88952930671e-05	0	0	0.0	0
Mix_17	0.0	0.000235381778825	0	0	0.000407258158692	0
Mix_18	0.0	0.000528621407361	0	0	0.000614848108132	0
Mix_19	0.0	0.000121262565625	0	0	6.29026324583e-05	0
Mix_20	0.000581958887111	0.0	0	0	0.0	0
Mix_21	0.000157124143872	0.0	0	0	0.0	0
Mix_22	0.0	9.54583972166e-05	0	0	0.0	0
Mix_23	0.00256038743081	0.0	0	0	0.0	0
Mix_24	0.0	0.000476492044921	0	0	0.00092122525919	0
Mix_25	0.00142319178545	0.0	0	0	0.0	0
Mix_26	0.0	0.0001511702459	0	0	0.000266864469986	0
Mix_27	0.000258178901818	0.0	0	0	0.0	0
Mix_28	0.0	0.000140217104458	0	0	0.0	0
Mix_29	0.000179211037938	6.518858076e-05	0	0	6.47710298934e-05	0
Mix_30	0.0	0.000135112551956	0	0	0.000422779330261	0
Mix_31	0.000168055303708	6.30895626107e-05	0	0	0.0	0
Mix_32	0.0	0.000481108712438	0	0	0.000597606269805	0
Mix_33	0.0	0.000393241476946	0	0	0.000621984111824	0
Mix_34	0.000553988957539	0.0	0	0	0.0	0
Mix_35	0.0	0.000356496566753	0	0	0.000284543683127	0
Mix_36	0.000100231599673	8.22370698002e-05	0	0	0.0	0
Mix_37	0.0	0.000216818656546	0	0	0.000387390875849	0
Mix_38	0.0	0.000475175466749	0	0	0.000490998980564	0
Mix_39	0.00161444149601	0.0	0	0	0.0	0
Mix_40	0.000145173476083	3.81711730728e-05	0	0	3.7439350674e-05	0
Mix_41	0.0	0.00028994542406	0	0	7.31074719441e-05	0
Mix_42	0.0	8.64747849257e-05	0	0	0.000178161250445	0
Mix_43	0.00127532857347	0.0	0	0	0.0	0
Mix_44	0.0	0.000523299059426	0	0	0.00034174897957	0
Mix_45	0.0	9.59618073521e-05	0	0	0.000327236901356	0
Mix_46	0.0	0.0	0	0	5.7122185606e-06	0
Mix_47	0.0	0.0	0	0	0.0	0
Mix_48	0.000169461131884	0.000159498367605	0	0	0.0	0
Mix_49	0.0	0.000493756767079	0	0	0.000717376861201	0
Mix_50	0.0	0.000166420459518	0	0	0.000488155905576	0
Mix_51	0.0	0.000140999072723	0	0	0.0	0
Mix_52	0.0	0.000328068894871	0	0	0.000858949193128	0
Mix_53	0.0	2.78961416666e-05	0	0	0.0	0
Mix_54	0.0	0.000315646602806	0	0	0.0	0
Mix_55	0.0	0.000371415687673	0	0	0.000686807928634	0
Mix_56	0.0	0.000117123814596	0	0	0.000353418402969	0
Mix_57	0.0	0.000991862519385	0	0	0.00118971445793	0
Mix_58	0.0	0.000407188788633	0	0	0.000656756716298	0
Mix_59	0.0	0.000334221014814	0	0	0.000476634226197	0
Mix_60	0.00113789946054	0.0	0	0	0.0	0
Mix_61	0.0024524637186	0.0	0	0	0.0	0
Mix_62	0.00385742106636	0.0	0	0	0.0	0
Mix_63	0.0	0.000421296053916	0	0	0.000116206630142	0
Mix_64	0.0	0.0	0	0	0.0	0
Mix_65	0.0	0.0	0	0	0.0	0
Mix_66	0.00033973852283	0.000106747920978	0	0	2.70725796546e-05	0
Mix_67	0.00450220984593	0.0	0	0	0.0	0
Mix_68	0.0	0.000115493169799	0	0	0.000302430506242	0
Mix_69	0.00246844702524	0.0	0	0	0.0	0
Mix_70	0.0	0.000247850947874	0	0	0.000491963334993	0
Mix_71	0.0	3.54978179366e-05	0	0	0.000142101503312	0
Mix_72	0.0	0.000366873835541	0	0	0.000300856763827	0
Mix_73	0.0	0.00052083049213	0	0	0.000936699745276	0
Mix_74	0.00243796807447	0.0	0	0	0.0	0
Mix_75	0.0	0.000396099501028	0	0	0.000305715896465	0
Mix_76	0.0	0.000264542133907	0	0	0.000347223967324	0
Mix_77	0.0	0.000293428683281	0	0	0.0	0
Mix_78	0.0	0.000473823531805	0	0	0.00102017513245	0
Mix_79	0.0	0.000532645842894	0	0	0.000244404768389	0
Mix_80	0.0	0.000333647687757	0	0	0.000113893836242	0
Mix_81	0.0	2.629613186e-05	0	0	0.0	0
Mix_82	0.000176241374786	6.59061973336e-05	0	0	0.000242155478045	0
Mix_83	0.00120838616888	0.0	0	0	0.0	0
Mix_84	0.0	0.00012205257741	0	0	0.000120577188567	0
Mix_85	0.0	0.000235340405777	0	0	0.000209628302029	0
Mix_86	0.0	0.000177921641181	0	0	0.000141826004799	0
Mix_87	0.00634777855684	0.0	0	0	0.0	0
Mix_88	0.000120500746438	3.98810973419e-07	0	0	0.0	0
