	Neutrophils	Lymphocyte	Monocytes	Eosinophil	Basophil	Other
S10001	0.406152172593	0.429192568521	0.126020695533	0	0	0.0386345633529
S10006	0.410393463698	0.472341349134	0.0602176777901	0	0	0.0570475093781
S1001	0.380959030541	0.434691930826	0.110449877693	0	0	0.0738991609401
S10010	0.497268758073	0.355885627019	0.104119183469	0	0	0.0427264314393
S10011	0.400672024202	0.410123932573	0.134318478916	0	0	0.0548855643086
S10014	0.426839389433	0.457771479286	0.0840887400405	0	0	0.0313003912401
S10026	0.445059284745	0.423061644782	0.0812111964166	0	0	0.0506678740561
S10032	0.369917055075	0.404644554074	0.182536381675	0	0	0.0429020091765
S10036	0.443219451934	0.433695532764	0.0497456861442	0	0	0.0733393291579
S10042	0.406799132816	0.416636638021	0.109362577352	0	0	0.0672016518117
S10044	0.432164191842	0.433085629052	0.0763824092721	0	0	0.0583677698334
S10049	0.383791959043	0.482054476247	0.0932953018865	0	0	0.0408582628235
S10057	0.336538963641	0.47890224277	0.109467036019	0	0	0.0750917575705
S10062	0.363768268973	0.436894754492	0.161095088166	0	0	0.0382418883697
S10066	0.475764998564	0.373760391236	0.120695110716	0	0	0.0297794994847
S10067	0.300263793211	0.5340666302	0.121729625114	0	0	0.0439399514759
S1007	0.363165881543	0.439689745186	0.129316690226	0	0	0.0678276830449
S10073	0.382184596876	0.465406736844	0.105624688431	0	0	0.0467839778482
S10077	0.33533720709	0.445200629641	0.173552616885	0	0	0.0459095463839
S10080	0.378107676396	0.418520971892	0.154233226625	0	0	0.0491381250872
S10082	0.385364039961	0.437228056554	0.119223680065	0	0	0.0581842234199
S10087	0.35124716901	0.482581702373	0.135155963899	0	0	0.0310151647182
S10089	0.39479305595	0.457507012335	0.1091223922	0	0	0.0385775395158
S1009	0.313648546568	0.50127538228	0.124430173291	0	0	0.0606458978615
S10090	0.40416782553	0.441142012402	0.117959573267	0	0	0.0367305888006
S10093	0.459196333152	0.360802103123	0.0753958259211	0	0	0.104605737803
S10094	0.37940508984	0.439267807268	0.146059583059	0	0	0.0352675198322
S1010	0.334995061081	0.486569126638	0.156160385117	0	0	0.0222754271637
S10111	0.371028001214	0.49450289132	0.0967617259748	0	0	0.0377073814917
S10116	0.261009539609	0.536236300287	0.165082153324	0	0	0.0376720067798
S10119	0.364092951432	0.478516293216	0.108598042803	0	0	0.0487927125493
S10121	0.377248091886	0.463100765584	0.114840011641	0	0	0.044811130888
S10130	0.418604007202	0.423564135893	0.127473755393	0	0	0.0303581015117
S10140	0.467574500884	0.388635212324	0.0879194304603	0	0	0.055870856332
S10142	0.312822788052	0.539339892041	0.11036197144	0	0	0.0374753484667
S10150	0.538332067537	0.325615994243	0.0884165032919	0	0	0.0476354349282
S10155	0.382451488903	0.450879412882	0.12252071669	0	0	0.0441483815247
S1016	0.419313072143	0.432028179881	0.113548569466	0	0	0.0351101785104
S10163	0.41852747088	0.408062385723	0.12824647948	0	0	0.045163663917
S10167	0.408018564092	0.465081230366	0.0704870207839	0	0	0.0564131847587
S10168	0.31351323026	0.519209507876	0.116184893766	0	0	0.0510923680973
S10173	0.358969659949	0.503402686703	0.0983189526668	0	0	0.0393087006813
S10175	0.408947994369	0.47304437858	0.0817184869467	0	0	0.036289140104
S10179	0.30884919159	0.500455206146	0.124710243693	0	0	0.0659853585713
S10186	0.235898935451	0.530018026713	0.168269459387	0	0	0.0658135784493
S1019	0.307629399714	0.486254888017	0.159459698233	0	0	0.0466560140358
S10190	0.376430655254	0.454535413194	0.0967606212064	0	0	0.0722733103458
S10195	0.448219083053	0.400369944011	0.10024727038	0	0	0.0511637025561
S10196	0.429720044259	0.432201553606	0.0961307865141	0	0	0.0419476156217
S10200	0.435726352538	0.435890659996	0.10145209061	0	0	0.0269308968553
S10201	0.519738381982	0.342125134835	0.101472322996	0	0	0.036664160187
S10202	0.389656895088	0.437330459198	0.137767211291	0	0	0.0352454344229
S10205	0.391762822387	0.49649926983	0.0626359809371	0	0	0.0491019268462
S10211	0.385720512136	0.434509654035	0.0844581490974	0	0	0.0953116847317
S10221	0.41760622442	0.437527790705	0.0866129071948	0	0	0.0582530776795
S10222	0.4511783489	0.423299738482	0.0782844032546	0	0	0.0472375093637
S10226	0.420120995881	0.442124718251	0.115989914892	0	0	0.021764370976
S10227	0.435065864837	0.422436892468	0.112550914765	0	0	0.0299463279298
S10228	0.409819165267	0.479681340143	0.0951755429852	0	0	0.0153239516046
S10232	0.308132527397	0.540664152259	0.087053557433	0	0	0.0641497629116
S10248	0.43530353136	0.440463554906	0.0524232528274	0	0	0.0718096609061
S10249	0.474431147541	0.280056017087	0.167758817355	0	0	0.077754018017
S1025	0.340348223325	0.485376023551	0.116946875021	0	0	0.0573288781038
S10266	0.438489684805	0.405577821817	0.116308413113	0	0	0.0396240802657
S10269	0.411731479142	0.464830846624	0.112533404031	0	0	0.0109042702026
S10272	0.464357210364	0.404917489089	0.0672518456833	0	0	0.0634734548637
S10273	0.420305594559	0.44413549133	0.102149852441	0	0	0.0334090616696
S10274	0.376597441561	0.47008298096	0.115574978965	0	0	0.0377445985145
S1028	0.40736493913	0.406747559199	0.0886345378995	0	0	0.0972529637722
S10280	0.381147173169	0.479144889854	0.139707936976	0	0	0.0
S10283	0.283317262082	0.487161540036	0.150911833281	0	0	0.0786093646002
S1029	0.403264222557	0.468855580147	0.093988637622	0	0	0.0338915596742
S10292	0.34424613022	0.503717587356	0.0820783453921	0	0	0.0699579370314
S10294	0.37887441989	0.462584565139	0.0695854409916	0	0	0.0889555739801
S10302	0.411086745187	0.421822109789	0.0944515599034	0	0	0.0726395851197
S10303	0.387423603041	0.433413468122	0.128817306241	0	0	0.0503456225963
S10323	0.392231402253	0.457891970804	0.121733252015	0	0	0.0281433749282
S10326	0.404715004925	0.452539469542	0.114768422825	0	0	0.0279771027081
S10328	0.364884624214	0.501844154373	0.0926293271999	0	0	0.0406418942141
S10329	0.36339541409	0.477907367955	0.10769995687	0	0	0.0509972610852
S10336	0.364164592517	0.455334385733	0.13606460389	0	0	0.0444364178605
S10340	0.408238249282	0.455836368476	0.0932647626439	0	0	0.0426606195987
S10347	0.335055281875	0.453545584013	0.149591730511	0	0	0.0618074036006
S10353	0.357439448921	0.49032499817	0.141057832545	0	0	0.0111777203643
S10356	0.351435079885	0.45222322913	0.142371723788	0	0	0.0539699671978
S10358	0.388744316688	0.437602893887	0.137078293675	0	0	0.0365744957504
S10365	0.436518804593	0.428193099026	0.12139666282	0	0	0.01389143356
S1037	0.290938077521	0.558656662956	0.0985543593898	0	0	0.051850900133
S10373	0.357461270436	0.478153402587	0.110324242131	0	0	0.0540610848463
S10374	0.37912991516	0.460707644269	0.081710082276	0	0	0.0784523582951
