	Neutrophils	Lymphocyte	Monocytes	Eosinophil	Basophil	Other
S10001	0	0.719991517737	0	0	0	0.280008482263
S10006	0	0.75012608173	0	0	0	0.24987391827
S1001	0	0.728053745471	0	0	0	0.271946254529
S10010	0	0.675211612881	0	0	0	0.324788387119
S10011	0	0.73118053185	0	0	0	0.26881946815
S10014	0	0.740050091634	0	0	0	0.259949908366
S10026	0	0.74332004457	0	0	0	0.25667995543
S10032	0	0.720127444449	0	0	0	0.279872555551
S10036	0	0.723801933267	0	0	0	0.276198066733
S10042	0	0.733435059438	0	0	0	0.266564940562
S10044	0	0.746892495909	0	0	0	0.253107504091
S10049	0	0.770086881711	0	0	0	0.229913118289
S10057	0	0.762462032255	0	0	0	0.237537967745
S10062	0	0.74084665488	0	0	0	0.25915334512
S10066	0	0.670656926238	0	0	0	0.329343073762
S10067	0	0.802317296812	0	0	0	0.197682703188
S1007	0	0.732036816899	0	0	0	0.267963183101
S10073	0	0.783787527379	0	0	0	0.216212472621
S10077	0	0.731880255752	0	0	0	0.268119744248
S10080	0	0.728998534352	0	0	0	0.271001465648
S10082	0	0.770811671712	0	0	0	0.229188328288
S10087	0	0.788602585544	0	0	0	0.211397414456
S10089	0	0.735217599566	0	0	0	0.264782400434
S1009	0	0.805760940391	0	0	0	0.194239059609
S10090	0	0.72467868553	0	0	0	0.27532131447
S10093	0	0.681878606366	0	0	0	0.318121393634
S10094	0	0.72515971411	0	0	0	0.27484028589
S1010	0	0.771321851255	0	0	0	0.228678148745
S10111	0	0.766608358126	0	0	0	0.233391641874
S10116	0	0.793826393279	0	0	0	0.206173606721
S10119	0	0.765863397823	0	0	0	0.234136602177
S10121	0	0.748401326537	0	0	0	0.251598673463
S10130	0	0.708585499256	0	0	0	0.291414500744
S10140	0	0.703457168993	0	0	0	0.296542831007
S10142	0	0.780829382929	0	0	0	0.219170617071
S10150	0	0.635247604146	0	0	0	0.364752395854
S10155	0	0.74463661046	0	0	0	0.25536338954
S1016	0	0.729850268819	0	0	0	0.270149731181
S10163	0	0.718882697963	0	0	0	0.281117302037
S10167	0	0.735345422159	0	0	0	0.264654577841
S10168	0	0.781834762981	0	0	0	0.218165237019
S10173	0	0.823661594702	0	0	0	0.176338405298
S10175	0	0.73887881906	0	0	0	0.26112118094
S10179	0	0.776189318202	0	0	0	0.223810681798
S10186	0	0.805376537555	0	0	0	0.194623462445
S1019	0	0.748036347145	0	0	0	0.251963652855
S10190	0	0.774439769092	0	0	0	0.225560230908
S10195	0	0.708065043201	0	0	0	0.291934956799
S10196	0	0.715158461066	0	0	0	0.284841538934
S10200	0	0.715967699919	0	0	0	0.284032300081
S10201	0	0.621005071486	0	0	0	0.378994928514
S10202	0	0.760989369708	0	0	0	0.239010630292
S10205	0	0.772735963153	0	0	0	0.227264036847
S10211	0	0.729289182886	0	0	0	0.270710817114
S10221	0	0.736109970723	0	0	0	0.263890029277
S10222	0	0.718912659821	0	0	0	0.281087340179
S10226	0	0.735666805345	0	0	0	0.264333194655
S10227	0	0.707498727053	0	0	0	0.292501272947
S10228	0	0.732861854192	0	0	0	0.267138145808
S10232	0	0.814318540474	0	0	0	0.185681459526
S10248	0	0.756683544517	0	0	0	0.243316455483
S10249	0	0.619995838226	0	0	0	0.380004161774
S1025	0	0.76787807499	0	0	0	0.23212192501
S10266	0	0.719142664769	0	0	0	0.280857335231
S10269	0	0.738767447465	0	0	0	0.261232552535
S10272	0	0.694141546459	0	0	0	0.305858453541
S10273	0	0.735839825951	0	0	0	0.264160174049
S10274	0	0.732992787697	0	0	0	0.267007212303
S1028	0	0.725258555207	0	0	0	0.274741444793
S10280	0	0.730821675505	0	0	0	0.269178324495
S10283	0	0.81215637067	0	0	0	0.18784362933
S1029	0	0.748056634544	0	0	0	0.251943365456
S10292	0	0.775272282281	0	0	0	0.224727717719
S10294	0	0.757898161719	0	0	0	0.242101838281
S10302	0	0.750871515288	0	0	0	0.249128484712
S10303	0	0.755361938305	0	0	0	0.244638061695
S10323	0	0.740484951657	0	0	0	0.259515048343
S10326	0	0.725342753416	0	0	0	0.274657246584
S10328	0	0.77838651675	0	0	0	0.22161348325
S10329	0	0.776439936898	0	0	0	0.223560063102
S10336	0	0.724639231919	0	0	0	0.275360768081
S10340	0	0.768207720535	0	0	0	0.231792279465
S10347	0	0.74050140382	0	0	0	0.25949859618
S10353	0	0.767420072747	0	0	0	0.232579927253
S10356	0	0.772904072361	0	0	0	0.227095927639
S10358	0	0.726610977309	0	0	0	0.273389022691
S10365	0	0.705710722753	0	0	0	0.294289277247
S1037	0	0.829732791472	0	0	0	0.170267208528
S10373	0	0.772060461308	0	0	0	0.227939538692
S10374	0	0.743178549057	0	0	0	0.256821450943
S10375	0	0.711013721941	0	0	0	0.288986278059
S10377	0	0.750399730076	0	0	0	0.249600269924
S10378	0	0.7696235148	0	0	0	0.2303764852
S10390	0	0.7261938626	0	0	0	0.2738061374
S10391	0	0.740426435646	0	0	0	0.259573564354
S10393	0	0.74425060968	0	0	0	0.25574939032
S10400	0	0.704977373665	0	0	0	0.295022626335
S10401	0	0.732529747046	0	0	0	0.267470252954
S10406	0	0.664030344042	0	0	0	0.335969655958
S10408	0	0.743729102527	0	0	0	0.256270897473
S10409	0	0.762945528757	0	0	0	0.237054471243
S10418	0	0.677038860763	0	0	0	0.322961139237
S10431	0	0.734692742732	0	0	0	0.265307257268
S10438	0	0.724553300592	0	0	0	0.275446699408
S10439	0	0.711029601097	0	0	0	0.288970398903
S10441	0	0.675407064822	0	0	0	0.324592935178
S10442	0	0.725926068273	0	0	0	0.274073931727
S1046	0	0.69957169571	0	0	0	0.30042830429
S10478	0	0.644395604528	0	0	0	0.355604395472
S10480	0	0.79090993615	0	0	0	0.20909006385
S10484	0	0.705165984204	0	0	0	0.294834015796
S10492	0	0.762892921888	0	0	0	0.237107078112
S10496	0	0.798411489356	0	0	0	0.201588510644
S10510	0	0.746328891358	0	0	0	0.253671108642
S10513	0	0.714326561018	0	0	0	0.285673438982
S10516	0	0.731951148198	0	0	0	0.268048851802
S10534	0	0.752597462941	0	0	0	0.247402537059
S10535	0	0.762209483738	0	0	0	0.237790516262
S10537	0	0.718747908829	0	0	0	0.281252091171
S1054	0	0.768942718482	0	0	0	0.231057281518
S10543	0	0.756881385618	0	0	0	0.243118614382
S10546	0	0.723326682314	0	0	0	0.276673317686
S1055	0	0.66015108152	0	0	0	0.33984891848
S10551	0	0.76118260856	0	0	0	0.23881739144
S10552	0	0.677270795126	0	0	0	0.322729204874
S10555	0	0.808869081904	0	0	0	0.191130918096
S10559	0	0.720167113884	0	0	0	0.279832886116
S1056	0	0.782256000308	0	0	0	0.217743999692
S10563	0	0.743598869747	0	0	0	0.256401130253
S10574	0	0.784521107055	0	0	0	0.215478892945
S10576	0	0.696968857276	0	0	0	0.303031142724
S10578	0	0.695838104708	0	0	0	0.304161895292
S10579	0	0.730158715882	0	0	0	0.269841284118
S10582	0	0.728265317034	0	0	0	0.271734682966
S1059	0	0.738680319478	0	0	0	0.261319680522
S10599	0	0.702493308144	0	0	0	0.297506691856
S10611	0	0.732176794631	0	0	0	0.267823205369
S10614	0	0.691644507668	0	0	0	0.308355492332
S10624	0	0.76441652579	0	0	0	0.23558347421
S10632	0	0.717719615846	0	0	0	0.282280384154
S10634	0	0.782111304141	0	0	0	0.217888695859
S10638	0	0.732900134292	0	0	0	0.267099865708
S10644	0	0.778788266099	0	0	0	0.221211733901
S10649	0	0.693091077294	0	0	0	0.306908922706
S10652	0	0.68431174553	0	0	0	0.31568825447
S10654	0	0.750825011887	0	0	0	0.249174988113
S10655	0	0.727552151925	0	0	0	0.272447848075
S10656	0	0.749952016954	0	0	0	0.250047983046
S10657	0	0.716029752043	0	0	0	0.283970247957
S10658	0	0.764899280837	0	0	0	0.235100719163
S10660	0	0.799354664164	0	0	0	0.200645335836
S10661	0	0.795318149696	0	0	0	0.204681850304
S10676	0	0.696765256034	0	0	0	0.303234743966
S1068	0	0.787179894073	0	0	0	0.212820105927
S10681	0	0.703871311339	0	0	0	0.296128688661
S10686	0	0.729729371568	0	0	0	0.270270628432
S10688	0	0.782175575191	0	0	0	0.217824424809
S10690	0	0.730390762503	0	0	0	0.269609237497
S10698	0	0.78156980677	0	0	0	0.21843019323
S107	0	0.761426395021	0	0	0	0.238573604979
S10703	0	0.755161489855	0	0	0	0.244838510145
S10726	0	0.770971931669	0	0	0	0.229028068331
S10729	0	0.724679060676	0	0	0	0.275320939324
S10733	0	0.738337574225	0	0	0	0.261662425775
S10734	0	0.770834013807	0	0	0	0.229165986193
S10735	0	0.748176132566	0	0	0	0.251823867434
S10740	0	0.689528274581	0	0	0	0.310471725419
S10745	0	0.678963537316	0	0	0	0.321036462684
