	Neutrophils	Lymphocyte	Monocytes	Eosinophil	Basophil	Other
S10001	0.399627246026	0.470615488475	0.129757265499	0	0	0
S10006	0.404394834446	0.479016594819	0.116588570735	0	0	0
S1001	0.35510159766	0.484116553817	0.160781848524	0	0	0
S10010	0.418418215081	0.418940719883	0.162641065035	0	0	0
S10011	0.350055604934	0.486416881106	0.16352751396	0	0	0
S10014	0.382355351224	0.476738701751	0.140905947025	0	0	0
S10026	0.390672036495	0.463853610745	0.14547435276	0	0	0
S10032	0.342630643309	0.464908112094	0.192461244597	0	0	0
S10036	0.422472834142	0.446859847432	0.130667318426	0	0	0
S10042	0.3853557261	0.474527104462	0.140117169438	0	0	0
S10044	0.403340995505	0.471924850667	0.124734153828	0	0	0
S10049	0.388880892989	0.491943959687	0.119175147324	0	0	0
S10057	0.340641273704	0.532368912801	0.126989813495	0	0	0
S10062	0.379504248903	0.453672090236	0.16682366086	0	0	0
S10066	0.418548402534	0.42513920108	0.156312396386	0	0	0
S10067	0.351766630687	0.51713734159	0.131096027723	0	0	0
S1007	0.38061426002	0.478675059495	0.140710680485	0	0	0
S10073	0.379980748143	0.50597762999	0.114041621867	0	0	0
S10077	0.356862016553	0.495382664172	0.147755319275	0	0	0
S10080	0.361792132881	0.484179495554	0.154028371565	0	0	0
S10082	0.365538775174	0.477627386102	0.156833838724	0	0	0
S10087	0.362800178614	0.489760988108	0.147438833278	0	0	0
S10089	0.423772937001	0.464576214132	0.111650848868	0	0	0
S1009	0.315158364867	0.556414643871	0.128426991262	0	0	0
S10090	0.424631661535	0.452118509992	0.123249828473	0	0	0
S10093	0.402741038299	0.442776946108	0.154482015593	0	0	0
S10094	0.38906477965	0.459535207995	0.151400012355	0	0	0
S1010	0.360450080368	0.492333993682	0.147215925949	0	0	0
S10111	0.356254448975	0.514461365992	0.129284185033	0	0	0
S10116	0.260880267111	0.585131654514	0.153988078375	0	0	0
S10119	0.364040237767	0.493185422318	0.142774339915	0	0	0
S10121	0.38921832088	0.486761809042	0.124019870077	0	0	0
S10130	0.405790998562	0.446200613672	0.148008387767	0	0	0
S10140	0.415640128476	0.449545206717	0.134814664807	0	0	0
S10142	0.311751474887	0.546240359172	0.142008165941	0	0	0
S10150	0.443497172645	0.41409915068	0.142403676675	0	0	0
S10155	0.372810510965	0.489042527496	0.138146961539	0	0	0
S1016	0.395134892352	0.452334840728	0.152530266919	0	0	0
S10163	0.360072592551	0.503652576031	0.136274831418	0	0	0
S10167	0.385189936421	0.496574680457	0.118235383121	0	0	0
S10168	0.340153414479	0.539848339148	0.119998246373	0	0	0
S10173	0.335804760837	0.532168872986	0.132026366178	0	0	0
S10175	0.397409218763	0.471505540751	0.131085240486	0	0	0
S10179	0.321870309469	0.522872062848	0.155257627683	0	0	0
S10186	0.25792613694	0.580784244209	0.161289618851	0	0	0
S1019	0.341949668212	0.512752787316	0.145297544472	0	0	0
S10190	0.362305921376	0.488525231654	0.14916884697	0	0	0
S10195	0.422811798279	0.447745458695	0.129442743026	0	0	0
S10196	0.394408632261	0.473864275363	0.131727092376	0	0	0
S10200	0.397020257738	0.459367374364	0.143612367898	0	0	0
S10201	0.475362522451	0.405972715059	0.11866476249	0	0	0
S10202	0.351284834777	0.496981838539	0.151733326685	0	0	0
S10205	0.388786043668	0.508622654464	0.102591301868	0	0	0
S10211	0.390979866418	0.477471962745	0.131548170837	0	0	0
S10221	0.380941879806	0.469952923315	0.149105196879	0	0	0
S10222	0.434964720664	0.448143505783	0.116891773553	0	0	0
S10226	0.411473816796	0.455024433168	0.133501750036	0	0	0
S10227	0.413096988386	0.44326182653	0.143641185084	0	0	0
S10228	0.385186337475	0.477698777473	0.137114885052	0	0	0
S10232	0.309776005483	0.561088663355	0.129135331162	0	0	0
S10248	0.417384646286	0.471846597403	0.110768756311	0	0	0
S10249	0.40728306295	0.411392325657	0.181324611394	0	0	0
S1025	0.350071372989	0.521381354619	0.128547272392	0	0	0
S10266	0.414820650402	0.449975673259	0.135203676338	0	0	0
S10269	0.402581672103	0.47347321756	0.123945110337	0	0	0
S10272	0.454833001347	0.426106473112	0.119060525541	0	0	0
S10273	0.383986143645	0.490854471628	0.125159384727	0	0	0
S10274	0.399341634082	0.452017466259	0.148640899659	0	0	0
S1028	0.410509481875	0.444748245407	0.144742272719	0	0	0
S10280	0.342833027901	0.489379842431	0.167787129668	0	0	0
S10283	0.306847224274	0.532084299214	0.161068476511	0	0	0
S1029	0.361044072984	0.509044508555	0.129911418461	0	0	0
S10292	0.361281162316	0.532710430263	0.106008407421	0	0	0
S10294	0.338999045598	0.517244077978	0.143756876423	0	0	0
S10302	0.372802101672	0.483112059013	0.144085839315	0	0	0
S10303	0.345230381825	0.506953858151	0.147815760024	0	0	0
S10323	0.381807127318	0.4799013612	0.138291511482	0	0	0
S10326	0.392268429835	0.46944099291	0.138290577255	0	0	0
S10328	0.355193741651	0.532474370051	0.112331888298	0	0	0
S10329	0.352554766616	0.513587776353	0.133857457031	0	0	0
S10336	0.361628349245	0.502980642641	0.135391008114	0	0	0
S10340	0.402104206372	0.481245958237	0.116649835391	0	0	0
S10347	0.351101899255	0.513150990797	0.135747109948	0	0	0
S10353	0.38271989398	0.482369060947	0.134911045073	0	0	0
S10356	0.339732673144	0.50847740286	0.151789923995	0	0	0
S10358	0.399422188885	0.454337811773	0.146239999342	0	0	0
S10365	0.414649193146	0.431765931024	0.15358487583	0	0	0
S1037	0.298083788361	0.57879885476	0.123117356879	0	0	0
S10373	0.35381680864	0.5116514016	0.13453178976	0	0	0
S10374	0.411342280303	0.448470891101	0.140186828596	0	0	0
S10375	0.381438250902	0.466864341766	0.151697407332	0	0	0
S10377	0.357267924476	0.498904408323	0.143827667202	0	0	0
S10378	0.375196122281	0.504806159156	0.119997718563	0	0	0
S10390	0.374992661594	0.505222108845	0.119785229561	0	0	0
S10391	0.368200091925	0.474726449193	0.157073458882	0	0	0
S10393	0.406342262689	0.474881057184	0.118776680128	0	0	0
S10400	0.36570822622	0.452998104636	0.181293669144	0	0	0
S10401	0.347527441747	0.507844732204	0.144627826048	0	0	0
S10406	0.454957447212	0.402260145892	0.142782406896	0	0	0
S10408	0.384803817836	0.494114516391	0.121081665773	0	0	0
S10409	0.365619829791	0.504249121845	0.130131048364	0	0	0
S10418	0.456558194849	0.416219693274	0.127222111877	0	0	0
S10431	0.38559710933	0.464512759821	0.149890130849	0	0	0
S10438	0.372695915226	0.477396388087	0.149907696687	0	0	0
S10439	0.368432258933	0.452104303339	0.179463437728	0	0	0
S10441	0.395813821378	0.429642250131	0.174543928491	0	0	0
S10442	0.362748752509	0.480943661009	0.156307586482	0	0	0
