	B Cells	CD4 T Cells	CD8 T Cells	Monocytes	NK Cells	Other
mix_1	0.0	0.66221606956	0.0	0	0	0
mix_2	0.0	0.642614809523	0.0	0	0	0
mix_3	0.0864878929058	0.754784212483	0.0	0	0	0
mix_4	0.0414100242857	0.730541309749	0.0	0	0	0
mix_5	0.0386544391933	0.747174790288	0.0	0	0	0
mix_6	0.0	0.726130502916	0.0	0	0	0
mix_7	0.0912716753227	0.71393680115	0.0	0	0	0
mix_8	0.0	0.679515216975	0.0	0	0	0
mix_9	0.0	0.721738956306	0.0	0	0	0
mix_10	0.0964767363638	0.69400133575	0.0	0	0	0
mix_11	0.0	0.646389788473	0.0	0	0	0
mix_12	0.0	0.695618670165	0.0	0	0	0
mix_13	0.109651671332	0.688267897043	0.0	0	0	0
mix_14	0.106762372886	0.689031169258	0.0	0	0	0
mix_15	0.0997366322138	0.729377492523	0.0	0	0	0
mix_16	0.068889492846	0.736372258226	0.0	0	0	0
mix_17	0.210644577327	0.661437603029	0.0	0	0	0
mix_18	0.0	0.620164481179	0.0	0	0	0
mix_19	0.0121721935471	0.710820085977	0.0	0	0	0
mix_20	0.104865243653	0.779404637149	0.0	0	0	0
mix_21	0.0837918892801	0.724513721133	0.0	0	0	0
mix_22	0.0105478921894	0.718201242447	0.0	0	0	0
mix_23	0.034929430011	0.694903545131	0.0	0	0	0
mix_24	0.0	0.612495754716	0.0	0	0	0
mix_25	0.0	0.742546950101	0.0	0	0	0
mix_26	0.064459561049	0.807932097655	0.0	0	0	0
mix_27	0.0	0.619712520249	0.0	0	0	0
mix_28	0.104304120368	0.769841048972	0.0	0	0	0
mix_29	0.0	0.73111605251	0.0	0	0	0
mix_30	0.00793548310143	0.730351229421	0.0	0	0	0
mix_31	0.0	0.729252584265	0.0	0	0	0
mix_32	0.0395482495068	0.741060414271	0.0	0	0	0
mix_33	0.0	0.705309961638	0.0	0	0	0
mix_34	0.0	0.656199240251	0.0	0	0	0
mix_35	0.0	0.713498330196	0.0	0	0	0
mix_36	0.0940665114507	0.711933449497	0.0	0	0	0
mix_37	0.0868797897327	0.711227361658	0.0	0	0	0
mix_38	0.0775087085878	0.779585609536	0.0	0	0	0
mix_39	0.112931521338	0.720153498463	0.0	0	0	0
mix_40	0.00385993692761	0.716315614614	0.0	0	0	0
mix_41	0.0	0.686301069927	0.0	0	0	0
mix_42	0.135185408092	0.728056130689	0.0	0	0	0
mix_43	0.0109240795365	0.782312299731	0.0	0	0	0
mix_44	0.0440777140074	0.766351473249	0.0	0	0	0
mix_45	0.0	0.759916243849	0.0	0	0	0
mix_46	0.0829390460725	0.758453106638	0.0	0	0	0
mix_47	0.0082382733274	0.713310006788	0.0	0	0	0
mix_48	0.0	0.612870367893	0.0	0	0	0
mix_49	0.0	0.682946502847	0.0	0	0	0
mix_50	0.109805727251	0.733696134962	0.0	0	0	0
mix_51	0.0	0.657413795121	0.0	0	0	0
mix_52	0.132059367178	0.714703046547	0.0	0	0	0
mix_53	0.0	0.676772313542	0.0	0	0	0
mix_54	0.148541449916	0.714992735955	0.0	0	0	0
mix_55	0.0	0.682241392786	0.0	0	0	0
mix_56	0.0547689358613	0.743354721716	0.0	0	0	0
mix_57	0.0	0.719588330098	0.0	0	0	0
mix_58	0.0575602799427	0.739218158133	0.0	0	0	0
mix_59	0.0	0.695207600824	0.0	0	0	0
mix_60	0.0716829787051	0.694940230289	0.0	0	0	0
mix_61	0.140702116235	0.736953645643	0.0	0	0	0
mix_62	0.0998047880243	0.752254268366	0.0	0	0	0
mix_63	0.0	0.707155357523	0.0	0	0	0
mix_64	0.000439700562589	0.702340992287	0.0	0	0	0
mix_65	0.00895308947026	0.757041299467	0.0	0	0	0
mix_66	0.0	0.658816407365	0.0	0	0	0
mix_67	0.121433713721	0.731410595561	0.0	0	0	0
mix_68	0.055437774831	0.783893822785	0.0	0	0	0
mix_69	0.0	0.69788726195	0.0	0	0	0
mix_70	0.0223804008613	0.658010244062	0.0	0	0	0
mix_71	0.0	0.624690306136	0.0	0	0	0
mix_72	0.148098241675	0.676454453789	0.0	0	0	0
mix_73	0.0629807238862	0.696965595865	0.0	0	0	0
mix_74	0.0327911084943	0.712858202459	0.0	0	0	0
mix_75	0.0	0.637064605822	0.0	0	0	0
mix_76	0.0432334494104	0.767347025855	0.0	0	0	0
mix_77	0.0862220936619	0.785950885335	0.0	0	0	0
mix_78	0.0	0.688293814759	0.0	0	0	0
mix_79	0.0	0.689258035591	0.0	0	0	0
mix_80	0.0884888544305	0.711657243955	0.0	0	0	0
mix_81	0.0632521084898	0.748258106114	0.0	0	0	0
mix_82	0.0129756447065	0.706713253078	0.0	0	0	0
mix_83	0.0	0.665229187768	0.0	0	0	0
mix_84	0.0636874527696	0.726294384292	0.0	0	0	0
mix_85	0.0540514467042	0.742985238009	0.0	0	0	0
mix_86	0.0682631492957	0.7770319482	0.0	0	0	0
mix_87	0.0119738529997	0.741948886622	0.0	0	0	0
mix_88	0.0683879714853	0.740786516742	0.0	0	0	0
mix_89	0.0909728459085	0.761159784999	0.0	0	0	0
mix_90	0.0	0.73551362006	0.0	0	0	0
mix_91	0.0	0.669179780939	0.0	0	0	0
mix_92	0.00885921182239	0.72174643295	0.0	0	0	0
mix_93	0.0	0.59448114237	0.0	0	0	0
mix_94	0.0	0.650532843225	0.0	0	0	0
mix_95	0.0	0.657086227395	0.0	0	0	0
mix_96	0.0	0.673145919521	0.0	0	0	0
mix_97	0.0	0.708687476486	0.0	0	0	0
mix_98	0.00610826995893	0.710223730182	0.0	0	0	0
mix_99	0.129786327949	0.761848680397	0.0	0	0	0
mix_100	0.0211267874502	0.727867967459	0.0	0	0	0
