	B Cells	CD4 T Cells	CD8 T Cells	Endothelial	Fibroblasts	Macrophages	Mast Cell	Other
mix_1	0.256906179123	0.0	0.0	0	0	0	0	0
mix_2	0.273331119663	0.0190847749001	0.0	0	0	0	0	0
mix_3	0.228315757446	0.0830747936277	0.0	0	0	0	0	0
mix_4	0.244874537973	0.0373409650327	0.0	0	0	0	0	0
mix_5	0.231562724269	0.0550355688834	0.0	0	0	0	0	0
mix_6	0.247316787146	0.0328097871743	0.0	0	0	0	0	0
mix_7	0.228905831367	0.072100253592	0.0	0	0	0	0	0
mix_8	0.240354080428	0.0491268923354	0.0	0	0	0	0	0
mix_9	0.258704399638	0.00871499407251	0.0	0	0	0	0	0
mix_10	0.255614740531	0.0377447978823	0.0	0	0	0	0	0
mix_11	0.263272809781	0.0	0.0	0	0	0	0	0
mix_12	0.225909966287	0.060658909466	0.0	0	0	0	0	0
mix_13	0.254059679424	0.0404064611358	0.0	0	0	0	0	0
mix_14	0.266063868308	0.00111047390723	0.0	0	0	0	0	0
mix_15	0.239637871311	0.0486473566028	0.0	0	0	0	0	0
mix_16	0.218590457056	0.113119247817	0.0	0	0	0	0	0
mix_17	0.212715661868	0.121382255031	0.0	0	0	0	0	0
mix_18	0.261122702108	0.0438397029958	0.0	0	0	0	0	0
mix_19	0.230166288	0.0735622869582	0.0	0	0	0	0	0
mix_20	0.267927720712	0.0214562657344	0.0	0	0	0	0	0
mix_21	0.221182064338	0.102491453063	0.0	0	0	0	0	0
mix_22	0.254972965511	0.0	0.0	0	0	0	0	0
mix_23	0.274536849688	0.0	0.0	0	0	0	0	0
mix_24	0.227743010272	0.0745461727389	0.0	0	0	0	0	0
mix_25	0.264987486866	0.0132711843055	0.0	0	0	0	0	0
mix_26	0.221452191919	0.0961484318606	0.0	0	0	0	0	0
mix_27	0.265655167338	0.0	0.0	0	0	0	0	0
mix_28	0.251703141258	0.0347412556726	0.0	0	0	0	0	0
mix_29	0.261050113351	0.0	0.0	0	0	0	0	0
mix_30	0.250521211633	0.0275912873605	0.0	0	0	0	0	0
mix_31	0.253408287176	0.0261724871024	0.0	0	0	0	0	0
mix_32	0.265304762095	0.0	0.0	0	0	0	0	0
mix_33	0.25105437588	0.0419133736995	0.0	0	0	0	0	0
mix_34	0.249096791193	0.0573562684078	0.0	0	0	0	0	0
mix_35	0.242234071798	0.032702246561	0.0	0	0	0	0	0
mix_36	0.241136825165	0.0362196264906	0.0	0	0	0	0	0
mix_37	0.222202129365	0.0896109298743	0.0	0	0	0	0	0
mix_38	0.237872524566	0.0546695765135	0.0	0	0	0	0	0
mix_39	0.253388851832	0.0286773195974	0.0	0	0	0	0	0
mix_40	0.238804133627	0.0387246417647	0.0	0	0	0	0	0
mix_41	0.234661002748	0.0681366978616	0.0	0	0	0	0	0
mix_42	0.266699619962	0.0216156115853	0.0	0	0	0	0	0
mix_43	0.245251973198	0.0655096973016	0.0	0	0	0	0	0
mix_44	0.279750590012	0.0	0.0	0	0	0	0	0
mix_45	0.241141010638	0.0309530934007	0.0	0	0	0	0	0
mix_46	0.236891655599	0.0504042545129	0.0	0	0	0	0	0
mix_47	0.216549306679	0.144199382649	0.0	0	0	0	0	0
mix_48	0.266821673855	0.0247750878766	0.0	0	0	0	0	0
mix_49	0.251515630676	0.0	0.0	0	0	0	0	0
mix_50	0.245551652974	0.026442751278	0.0	0	0	0	0	0
mix_51	0.22206247745	0.10260434581	0.0	0	0	0	0	0
mix_52	0.241086042702	0.0654146281662	0.0	0	0	0	0	0
mix_53	0.274396629548	0.0319269247744	0.0	0	0	0	0	0
mix_54	0.246358207829	0.0464347787339	0.0	0	0	0	0	0
mix_55	0.23399343647	0.0801425423122	0.0	0	0	0	0	0
mix_56	0.251061974701	0.0240311763511	0.0	0	0	0	0	0
mix_57	0.255781796076	0.0114415798376	0.0	0	0	0	0	0
mix_58	0.235126616129	0.0552661023353	0.0	0	0	0	0	0
mix_59	0.243717398509	0.0627522316503	0.0	0	0	0	0	0
mix_60	0.250719646801	0.049810324237	0.0	0	0	0	0	0
mix_61	0.23614235927	0.051484132463	0.0	0	0	0	0	0
mix_62	0.231556690715	0.0679386711225	0.0	0	0	0	0	0
mix_63	0.234447373606	0.053159974977	0.0	0	0	0	0	0
mix_64	0.22813950261	0.123680580094	0.0	0	0	0	0	0
mix_65	0.241600917531	0.0641812664045	0.0	0	0	0	0	0
mix_66	0.268197963197	0.0205713132587	0.0	0	0	0	0	0
mix_67	0.264274465979	0.00739280284094	0.0	0	0	0	0	0
mix_68	0.228260515323	0.0815645455189	0.0	0	0	0	0	0
mix_69	0.248325256185	0.0480862829636	0.0	0	0	0	0	0
mix_70	0.213975856606	0.105965018744	0.0	0	0	0	0	0
mix_71	0.239483080241	0.0609000273828	0.0	0	0	0	0	0
mix_72	0.231334592198	0.0705769314552	0.0	0	0	0	0	0
mix_73	0.202567225804	0.125035477321	0.0	0	0	0	0	0
mix_74	0.270976124492	0.0	0.0	0	0	0	0	0
mix_75	0.249811436446	0.0508270411942	0.0	0	0	0	0	0
mix_76	0.234241985031	0.0392343926328	0.0	0	0	0	0	0
mix_77	0.255232601328	0.0287809053001	0.0	0	0	0	0	0
mix_78	0.2325916379	0.0750861754214	0.0	0	0	0	0	0
mix_79	0.24100272664	0.0784839751374	0.0	0	0	0	0	0
mix_80	0.265314845893	0.0375804970536	0.0	0	0	0	0	0
mix_81	0.279835606566	0.0198510117772	0.0	0	0	0	0	0
mix_82	0.190620919598	0.146487381091	0.0	0	0	0	0	0
mix_83	0.196846960508	0.12415724535	0.0	0	0	0	0	0
mix_84	0.232708406461	0.0595963750315	0.0	0	0	0	0	0
mix_85	0.233966645454	0.0666281730595	0.0	0	0	0	0	0
mix_86	0.234236940348	0.0602861290358	0.0	0	0	0	0	0
mix_87	0.248381925564	0.0	0.0	0	0	0	0	0
mix_88	0.26264302614	0.00681950783723	0.0	0	0	0	0	0
mix_89	0.273254835538	0.0590324087794	0.0	0	0	0	0	0
mix_90	0.25312586101	0.0	0.0	0	0	0	0	0
mix_91	0.23989791272	0.0292309401217	0.0	0	0	0	0	0
mix_92	0.255213905303	0.036435127511	0.0	0	0	0	0	0
mix_93	0.189997407358	0.159911382362	0.0	0	0	0	0	0
mix_94	0.24954383006	0.0176965080036	0.0	0	0	0	0	0
mix_95	0.244366053722	0.0417070311713	0.0	0	0	0	0	0
mix_96	0.265607052297	0.0173140412521	0.0	0	0	0	0	0
mix_97	0.260354638484	0.0	0.0	0	0	0	0	0
mix_98	0.238284434946	0.0429517873717	0.0	0	0	0	0	0
mix_99	0.207450584264	0.121996613214	0.0	0	0	0	0	0
mix_100	0.218939313301	0.0707132583119	0.0	0	0	0	0	0
