	B Cells	CD4 T Cells	CD8 T Cells	Endothelial	Fibroblasts	Macrophages	Mast Cell	Other
mix_1	0.131755869443	0.443826765636	0.296188111681	0	0	0.0512584735038	0.0769707797364	0
mix_2	0.179737959682	0.456839084771	0.19413955939	0	0	0.0331705203111	0.136112875846	0
mix_3	0.1821409455	0.44409826005	0.0820423077474	0	0	0.140504114481	0.151214372221	0
mix_4	0.142702107839	0.534666705988	0.218822496974	0	0	0.0184318446574	0.0853768445416	0
mix_5	0.148794601269	0.469072191827	0.205966706055	0	0	0.0662825412029	0.109883959646	0
mix_6	0.144973407335	0.512978989224	0.240810644281	0	0	0.0247103835099	0.0765265756497	0
mix_7	0.161375718684	0.440106570846	0.166901055439	0	0	0.0937856268713	0.137831028159	0
mix_8	0.154444152024	0.436000334144	0.207174382963	0	0	0.0724587401722	0.129922390696	0
mix_9	0.135609652243	0.531129088352	0.271134558896	0	0	0.00445422675407	0.0576724737559	0
mix_10	0.16319889842	0.58767161129	0.0838477460009	0	0	0.0570883137249	0.108193430565	0
mix_11	0.156176887367	0.471771306819	0.276246611774	0	0	0.0133946953735	0.0824104986661	0
mix_12	0.129817981944	0.505775102675	0.201861159506	0	0	0.0636082018063	0.0989375540688	0
mix_13	0.132735779413	0.607143242857	0.151270614448	0	0	0.0265438627204	0.0823065005614	0
mix_14	0.141414626702	0.572968791774	0.197373447759	0	0	0.0231489411159	0.0650941926493	0
mix_15	0.154166896182	0.478947128361	0.204752649819	0	0	0.0600915978732	0.102041727765	0
mix_16	0.208470460873	0.412069906369	0.0858163604401	0	0	0.139720322063	0.153922950256	0
mix_17	0.196754886364	0.448402932987	0.0636790852704	0	0	0.128843027104	0.162320068274	0
mix_18	0.158663189836	0.634431977914	0.0421240194335	0	0	0.0469093607709	0.117871452045	0
mix_19	0.165010534148	0.446894446061	0.108096220939	0	0	0.133056077552	0.146942721301	0
mix_20	0.161353202111	0.546626943355	0.201068573552	0	0	0.0105466255497	0.0804046554322	0
mix_21	0.157780644604	0.539801752338	0.0842679022096	0	0	0.0967118670445	0.121437833804	0
mix_22	0.126709152595	0.510294421749	0.234943732691	0	0	0.0414004201887	0.0866522727761	0
mix_23	0.147990905166	0.547916786391	0.223531301007	0	0	0.00977300218547	0.0707880052505	0
mix_24	0.150517253065	0.501895586827	0.180799078986	0	0	0.0653259408678	0.101462140253	0
mix_25	0.143165540137	0.560915491748	0.232535721997	0	0	0.003134417726	0.0602488283923	0
mix_26	0.159001497391	0.543328199844	0.0518117115034	0	0	0.116035028662	0.1298235626	0
mix_27	0.143979308828	0.496745575007	0.272591487999	0	0	0.0213540806419	0.0653295475241	0
mix_28	0.14805793436	0.524712401169	0.207931872795	0	0	0.0340454028354	0.0852523888408	0
mix_29	0.140377016611	0.470819711369	0.260230728272	0	0	0.0328455022696	0.0957270414787	0
mix_30	0.135987291603	0.549820789064	0.219607173853	0	0	0.0192394574584	0.0753452880209	0
mix_31	0.138492918586	0.554510951311	0.168134850915	0	0	0.0394820738029	0.0993792053856	0
mix_32	0.137434903257	0.588088835101	0.189163754586	0	0	0.016791436636	0.0685210704189	0
mix_33	0.140398664927	0.591586487689	0.118695106513	0	0	0.0661781681347	0.0831415727361	0
mix_34	0.175702932078	0.530003942036	0.0240516296415	0	0	0.104357131307	0.165884364937	0
mix_35	0.128278488931	0.515508654139	0.215249715267	0	0	0.0413166359342	0.0996465057283	0
mix_36	0.141063648377	0.508707913742	0.182334218529	0	0	0.0630211663342	0.104873053018	0
mix_37	0.168186931673	0.462273262152	0.124641295156	0	0	0.110373850932	0.134524660087	0
mix_38	0.158780554281	0.454075133122	0.173070460062	0	0	0.101217888253	0.112855964282	0
mix_39	0.149183419827	0.510832962521	0.222978359597	0	0	0.0208435254071	0.0961617326474	0
mix_40	0.131783402663	0.543266551846	0.159453725316	0	0	0.0632691556855	0.10222716449	0
