	Neutrophils	Lymphocyte	Monocytes	Eosinophil	Basophil	Other
S10001	0	0.00736245433923	0	0	0	0.992637545661
S10006	0	0.00713841193751	0	0	0	0.992861588062
S1001	0	0.00773193855309	0	0	0	0.992268061447
S10010	0	0.00788090631732	0	0	0	0.992119093683
S10011	0	0.00673589435166	0	0	0	0.993264105648
S10014	0	0.00794929846765	0	0	0	0.992050701532
S10026	0	0.00764810553343	0	0	0	0.992351894467
S10032	0	0.00794318715602	0	0	0	0.992056812844
S10036	0	0.00742717363867	0	0	0	0.992572826361
S10042	0	0.00795357078318	0	0	0	0.992046429217
S10044	0	0.00801840556029	0	0	0	0.99198159444
S10049	0	0.00817375333761	0	0	0	0.991826246662
S10057	0	0.00704734331775	0	0	0	0.992952656682
S10062	0	0.00760778647584	0	0	0	0.992392213524
S10066	0	0.00762240814321	0	0	0	0.992377591857
S10067	0	0.00837681381077	0	0	0	0.991623186189
S1007	0	0.007263932158	0	0	0	0.992736067842
S10073	0	0.00834295946899	0	0	0	0.991657040531
S10077	0	0.00725906891524	0	0	0	0.992740931085
S10080	0	0.00752579998386	0	0	0	0.992474200016
S10082	0	0.00820387178556	0	0	0	0.991796128214
S10087	0	0.0080141010782	0	0	0	0.991985898922
S10089	0	0.00726302899959	0	0	0	0.992736971
S1009	0	0.008011773997	0	0	0	0.991988226003
S10090	0	0.00740571712358	0	0	0	0.992594282876
S10093	0	0.00703867532626	0	0	0	0.992961324674
S10094	0	0.00769148388806	0	0	0	0.992308516112
S1010	0	0.00762422288557	0	0	0	0.992375777114
S10111	0	0.008137932555	0	0	0	0.991862067445
S10116	0	0.00780098718832	0	0	0	0.992199012812
S10119	0	0.0078554532832	0	0	0	0.992144546717
S10121	0	0.00813400416096	0	0	0	0.991865995839
S10130	0	0.00716413646801	0	0	0	0.992835863532
S10140	0	0.00779467514019	0	0	0	0.99220532486
S10142	0	0.00809799018112	0	0	0	0.991902009819
S10150	0	0.00755549259403	0	0	0	0.992444507406
S10155	0	0.00805914138355	0	0	0	0.991940858616
S1016	0	0.00730318190122	0	0	0	0.992696818099
S10163	0	0.00692474790444	0	0	0	0.993075252096
S10167	0	0.00849314477	0	0	0	0.99150685523
S10168	0	0.00835087115003	0	0	0	0.99164912885
S10173	0	0.00797809771697	0	0	0	0.992021902283
S10175	0	0.00775170168131	0	0	0	0.992248298319
S10179	0	0.00778977272577	0	0	0	0.992210227274
S10186	0	0.00803452597286	0	0	0	0.991965474027
S1019	0	0.00792488582003	0	0	0	0.99207511418
S10190	0	0.00816321763837	0	0	0	0.991836782362
S10195	0	0.00784887366071	0	0	0	0.992151126339
S10196	0	0.00770588235919	0	0	0	0.992294117641
S10200	0	0.00784041045408	0	0	0	0.992159589546
S10201	0	0.00691628178825	0	0	0	0.993083718212
S10202	0	0.00785140954622	0	0	0	0.992148590454
S10205	0	0.00808015124473	0	0	0	0.991919848755
S10211	0	0.00690068859363	0	0	0	0.993099311406
S10221	0	0.00781812787934	0	0	0	0.992181872121
S10222	0	0.00707716847118	0	0	0	0.992922831529
S10226	0	0.00795967756181	0	0	0	0.992040322438
S10227	0	0.00737575062036	0	0	0	0.99262424938
S10228	0	0.00761667565992	0	0	0	0.99238332434
S10232	0	0.00788548363341	0	0	0	0.992114516367
S10248	0	0.00820099973239	0	0	0	0.991799000268
S10249	0	0.00750732508746	0	0	0	0.992492674913
S1025	0	0.00783392290215	0	0	0	0.992166077098
S10266	0	0.00715097093728	0	0	0	0.992849029063
S10269	0	0.00792266772612	0	0	0	0.992077332274
S10272	0	0.00750138858835	0	0	0	0.992498611412
