	B Cells	CD4 T Cells	CD8 T Cells	Endothelial	Fibroblasts	Macrophages	Mast Cell	Other
mix_1	0.0261586366374	6.45449185416e-08	1.43779264301e-08	0	0	0	0	0.818844715457
mix_2	0.0346067468197	8.72088480947e-06	5.54929815925e-09	0	0	0	0	0.81962979147
mix_3	0.0344434326272	4.99794480244e-09	8.53153640177e-06	0	0	0	0	0.826412165538
mix_4	0.0283946867881	2.87277886649e-08	3.38916361386e-07	0	0	0	0	0.817943151316
mix_5	0.0290524146824	2.66017617675e-08	7.06067640666e-07	0	0	0	0	0.820331304594
mix_6	0.0284097231406	1.5789529932e-08	1.33088759165e-08	0	0	0	0	0.817546721823
mix_7	0.031363886956	3.66230483203e-09	7.22478139278e-06	0	0	0	0	0.822486943625
mix_8	0.0300699460246	9.03966795137e-05	6.49228146881e-08	0	0	0	0	0.823526416867
mix_9	0.0267150085209	6.39880746756e-08	4.50080765004e-08	0	0	0	0	0.815875386374
mix_10	0.0333975171451	3.05512176042e-08	1.85909160966e-08	0	0	0	0	0.821554545676
mix_11	0.0278857730987	1.01353620442e-07	9.69202971115e-07	0	0	0	0	0.817735662878
mix_12	0.0291802072487	1.45220040014e-08	7.36509605835e-07	0	0	0	0	0.820748637078
mix_13	0.0316984795407	5.14989867955e-09	1.62754207804e-08	0	0	0	0	0.818891976289
mix_14	0.0284964198695	3.11944910855e-06	9.52020368781e-09	0	0	0	0	0.818783222488
mix_15	0.0302332216324	1.22805059782e-07	2.85864604919e-08	0	0	0	0	0.820664282778
mix_16	0.0341177051776	2.27026835235e-08	4.44372137376e-07	0	0	0	0	0.828335332457
mix_17	0.0349010435023	1.51993518516e-07	2.70293260217e-06	0	0	0	0	0.828041846188
mix_18	0.0336671343983	6.12980056841e-09	1.93075544309e-07	0	0	0	0	0.822330075792
mix_19	0.0316942949649	4.54177352556e-08	3.78972028382e-07	0	0	0	0	0.826470750331
mix_20	0.0316351045448	6.59508722985e-06	2.85459162761e-08	0	0	0	0	0.817602761373
mix_21	0.0341318404667	6.8006614824e-07	3.86155642547e-07	0	0	0	0	0.823881213257
mix_22	0.0255155853597	1.90909334622e-07	4.52110234031e-06	0	0	0	0	0.820235123236
mix_23	0.0304961458202	2.92845390126e-09	6.38638779281e-08	0	0	0	0	0.817388013779
mix_24	0.0311659405466	3.88687702417e-09	1.24192946513e-08	0	0	0	0	0.819931395162
mix_25	0.0301327503002	2.54927205106e-08	1.01503259529e-07	0	0	0	0	0.815418605151
mix_26	0.0348588462911	2.40307323908e-07	4.49131442691e-06	0	0	0	0	0.826192693669
mix_27	0.0267802661173	2.04896016945e-06	2.06388442703e-08	0	0	0	0	0.817384907777
mix_28	0.0296979902538	6.45048038142e-12	6.71538636511e-07	0	0	0	0	0.818150780547
mix_29	0.0277208409805	1.39626403662e-06	2.75549961634e-10	0	0	0	0	0.818851064802
mix_30	0.0290677967766	2.81845978597e-09	9.58050687748e-06	0	0	0	0	0.81721075524
mix_31	0.0287284880831	1.47625608046e-08	5.61002742523e-06	0	0	0	0	0.819945673298
mix_32	0.0274402737596	2.83130659904e-07	1.01484348156e-07	0	0	0	0	0.818879841322
mix_33	0.0321126374744	4.38891937467e-09	5.60176283996e-09	0	0	0	0	0.82162009507
mix_34	0.034384909632	2.53285622439e-08	6.60567485652e-08	0	0	0	0	0.826473969957
mix_35	0.0273144981525	1.69608084756e-07	7.13707734129e-08	0	0	0	0	0.819015251957
mix_36	0.0282345066102	1.08185908271e-05	1.56401831312e-08	0	0	0	0	0.820795724481
mix_37	0.0322960638028	8.44414354191e-08	2.00920637628e-05	0	0	0	0	0.824736522025
mix_38	0.0332621788529	9.0878563034e-09	1.03082797648e-06	0	0	0	0	0.822229509078
mix_39	0.0297665408433	6.23566886692e-06	8.98415356612e-09	0	0	0	0	0.818686045157
mix_40	0.0276245928489	1.67584203101e-06	4.30736350655e-08	0	0	0	0	0.822294061587
mix_41	0.0329901833673	4.84855202877e-09	8.54921231179e-08	0	0	0	0	0.824944273733
mix_42	0.0292947620401	0.000148275279613	1.11711959934e-08	0	0	0	0	0.819217764845
mix_43	0.0346994426737	5.24399136618e-08	6.67072325281e-07	0	0	0	0	0.823490504387
mix_44	0.0301631033095	3.85357190789e-09	2.12413884122e-05	0	0	0	0	0.81739483761
mix_45	0.026739676071	3.12072105051e-06	1.33245675174e-06	0	0	0	0	0.820557390842
mix_46	0.0334798281409	4.20622801404e-05	2.56739577559e-08	0	0	0	0	0.822954736384
mix_47	0.0381962152579	8.77793685732e-07	4.24759058318e-08	0	0	0	0	0.832909506476
mix_48	0.0336203911188	1.51747393771e-05	2.592698089e-08	0	0	0	0	0.82093936093
mix_49	0.0255356036983	2.19742994985e-08	9.09576369683e-06	0	0	0	0	0.821708820036
mix_50	0.0262603337519	2.12864132539e-08	2.45522013736e-07	0	0	0	0	0.819278198704
mix_51	0.0349624827339	3.09030750179e-08	2.57374421896e-08	0	0	0	0	0.826768805162
mix_52	0.0341792225447	9.26366832321e-07	3.41196314028e-07	0	0	0	0	0.824820251688
mix_53	0.0363216770617	5.80680297627e-06	8.75621647141e-09	0	0	0	0	0.822682332337
mix_54	0.0306140531609	2.54448042447e-08	1.1727297213e-06	0	0	0	0	0.82021353206
mix_55	0.0337327777513	2.86281057446e-08	4.95767787931e-05	0	0	0	0	0.823172440822
mix_56	0.0279558794763	5.58911153117e-09	3.28107866868e-07	0	0	0	0	0.818751162121
mix_57	0.0266429451236	1.77653059103e-09	9.86914289895e-07	0	0	0	0	0.816269243205
mix_58	0.0305486180315	1.51653266178e-07	3.73616282734e-05	0	0	0	0	0.819817839144
mix_59	0.0349588505537	4.68255713517e-06	1.16139717221e-08	0	0	0	0	0.8249644485
mix_60	0.032090824586	1.1926347998e-09	1.28838600407e-06	0	0	0	0	0.822090554216
mix_61	0.0295627065861	2.46242836287e-07	3.30132431014e-07	0	0	0	0	0.819806507977
mix_62	0.0315591562247	3.30987103594e-09	4.77232577549e-07	0	0	0	0	0.824784690596
mix_63	0.02975527432	1.04688982826e-08	1.09646960953e-07	0	0	0	0	0.819676300675
mix_64	0.0380407643737	0.000450229722785	2.00029401796e-07	0	0	0	0	0.830886400166
mix_65	0.0341107292607	1.48035823102e-08	1.26328848809e-07	0	0	0	0	0.824125449915
