	B Cells	CD4 T Cells	CD8 T Cells	Endothelial	Fibroblasts	Macrophages	Mast Cell	Other
mix_1	0.0	0.2154	0.4508	0	0	0	0	0
mix_2	0.0722	0.4853	0.0924	0	0	0	0	0
mix_3	0.1111	0.38	0.0	0	0	0	0	0
mix_4	0.0	0.5784	0.2737	0	0	0	0	0
mix_5	0.0276	0.4394	0.2466	0	0	0	0	0
mix_6	0.0	0.508	0.351	0	0	0	0	0
mix_7	0.0648	0.4644	0.0913	0	0	0	0	0
mix_8	0.0376	0.3384	0.2224	0	0	0	0	0
mix_9	0.0	0.4806	0.4084	0	0	0	0	0
mix_10	0.0597	0.6634	0.0	0	0	0	0	0
mix_11	0.0306	0.3461	0.3238	0	0	0	0	0
mix_12	0.0	0.5073	0.2367	0	0	0	0	0
mix_13	0.0	0.7413	0.0878	0	0	0	0	0
mix_14	0.0078	0.6315	0.2	0	0	0	0	0
mix_15	0.0224	0.4239	0.2715	0	0	0	0	0
mix_16	0.1294	0.4471	0.0	0	0	0	0	0
mix_17	0.1036	0.4793	0.0	0	0	0	0	0
mix_18	0.0355	0.701	0.0	0	0	0	0	0
mix_19	0.0897	0.386	0.0	0	0	0	0	0
mix_20	0.0189	0.612	0.2064	0	0	0	0	0
mix_21	0.0497	0.6366	0.0	0	0	0	0	0
mix_22	0.0074	0.4148	0.2848	0	0	0	0	0
mix_23	0.0142	0.5729	0.1931	0	0	0	0	0
mix_24	0.0269	0.5492	0.1775	0	0	0	0	0
mix_25	0.0	0.582	0.3157	0	0	0	0	0
mix_26	0.0538	0.5527	0.0	0	0	0	0	0
mix_27	0.0	0.399	0.3782	0	0	0	0	0
mix_28	0.0102	0.5439	0.2737	0	0	0	0	0
mix_29	0.0115	0.3339	0.348	0	0	0	0	0
mix_30	0.0	0.5668	0.298	0	0	0	0	0
mix_31	0.0086	0.5867	0.1312	0	0	0	0	0
mix_32	0.0095	0.6703	0.1317	0	0	0	0	0
mix_33	0.0146	0.6654	0.0245	0	0	0	0	0
mix_34	0.1119	0.4323	0.0	0	0	0	0	0
mix_35	0.0	0.5063	0.2561	0	0	0	0	0
mix_36	0.021	0.4863	0.1694	0	0	0	0	0
mix_37	0.0777	0.4878	0.0236	0	0	0	0	0
mix_38	0.0593	0.4133	0.1206	0	0	0	0	0
mix_39	0.0071	0.5182	0.2763	0	0	0	0	0
mix_40	0.0123	0.5718	0.1254	0	0	0	0	0
mix_41	0.0617	0.5154	0.0	0	0	0	0	0
mix_42	0.0207	0.8316	0.0213	0	0	0	0	0
mix_43	0.0709	0.5874	0.0	0	0	0	0	0
mix_44	0.0396	0.5348	0.2	0	0	0	0	0
mix_45	0.0412	0.4494	0.1891	0	0	0	0	0
mix_46	0.0453	0.4969	0.0323	0	0	0	0	0
mix_47	0.1614	0.3793	0.0	0	0	0	0	0
mix_48	0.0393	0.7512	0.0	0	0	0	0	0
mix_49	0.0444	0.4129	0.1103	0	0	0	0	0
