	Neutrophils	Lymphocyte	Monocytes	Eosinophil	Basophil	Other
S10001	8.55617142857	15.6965	6.21721428571	0	0	29.1227243956
S10006	8.5372	16.3899875	6.03244285714	0	0	29.5843674451
S1001	8.46221428571	16.6704875	6.49101428571	0	0	30.2262243956
S10010	8.9914	15.9112875	6.35148571429	0	0	29.3481501648
S10011	8.46395	16.2894375	6.24881428571	0	0	29.3983232967
S10014	8.4558	16.4754875	6.06771428571	0	0	29.3636568407
S10026	8.67305	16.3608125	6.58917142857	0	0	29.4497717857
S10032	8.49064285714	16.897475	7.08224285714	0	0	29.3136811813
S10036	8.56917857143	16.0668625	6.02325714286	0	0	29.5130483516
S10042	8.60678571429	17.2347125	6.33412857143	0	0	30.0284055495
S10044	8.88892857143	16.9768375	6.33545714286	0	0	29.9169527747
S10049	8.53833571429	17.5826	6.36664285714	0	0	29.6780903571
S10057	7.9869	16.0002625	5.97447142857	0	0	29.9055868132
S10062	8.64202857143	17.7129125	6.39482857143	0	0	29.5322730495
S10066	8.97768571429	14.8058375	6.13254285714	0	0	29.0368457418
S10067	8.27327857143	17.459775	6.30344285714	0	0	29.9481523901
S1007	8.45552857143	16.382425	6.16325714286	0	0	30.0373080769
S10073	8.58693571429	17.7545625	6.33412857143	0	0	30.3380994505
S10077	8.25472857143	16.5662375	6.19292857143	0	0	29.161551511
S10080	8.67521428571	17.4107625	6.33204285714	0	0	30.5336943956
S10082	8.59662142857	16.205575	6.22558571429	0	0	29.3498073077
S10087	8.45204285714	17.241475	6.71492857143	0	0	29.5379164835
S10089	8.45045714286	16.2828875	6.06897142857	0	0	29.1860855769
S1009	8.17534285714	17.573225	6.15997142857	0	0	30.2869954945
S10090	8.45605	15.7606875	6.14541428571	0	0	29.2095147253
S10093	8.33260714286	16.021975	6.00055714286	0	0	29.7821134066
S10094	8.7547	16.6260875	6.53187142857	0	0	29.907541978
S1010	8.39691428571	18.013325	6.34965714286	0	0	29.9857232692
S10111	8.47059285714	16.90785	6.40318571429	0	0	30.1352778846
S10116	7.79430714286	18.039825	6.14387142857	0	0	30.4900064286
S10119	8.18267142857	17.324125	6.08768571429	0	0	29.4313251648
S10121	8.4296	17.63735	6.25667142857	0	0	29.5940143956
S10130	8.61635	16.3091625	6.17568571429	0	0	29.8332936538
S10140	8.92783571429	17.1508875	6.68574285714	0	0	29.070434011
S10142	8.12737857143	18.3864875	6.3961	0	0	30.0442907418
S10150	8.88023571429	15.4444875	6.21355714286	0	0	29.8276402747
