	B Cells	CD4 T Cells	NK Cells	Monocytes	CD8 T Cells	Other
Mix_1	50.3400863009	815.337474408	105.691118303	138.985602701	396.472733004	0
Mix_2	69.2755389367	871.498480696	98.8556123872	80.0435368941	417.298935531	0
Mix_3	41.4009711064	839.645577195	110.226114892	80.9595460554	437.600852661	0
Mix_4	44.9550364749	873.154790416	109.161153162	62.7811065618	436.07998602	0
Mix_5	84.1325069929	802.61155663	101.230468932	49.2478026762	419.366007069	0
Mix_6	65.4663514667	780.338491095	99.7436653147	158.548528387	405.942424992	0
Mix_7	52.6820899297	913.896377209	101.317221223	54.1862692545	465.650940386	0
Mix_8	70.4712015521	935.86190219	87.7992950438	105.39898876	454.984674323	0
Mix_9	63.4573293417	859.515525987	102.740437983	76.2236465784	433.819142972	0
Mix_10	74.8249367493	807.899256534	95.5412309455	107.728351572	433.665920897	0
Mix_11	56.2191089603	934.882962105	101.120963562	62.7632464904	438.586802031	0
Mix_12	38.2437703408	833.125090867	108.505024046	122.705747776	417.712013777	0
Mix_13	79.8602963953	860.882606738	96.391093033	68.8101083163	450.708878595	0
Mix_14	37.947283148	886.976812966	112.222813879	43.859491696	452.256666537	0
Mix_15	51.850935236	968.065421397	101.183856914	70.4842355742	466.074238008	0
Mix_16	64.5604971061	917.054507374	93.1163423458	88.8098053955	461.613187851	0
Mix_17	50.2039824948	951.816942909	99.8120184326	67.3058427168	474.319280619	0
Mix_18	50.0186256321	1028.50173308	95.9663557848	73.8100066054	470.054956174	0
Mix_19	47.4657544373	797.831469544	105.386520862	127.798264746	424.834659944	0
Mix_20	69.8471375526	863.906319139	93.8114937792	104.596247081	439.906915152	0
Mix_21	70.8863720483	871.045817851	91.4719718891	130.351966099	443.277758182	0
Mix_22	47.6472844991	824.29585315	102.928544492	145.674469733	421.842207937	0
Mix_23	83.5242794881	897.859561651	93.7841213442	74.1987531523	437.04810831	0
Mix_24	34.7115675525	1030.47195242	97.4062395189	97.8756671697	489.221860006	0
Mix_25	75.2292910874	889.855957408	95.9165461682	49.96620078	462.399349557	0
Mix_26	63.4679031813	954.295640454	96.4372986892	64.7760202771	477.559634886	0
Mix_27	77.2922623316	893.0092067	83.2450320755	119.617861411	480.979108492	0
Mix_28	60.6688327009	859.114827261	98.7229248816	116.906709464	428.928800482	0
Mix_29	71.1482804118	948.044138861	92.9061058114	62.3456421718	481.446903436	0
Mix_30	50.6598034261	835.721961872	109.249135975	47.4608491345	447.349523238	0
Mix_31	69.1194281197	904.327100015	93.7729962913	82.0683842799	450.491462592	0
Mix_32	51.4096604428	1001.43149864	97.2329554241	95.0059584024	474.199386295	0
Mix_33	44.007586099	936.131851665	98.3195315072	97.7585491925	459.828343475	0
Mix_34	70.0362650256	801.366594549	97.4276243822	143.78431663	411.710283694	0
Mix_35	56.4241541695	873.208361439	106.578957872	62.5784706876	428.343304938	0
Mix_36	62.2904482275	871.41910177	100.038086487	75.3832657141	448.08052103	0
Mix_37	43.4000558021	821.948078774	110.523888191	84.3512056395	434.680809688	0
Mix_38	39.8028278559	871.96484592	105.621945597	110.666531143	422.951824372	0
Mix_39	83.6808009914	882.058263562	87.1764366932	144.286117117	438.970352449	0
Mix_40	57.5967602293	813.759940951	108.7685931	66.7877326082	431.923181903	0
Mix_41	51.7686784313	802.830761754	112.2631079	78.2542619743	403.542860796	0
Mix_42	63.5178389553	978.116032505	93.1775547985	67.6485299756	498.075563053	0
Mix_43	70.0902385522	794.629424216	98.002637409	104.805948495	420.057401258	0
Mix_44	45.1307536714	825.772771337	108.987661143	107.657308914	402.20018668	0
Mix_45	50.7288329001	882.658944158	99.6150490016	101.753394425	468.252150857	0
Mix_46	71.0538218582	930.9485849	85.8435252798	90.124755221	491.611687733	0
Mix_47	60.1030310033	813.081562031	100.337724679	123.901887288	427.169252603	0
Mix_48	63.4103087711	891.991430761	101.305046778	71.5588297526	442.588152055	0
Mix_49	41.1541658926	854.225515951	115.88437842	47.6997433538	425.112208245	0
Mix_50	46.1498494872	969.076524626	94.2216327832	94.690397135	501.695037254	0
Mix_51	64.7184354443	918.158965763	96.6460018318	81.1943473417	450.629359317	0
Mix_52	35.894629716	885.571475211	107.706142478	83.0717003953	460.243479102	0
Mix_53	62.9928250125	876.037502858	93.2510493076	121.28440417	450.410306851	0
Mix_54	46.5893798505	730.421074494	117.280247569	121.941746812	367.823025844	0
Mix_55	34.3773652241	830.868928019	116.919086177	75.5130591272	428.072538664	0
Mix_56	51.3674341745	927.478272625	97.584353502	110.446869198	485.470452971	0
