	Neutrophils	Lymphocyte	Monocytes	Eosinophil	Basophil	Other
S10001	0	1.0	0	0	0	5.56821896548e-58
S10006	0	1.0	0	0	0	5.96022859109e-58
S1001	0	1.0	0	0	0	5.32807121857e-58
S10010	0	1.0	0	0	0	5.21335059571e-58
S10011	0	1.0	0	0	0	5.24812707535e-58
S10014	0	1.0	0	0	0	5.80667413473e-58
S10026	0	1.0	0	0	0	5.11568309412e-58
S10032	0	1.0	0	0	0	5.31357303414e-58
S10036	0	1.0	0	0	0	5.68324308148e-58
S10042	0	1.0	0	0	0	5.25565449905e-58
S10044	0	1.0	0	0	0	5.10859152285e-58
S10049	0	1.0	0	0	0	5.17239003536e-58
S10057	0	1.0	0	0	0	6.40526248705e-58
S10062	0	1.0	0	0	0	5.12394638933e-58
S10066	0	1.0	0	0	0	5.25524742467e-58
S10067	0	1.0	0	0	0	5.02702322577e-58
S1007	0	1.0	0	0	0	5.72180796212e-58
S10073	0	1.0	0	0	0	4.65944531823e-58
S10077	0	1.0	0	0	0	5.54670286665e-58
S10080	0	1.0	0	0	0	5.41262402271e-58
S10082	0	1.0	0	0	0	4.77470044386e-58
S10087	0	1.0	0	0	0	5.01495153097e-58
S10089	0	1.0	0	0	0	5.83758007486e-58
S1009	0	1.0	0	0	0	4.74076388052e-58
S10090	0	1.0	0	0	0	5.98363230463e-58
S10093	0	1.0	0	0	0	6.23652643438e-58
S10094	0	1.0	0	0	0	5.22314775961e-58
S1010	0	1.0	0	0	0	5.4316136642e-58
S10111	0	1.0	0	0	0	4.84228944814e-58
S10116	0	1.0	0	0	0	5.10170266195e-58
S10119	0	1.0	0	0	0	5.2584675929e-58
S10121	0	1.0	0	0	0	5.38799246886e-58
S10130	0	1.0	0	0	0	5.87064900031e-58
S10140	0	1.0	0	0	0	5.35587862256e-58
S10142	0	1.0	0	0	0	5.31385532795e-58
S10150	0	1.0	0	0	0	6.09557443632e-58
S10155	0	1.0	0	0	0	5.16422073992e-58
S1016	0	1.0	0	0	0	5.74166844746e-58
S10163	0	1.0	0	0	0	5.63404700569e-58
S10167	0	1.0	0	0	0	5.71920876327e-58
S10168	0	1.0	0	0	0	5.06308105791e-58
S10173	0	1.0	0	0	0	4.76053287786e-58
S10175	0	1.0	0	0	0	5.37473078452e-58
S10179	0	1.0	0	0	0	4.84985779782e-58
S10186	0	1.0	0	0	0	5.18638168757e-58
S1019	0	1.0	0	0	0	5.35872685121e-58
S10190	0	1.0	0	0	0	4.84674549601e-58
S10195	0	1.0	0	0	0	5.78420308972e-58
S10196	0	1.0	0	0	0	5.19555907518e-58
S10200	0	1.0	0	0	0	5.59800735739e-58
S10201	0	1.0	0	0	0	6.4624433396e-58
S10202	0	1.0	0	0	0	5.44907944744e-58
S10205	0	1.0	0	0	0	4.9465147343e-58
S10211	0	1.0	0	0	0	6.27615348762e-58
S10221	0	1.0	0	0	0	5.07257260288e-58
S10222	0	1.0	0	0	0	5.95393072773e-58
S10226	0	1.0	0	0	0	5.36940668224e-58
S10227	0	1.0	0	0	0	5.60529495912e-58
S10228	0	1.0	0	0	0	5.24240293085e-58
S10232	0	1.0	0	0	0	5.34300520612e-58
