Mixture	B_cells	Blood_CD34._cells	Dendritic_cells	Eosinophils	Fibroblasts	Keratinocytes	Lymphatic_endothelial_cells	Macrophages	Monocytes	NK_cells	Neutrophils	Plasma_cells_CD138.	Platelets	Reticulocytes	Subcutaneous_Adipose	T_cells_CD3.	T_cells_CD4.	T_cells_CD8.	T_cells_Gamma_Delta	T_cells_Regulatory	Vascular_Endothelial_Cells	P-value	Correlation	RMSE
S10001	0.036373479706077	0	0	0	0	0	0	0	0.150511261924551	0	0.23795979872687	0	0.00545289411898289	0	0	0.155401779425577	0	0.318846047566451	0.0553501603394205	0	0.0401045781920704	9999	0.419479609856583	1.04196631479388
S10006	0.0637396198051085	0	0.0153460166931899	0	0	0	0	0	0.130017886582365	0	0.273241345680147	0	0.0668582628685632	0	0.00908528425169596	0.0417549273954993	0	0.328937555842527	0.0358964663828275	0	0.0351226344980766	9999	0.414933763339786	1.03909213726524
S1001	0.0472802922553321	0	0.025467912334606	0	0	0	0	0	0.173669992127192	0	0.247659704279086	0	0.0474764059730051	0	0.0209026544706719	0.0150531848455155	0	0.348167242580986	0.0247953104604771	0	0.0495273006731275	9999	0.437572581842246	1.02113630445872
S10010	0.0223770997009889	0	0.0115110478625346	0	0	0	0	0	0.137923267553845	0	0.315574139601509	0	0.0144581898657153	0	0.0117444643224145	0.110980002323891	0	0.295135544395179	0.0366910551035474	0	0.0436051892703758	9999	0.452644255499689	1.00932495617037
S10011	0.0230740519273968	0	0	0	0	0	0	0	0.151383356213236	0	0.234309429579147	0	0.000814529421575467	0	0.00145400499402733	0.176898132408241	0	0.346046231433878	0.0497677996395908	0	0.0162524643829071	9999	0.45298553181984	1.01237586256386
S10014	0.0296489316025055	0	0.0152520563198978	0.0108956260540201	0	0	0	0	0.142139910284248	0	0.232066219682049	0	0.0344528664242352	0	0.0204415231873861	0.0781846429460699	0	0.355591022181946	0.0402106965866405	0	0.0411165047310019	9999	0.44137540783478	1.01796636038462
S10026	0.0643186485443911	0.0118899961612349	0.0301126146369618	0	0	0	0	0	0.13582574950324	0	0.276678312745145	0	0.0366994504825135	0	0.0239234606567007	0.0562264755883364	0.0438251856795221	0.259297309847614	0.00859974936145639	0	0.0526030467928837	9999	0.43606860829349	1.02112436282402
S10032	0.0733559495454465	0	0	0	0	0	0	0	0.208553745837096	0	0.24445146058851	0	0.0279226861793281	0	0.0183116117431075	0.0737257220723117	0	0.280984403262737	0.0240830673028691	0	0.0486113534685934	9999	0.444857762526036	1.01629542883319
S10036	0.0286616408630364	0.00583964370157939	0.0330386011999645	0	0	0	0	0	0.117952353359102	0	0.340424106422101	0	0.0554207181047133	0	0.0184645181947871	0.0824242281437238	0.00620185569440594	0.261862578427803	0.00929594416619142	0	0.0404138117225926	9999	0.442194808780376	1.01394176078127
S10042	0.0435082711085366	0	0.00918556769618234	0	0	0	0	0	0.145193190777438	0	0.266881464039047	0	0.0377886223482993	0	0.0156562500099041	0.101320487788213	0	0.312525181113187	0.0301821376853897	0	0.037758827433804	9999	0.452464862111747	1.00721967327749
