Mixture	B_cells	Blood_CD34._cells	Dendritic_cells	Eosinophils	Fibroblasts	Keratinocytes	Lymphatic_endothelial_cells	Macrophages	Monocytes	NK_cells	Neutrophils	Plasma_cells_CD138.	Platelets	Reticulocytes	Subcutaneous_Adipose	T_cells_CD3.	T_cells_CD4.	T_cells_CD8.	T_cells_Gamma_Delta	T_cells_Regulatory	Vascular_Endothelial_Cells	P-value	Correlation	RMSE
Mix_1	0	0	0.00539452356793392	0.0272613990475231	0	0	0.114950229349294	0	0.189278433008989	0	0	0.051071093221614	0	0.0155764004245855	0.00284302982980614	0.137891342752242	0	0.38191555630312	0.0738179924948919	0	0	9999	0.3670600551726	1.07963736097631
Mix_2	0.0310998278792478	0	0	0.0232814271718945	0	0	0.103965202160005	0	0.178928156634726	0	0	0.0569489090722535	0	0.0135187104839624	0	0.109492614973631	0	0.406872746291911	0.0758924053323688	0	0	9999	0.368834610326231	1.07868917124669
Mix_3	0	0	0.00203375425784084	0.0256270951698902	0	0	0.10703605798481	0	0.154980023683662	0	0	0.0541448456347508	0	0.00761173328365317	0	0.126925924953069	0	0.452631002099049	0.0690095629332757	0	0	9999	0.369465046672592	1.08045871308021
Mix_4	0	0	0.00502987621815204	0.0282771065571014	0	0	0.110353678977448	0	0.145509220690834	0	0	0.0489099872425135	0	0.0110910641046118	0	0.122810760267529	0	0.452365758094537	0.0756525478472736	0	0	9999	0.371150397444581	1.07839230586149
Mix_5	0.0692910711117327	0	0.00872409862525265	0.0305889016408975	0	0	0.0999990367451375	0	0.133213586133015	0	0	0.0494203299603067	0	0.0119683819857969	0.000181778547703142	0.104978146855646	0	0.417779339854553	0.0738553285399582	0	0	9999	0.36634801169227	1.08074641599744
Mix_6	0.0138703904743188	0.00499580053905763	0.00946716541140613	0.0265906501026402	0	0	0.105959162787543	0	0.189983426856418	0	0	0.0506606395871419	0	0.0194453276582137	0.00538132198788348	0.121525784720642	0	0.380892681577047	0.071227648297688	0	0	9999	0.36458311223942	1.08014938446161
Mix_7	0.0101251539815727	0	0.000868489117601149	0.0265642914698764	0	0	0.106244294015176	0	0.142238814768389	0	0	0.0524865791281118	0	0.00812327941502602	0	0.109810658512427	0	0.468259686954245	0.0752787526375752	0	0	9999	0.372764352730242	1.07794471504452
Mix_8	0.0271053654920248	0	0.00450776764871564	0.0269807497303275	0	0	0.106773231706482	0	0.187374257633417	0	0	0.0595206858028169	0	0.0143189915348496	0.00388029117397278	0.0898412725366445	0	0.401263986821694	0.0784333999190548	0	0	9999	0.369797714441807	1.07742519014477
Mix_9	0.0220171451563294	0	0.00516875183853424	0.024401138068073	0	0	0.102725087521012	0	0.16036844418553	0	0	0.0549768342178759	0	0.00911056772917934	0	0.121959441985137	0	0.425091350618551	0.0741812386797775	0	0	9999	0.369190720402052	1.07991337761956
Mix_10	0.0402898250064644	0	0.00653670387627441	0.0268969373042693	0	0	0.106870857741362	0	0.160630982568834	0	0	0.0508584454731108	0	0.0130854437807399	0.00310928281827936	0.101039782584796	0	0.416635777656928	0.0740459611889412	0	0	9999	0.366198095833249	1.08099419013601
Mix_11	0.0209863530672828	0	0.00128352616019442	0.0261605811891968	0	0	0.10686199151497	0	0.160206379363273	0	0	0.0533725860276424	0	0.0119957816661659	0.00219358878002266	0.115658410711426	0	0.421786141513997	0.079494660005829	0	0	9999	0.371050754576002	1.07764080704196
Mix_12	0	0.00117025286115402	0.00264739044966764	0.0267555364212753	0	0	0.103850587348481	0	0.178770275288685	0	0	0.0480628945795255	0	0.0125051617216305	0.00224476619055863	0.127947849858245	0	0.420301150095372	0.0757441351854053	0	0	9999	0.369256286915527	1.07934509848015
