CD38.negative.naive.B.cell,memory.B.cell,CD14.positive..CD16.negative.classical.monocyte,cytotoxic.CD56.dim.natural.killer.cell,mature.neutrophil,memory.CD4.positive.alpha.beta.T.cell,CD4.positive..alpha.beta.T.cell,memory.CD8.positive.alpha.beta.T.cell
S10001,0.0741172129933226,0.442022470123455,0.152143713834214,0.0319685559184416,0.299748047130567,0,0,0
S10006,0.0958729623644975,0.431009057872207,0.156635725067614,0.0217080048152212,0.29477424988046,0,0,0
S1001,0.126584189529793,0.38660535984839,0.167515054930903,0.0449454111219766,0.274349984568936,0,0,0
S10010,0.0921138984808114,0.406457369199011,0.160829193265207,0.043533794018314,0.297065745036657,0,0,0
S10011,0.00676462354928059,0.526080349758874,0.156948060125072,0.0216785541931558,0.288528412373618,0,0,0
S10014,0.122807655994291,0.371520529875855,0.16045049142715,0.0639838180413722,0.281237504661331,0,0,0
S10026,0.161904941668001,0.370950278937072,0.158188694573692,0.019056297989911,0.289899786831324,0,0,0
S10032,0.140493050862166,0.382428559319154,0.169444193832397,0.0321655833441906,0.275468612642092,0,0,0
S10036,0.129481393109308,0.381559153305926,0.16505222741148,0.0253646220187382,0.298542604154548,0,0,0
S10042,0.083157760932934,0.43280988224898,0.157787372809458,0.0382593374093875,0.287985646599241,0,0,0
S10044,0.148044038965813,0.377233252499617,0.157197973354682,0.0293307316107265,0.288194003569162,0,0,0
S10049,0.189098036967763,0.33803025848188,0.155660959175082,0.0303866248732802,0.286824120501995,0,0,0
S10057,0.0512444257542051,0.44837278957416,0.15769752124803,0.063846036961652,0.278839226461952,0,0,0
S10062,0.114984135585995,0.410881153165746,0.162456239941302,0.0280063106410263,0.28367216066593,0,0,0
S10066,0.0721181972129858,0.43338189302622,0.161196177188973,0.0303699025816535,0.302933829990167,0,0,0
S10067,0.191401036895198,0.321495518973344,0.156443667524585,0.0540923680440184,0.276567408562853,0,0,0
S1007,0.0687385719234592,0.457824036152613,0.154045110413906,0.0278091890281733,0.291583092481848,0,0,0
S10073,0.0935366405817004,0.428420373887275,0.150519144451055,0.0460684446131232,0.281455396466847,0,0,0
S10077,0.0628724025156028,0.446614143201446,0.152474231975064,0.0452854195187847,0.292753802789102,0,0,0
S10080,0.0218149109126614,0.492262222011885,0.159389750258691,0.0415789804065592,0.284954136410203,0,0,0
S10082,0.11911390454766,0.419600252465106,0.155996779173959,0.0185765086876802,0.286712555125594,0,0,0
S10087,0.197461256740291,0.330680657967796,0.159628350979809,0.0330085581700721,0.279221176142031,0,0,0
S10089,0.13129127028573,0.379067099583556,0.153401406711729,0.0406240865112854,0.2956161369077,0,0,0
S1009,0.0526475128819526,0.490113284496974,0.151013283199196,0.0289842607498013,0.277241658672077,0,0,0
S10090,0.133292420903424,0.371425448943918,0.150914995369891,0.044892196843847,0.29947493793892,0,0,0
S10093,0,0.515470944866958,0.157653980739082,0.0320499067819762,0.294825167611983,0,0,0
S10094,0.120438521603789,0.392241823607538,0.161140136099818,0.04173224203022,0.284447276658635,0,0,0
S1010,0.0471932488741879,0.478133861959777,0.154594181399703,0.0306023352583271,0.289476372508006,0,0,0
S10111,0.140722195947934,0.383804370437612,0.156097007407365,0.0397468937203007,0.279629532486788,0,0,0
S10116,0.00902229205506833,0.502374121230714,0.161001800727596,0.0675356968296479,0.260066089156973,0,0,0
S10119,0.0958378347501085,0.439878192474918,0.15581158387511,0.0247667368090452,0.283705652090818,0,0,0
S10121,0.176293699179681,0.330393754115069,0.155297149882375,0.0549397756337018,0.283075621189173,0,0,0
S10130,0.0806048555930827,0.43094436813693,0.150869248501405,0.0366707025624737,0.300910825206108,0,0,0
S10140,0.135797405326279,0.380426704137308,0.158666932015568,0.0255502073145561,0.299558751206289,0,0,0
S10142,0.222312639548241,0.27870952203379,0.164877210679866,0.0722613036386971,0.261839324099407,0,0,0
S10150,0.0212387137639524,0.465309568438392,0.152227561957005,0.0506233464434953,0.310600809397155,0,0,0
S10155,0.116811792569068,0.40817137638338,0.157544634342887,0.0349113086814234,0.282560888023241,0,0,0
S1016,0.158030500305435,0.335791699661827,0.16740775373133,0.0556289565030014,0.283141089798407,0,0,0
S10163,0,0.504227112173923,0.158202631532683,0.0476394153610573,0.289930840932336,0,0,0
S10167,0.0390292980166992,0.468779052317865,0.154468680312998,0.05504185196457,0.282681117387867,0,0,0
S10168,0.188841936562531,0.31615696241782,0.158857604628898,0.0693493581281317,0.26679413826262,0,0,0
S10173,0.092193940150531,0.456727446733876,0.154933560413978,0.0225698069076757,0.273575245793939,0,0,0
S10175,0.142830456442986,0.366542997527609,0.157228914719012,0.0468024458379072,0.286595185472485,0,0,0
S10179,0.133934069753006,0.372154199711665,0.162881231859049,0.0640547462364488,0.266975752439831,0,0,0
S10186,0.188020733069114,0.338347619347008,0.170900095987872,0.0461601529804655,0.25657139861554,0,0,0
S1019,0.145694391771453,0.364603363233537,0.165487724650213,0.0509809844740647,0.273233535870733,0,0,0
S10190,0.15348656030797,0.384715835215,0.163484004418043,0.0210790382280681,0.277234561830919,0,0,0
S10195,0.0896068599892909,0.429119515447306,0.154237578443691,0.023935299994362,0.30310074612535,0,0,0
S10196,0.097687322515484,0.418385476459953,0.157581909439033,0.0413402615259916,0.285005030059538,0,0,0
S10200,0.134136806232859,0.353893392900359,0.162776576596678,0.0671999290541734,0.28199329521593,0,0,0
S10201,0.115106937170965,0.365919039130736,0.156181556594508,0.0471312873202354,0.315661179783555,0,0,0
S10202,0.0956617191292446,0.389366345212752,0.162171706117787,0.0775533790373562,0.27524685050286,0,0,0
S10205,0.153286394607948,0.363784353800308,0.156585994460367,0.0425488751594454,0.28379438197193,0,0,0
S10211,0.0705038074852183,0.4467650413313,0.167927107017568,0.027222313125411,0.287581731040502,0,0,0
S10221,0.0713662395994111,0.458119868638233,0.160450328565019,0.0251093763539399,0.284954186843396,0,0,0
S10222,0.11915091672437,0.395231205791142,0.153870929354113,0.0250741291359045,0.30667281899447,0,0,0
S10226,0.173352054301446,0.3474563296326,0.156270608224813,0.0304817884549624,0.292439219386178,0,0,0
S10227,0.0788836238698682,0.436155818009649,0.154958949794211,0.0327375357977199,0.297264072528551,0,0,0
S10228,0.104213662682782,0.402532810980987,0.153683253139382,0.0483380099894546,0.291232263207394,0,0,0
S10232,0.0476966596108697,0.492549385297687,0.148464164913786,0.0389279816015465,0.272361808576111,0,0,0
S10248,0.174096063439209,0.355258272990246,0.156976276863408,0.0237833782488792,0.289886008458257,0,0,0
S10249,0.0426740675535639,0.463345916978147,0.168947302869325,0.0348975034138607,0.290135209185103,0,0,0
S1025,0.180263973732793,0.331828971182033,0.163184783428966,0.054890833716869,0.269831437939339,0,0,0
S10266,0.0248875070225676,0.486404715768477,0.151765648619469,0.0347306630869329,0.302211465502553,0,0,0
S10269,0.146488772231721,0.368036623830179,0.155795663324211,0.0345900638976493,0.29508887671624,0,0,0
S10272,0.143339516318884,0.369705504032489,0.155247553019175,0.0275360902874747,0.304171336341976,0,0,0
S10273,0.172986561520862,0.335087593692982,0.158241774925802,0.0497723688150961,0.283911701045258,0,0,0
S10274,0.0926788701945975,0.431566346032709,0.156085639947238,0.0287031297345968,0.290966014090858,0,0,0
S1028,0.158384379231784,0.371049463970074,0.158277779322834,0.0188355483034247,0.293452829171883,0,0,0
S10280,0.177765731722746,0.329098061293508,0.168407251273376,0.0447140911964954,0.280014864513873,0,0,0
S10283,0.174098360202244,0.339923985319233,0.163620448228272,0.0615353473712711,0.26082185887898,0,0,0
S1029,0.135361266997492,0.377751159781776,0.155706175152412,0.0447878383239997,0.28639355974432,0,0,0
S10292,0.144995859440831,0.382249982273393,0.148512620663944,0.0393932978917022,0.284848239730129,0,0,0
S10294,0.150489137355207,0.373467095872432,0.15776414565437,0.0392320732017856,0.279047547916204,0,0,0
S10302,0.11087644076183,0.411187578300619,0.15573914286261,0.0401407327663132,0.282056105308628,0,0,0
S10303,0.114127121471488,0.387667493085864,0.162929049980721,0.061891160925172,0.273385174536755,0,0,0
S10323,0.105282865702379,0.405257753460855,0.157812874355078,0.043644692231418,0.28800181425027,0,0,0
S10326,0.173834828570713,0.325535827918757,0.162232310668172,0.0555583898523132,0.282838642990044,0,0,0
S10328,0.125976126666882,0.36466360267731,0.150757208905977,0.082369274054864,0.276233787694967,0,0,0
