B_cells,T_cells_.CD4..,T_cells_.CD8..,Endothelial_cells,Fibroblasts,Macrophage
Mix_1,0.405689542055387,0.310841212027277,0.126775583068413,0,0.100775080004564,0.0559185828443596
Mix_2,0.429951303624925,0.369577704025805,0.0847409324932762,0,0.10844207890726,0.0072879809487347
Mix_3,0.373056843403581,0.310933189318552,0.210661420151687,0,0.10534854712618,0
Mix_4,0.377866232884998,0.343141193273149,0.177067645636845,0,0.101924928205009,0
Mix_5,0.442814768265519,0.315526078142092,0.145368671176468,0,0.0962904824159211,0
Mix_6,0.442413781201621,0.285415151663492,0.11475245605061,0,0.1020180537877,0.0554005572965775
Mix_7,0.38244639152347,0.372836928927587,0.148235348457333,0,0.0964813310916108,0
Mix_8,0.441299352381695,0.408576040637587,0.0309159779401949,0,0.119208629040524,0
Mix_9,0.416577150353423,0.346936406669126,0.130290419817868,0,0.106196023159583,0
Mix_10,0.451097628568866,0.312766967865883,0.121234224233999,0,0.108531344678762,0.00636983465249027
Mix_11,0.398642230476096,0.399255491917331,0.0955467471991982,0,0.106555530407375,0
Mix_12,0.37879300535167,0.321490149135715,0.16248406520922,0,0.105488371606408,0.031744408696986
Mix_13,0.436421811717489,0.347047226074184,0.117027049631239,0,0.0995039125770887,0
Mix_14,0.351356678108067,0.34314135692763,0.211640958351965,0,0.0938610066123381,0
Mix_15,0.384920403060991,0.406634595408273,0.101113335553051,0,0.107331665977686,0
Mix_16,0.421245485280028,0.384319125720515,0.0857476320608395,0,0.108687756938618,0
Mix_17,0.387412630551456,0.388607400504693,0.122089721551222,0,0.10189024739263,0
Mix_18,0.388837030740516,0.450561263421556,0.0467372180029575,0,0.113864487834971,0
Mix_19,0.399566162649311,0.292597790980349,0.175179043318302,0,0.10493827930747,0.0277187237445687
Mix_20,0.443522523235666,0.354558253453158,0.0851026714878073,0,0.113357242954645,0.00345930886872417
Mix_21,0.446955062845253,0.351720403873935,0.072686243436,0,0.114302590238262,0.01433569960655
Mix_22,0.406975270507921,0.305135119921814,0.143737158214043,0,0.106938644136647,0.0372138072195752
Mix_23,0.451629357241687,0.383235346000187,0.0564824526286046,0,0.108652844129521,0
Mix_24,0.36514219205613,0.432475824144543,0.0854153308524294,0,0.116966652946898,0
Mix_25,0.421668728235509,0.364545021178198,0.119275406911942,0,0.0945108436743511,0
Mix_26,0.400768643164823,0.396723323776104,0.102314216445265,0,0.100193816613808,0
Mix_27,0.44799946764933,0.360014136217428,0.0795267241879681,0,0.112459671945275,0
Mix_28,0.425665017138458,0.348513799577952,0.0960563216910703,0,0.110139602303011,0.0196252592895095
Mix_29,0.414979718371679,0.39379537198623,0.0921520865690889,0,0.0990728230730023,0
Mix_30,0.376665494899761,0.314407235728077,0.216200859148304,0,0.0927264102238576,0
Mix_31,0.421621406463629,0.377093111015535,0.0938703854275207,0,0.107415097093316,0
Mix_32,0.40043883472379,0.436467412184207,0.0453975281856354,0,0.117696224906367,0
Mix_33,0.387347744161182,0.388374231477835,0.11021902122101,0,0.114059003139974,0
Mix_34,0.444613069171856,0.30196620653311,0.109137428154183,0,0.105030615941856,0.0392526801989956
Mix_35,0.396042309545252,0.357245538555894,0.142266697874035,0,0.104445454024819,0
Mix_36,0.41300866743397,0.353767304119941,0.129287299752344,0,0.103936728693746,0
Mix_37,0.378845292433931,0.303518559055862,0.210261337785166,0,0.106027216557145,0.00134759416789723
Mix_38,0.3789262529953,0.350290117740288,0.139103171188298,0,0.109128731254462,0.0225517268216515
Mix_39,0.474093506476972,0.367431518915772,0.0169785779086079,0,0.115951170092969,0.0255452266056793
Mix_40,0.399119904435707,0.301485506026398,0.200012311325151,0,0.0993822782127438,0
Mix_41,0.392803652732199,0.305975198858785,0.183311197636315,0,0.100298795301205,0.0176111554714952
Mix_42,0.40634272091665,0.405885239304829,0.087479273082304,0,0.100292766696217,0
Mix_43,0.440219374158932,0.308266434663403,0.134461118066945,0,0.106490969220557,0.0105621038901635
Mix_44,0.382862129174211,0.320288242744699,0.158422600023686,0,0.101266157477712,0.0371608705796921
Mix_45,0.399505442966956,0.345427277708627,0.14662231396471,0,0.108444965359708,0
Mix_46,0.427509819155648,0.384797440377181,0.0818624034059652,0,0.105830337061207,0
Mix_47,0.429315424939802,0.314272979673133,0.12337881588053,0,0.106519765636211,0.0265130138703237
Mix_48,0.413934418249669,0.369293454443158,0.111291006044792,0,0.105481121262381,0
Mix_49,0.360449308149836,0.332052304447963,0.207328477793412,0,0.10016990960879,0
Mix_50,0.38753597629979,0.392579057388338,0.112411094856338,0,0.107473871455535,0
Mix_51,0.417123961057735,0.388265986594326,0.0848777009515087,0,0.109732351396431,0
Mix_52,0.36366580936499,0.339007648975126,0.193600423756982,0,0.103726117902903,0
Mix_53,0.433546162075209,0.355244642054364,0.0926543894956296,0,0.11568700822603,0.00286779814876775
Mix_54,0.377518258457384,0.236519111809261,0.225452997751974,0,0.0889873067930479,0.0715223251883332
Mix_55,0.36185331174578,0.298995773744129,0.229465472192729,0,0.103346330066017,0.00633911225134517
Mix_56,0.397137457517593,0.368911937295852,0.123423260865319,0,0.110527344321236,0
Mix_57,0.33037639830727,0.303172131505001,0.228263615530213,0,0.0932725560401614,0.0449152986173541
Mix_58,0.381424578827906,0.399183637261416,0.113757806070373,0,0.105633977840305,0
Mix_59,0.362438953885273,0.265977493003782,0.25838372847886,0,0.0971997547567503,0.0160000698753349
Mix_60,0.422301134566994,0.368166673640962,0.12102475799568,0,0.0885074337963645,0
Mix_61,0.446286618775736,0.308569354470242,0.133496225333046,0,0.105350819581967,0.00629698183900906
Mix_62,0.428762482504449,0.307230008801935,0.171038443419141,0,0.0929690652744756,0
Mix_63,0.371895119359604,0.261996417337846,0.215069437255616,0,0.0930982716651231,0.0579407543818116
Mix_64,0.443352606699326,0.317226690538884,0.10160267918377,0,0.110169687691108,0.0276483358869123
Mix_65,0.435977440577073,0.344487214857061,0.0987308701498085,0,0.113530048057636,0.00727442635842193
