B_cells,Blood_CD34._cells,Dendritic_cells,Eosinophils,Fibroblasts,Keratinocytes,Lymphatic_endothelial_cells,Macrophages,Monocytes,NK_cells,Neutrophils,Plasma_cells_CD138.,Platelets,Reticulocytes,Subcutaneous_Adipose,T_cells_CD3.,T_cells_CD4.,T_cells_CD8.,T_cells_Gamma_Delta,T_cells_Regulatory,Vascular_Endothelial_Cells
Mix_1,0.0998324248774412,0,0,0.0751017019753902,0,0,0,0,0,0.00254314706969958,0.0576674154886276,0,0,0.306728885250667,0.193137241312276,0,0,0.186150114588994,0.0788390694369045,0,0
Mix_2,0.135564660896339,0,0,0.068057857696209,0,0.000139480649959819,0,0,0,0,0.0443923995901545,0,0,0.309954934539096,0.1845974325907,0,0,0.182320628021563,0.0749726060159786,0,0
Mix_3,0.0856991895606643,0,0,0.0648286958241855,0,0.0177429733406065,0,0,0,0.0393470169193272,0.0441044501266228,0,0,0.314930107379861,0.171789638030404,0,0,0.213617508228117,0.0479404205902126,0,0
Mix_4,0.0965941744584162,0,0,0.0643932295879523,0,0.0162888341499433,0,0,0,0.0241868732975231,0.0425009620457443,0,0,0.312556368176509,0.170565561531581,0,0,0.21761686714333,0.055297129609002,0,0
Mix_5,0.143375562587814,0,0,0.0657381978309542,0,0.00200810593341189,0,0,0,0.0184062993497688,0.0390121108036642,0,0,0.314478265001202,0.176848847533255,0,0,0.17565164295121,0.0644809680087196,0,0
Mix_6,0.124892137854611,0,0,0.0752341872071878,0,0,0,0,0,0,0.056144677433086,0,0,0.310826435199541,0.19718589983214,0,0,0.158494672037578,0.0772219904358567,0,0
Mix_7,0.116984011567798,0,0,0.0612216808061119,0,0.0262610078665639,0,0,0,0,0.0371820690915633,0,0,0.315067735789368,0.166953170767615,0,0,0.221791074722099,0.0545392493888803,0,0
Mix_8,0.156553010518626,0,0,0.0644408453955973,0,0.00923128309250179,0,0,0,0,0.0416189870916863,0,0,0.315345163647355,0.187292131127748,0,0,0.157681805300185,0.0678367738263007,0,0
Mix_9,0.124268876804979,0,0,0.0664074164600225,0,0.00771141731233714,0,0,0,0,0.0429136632624131,0,0,0.311945132368891,0.179298378054976,0,0,0.200121699327907,0.0673334164084742,0,0
Mix_10,0.144443564762732,0,0,0.0676321659659529,0,0.00176870168189928,0,0,0,0,0.0443003517302765,0,0,0.315797048839314,0.188920991355476,0,0,0.169461282341701,0.0676758933226482,0,0
Mix_11,0.122753947992594,0,0,0.0646149650207954,0,0.0119191937965346,0,0,0,0,0.0419089442715429,0,0,0.310054604632284,0.174758543119518,0,0,0.205517503233917,0.0684722979328141,0,0
Mix_12,0.0846111826741807,0,0,0.0707673356319932,0,0.00498473893002221,0,0,0,0.0146002300556616,0.052939588808298,0,0,0.309497827444553,0.186298421195646,0,0,0.208941064336369,0.0673596109232769,0,0
Mix_13,0.148124106757233,0,0,0.0639018988128143,0,0.0108442595263823,0,0,0,0,0.037983814206582,0,0,0.316029099853173,0.17787639380188,0,0,0.183169938232855,0.0620704888090796,0,0
Mix_14,0.0857919688318514,0,0,0.0611227282476062,0,0.0278928386390786,0,0,0,0.0361067133625385,0.0390563330668428,0,0,0.315132952225964,0.160946118314358,0,0,0.230120670899299,0.0438296764124612,0,0
Mix_15,0.117975788097325,0,0,0.0628595445042348,0,0.0214034080337168,0,0,0,0,0.0401434378322167,0,0,0.31248712269222,0.17281877711487,0,0,0.21146888477949,0.0608430369459284,0,0
Mix_16,0.141625952699558,0,0,0.0630683209419447,0,0.0156409114838617,0,0,0,0,0.0392833802231838,0,0,0.315902627131826,0.179605547310383,0,0,0.183840907660949,0.0610323525482928,0,0
Mix_17,0.120961024552927,0,0,0.0616496911575917,0,0.0246720845590249,0,0,0,0,0.0380345563605309,0,0,0.314725753678186,0.170558686549351,0,0,0.213297329243997,0.0561008738983918,0,0
Mix_18,0.128117713884547,0,0,0.0620903053371436,0,0.0206961515080973,0,0,0,0,0.0405934440434207,0,0,0.311940826605344,0.175215048705701,0,0,0.196334000739115,0.0650125091766311,0,0
Mix_19,0.0977217456418964,0,0,0.0702456400289365,0,0.0035075466314853,0,0,0,0.0153476128641449,0.0508990290913697,0,0,0.312831928287368,0.188998151602785,0,0,0.195956769295153,0.0644915765568614,0,0
Mix_20,0.145225379426536,0,0,0.0668079695089599,0,0.00445356730700112,0,0,0,0,0.0432429305269426,0,0,0.314528674595887,0.187886449461332,0,0,0.169747491405924,0.0681075377674171,0,0
Mix_21,0.147802853906724,0,0,0.0677999170374679,0,0.00260793175445022,0,0,0,0,0.0458290074337762,0,0,0.315412926962888,0.193271026182739,0,0,0.157997682770068,0.0692786539518863,0,0
Mix_22,0.105379829897406,0,0,0.0718753457472298,0,0.00101575752505785,0,0,0,0,0.0534687261349952,0,0,0.311579837030504,0.19458537722301,0,0,0.190203512418144,0.071891614023655,0,0
Mix_23,0.16061508990693,0,0,0.0651253223833586,0,0.00232135900934995,0,0,0,0,0.0398957918052065,0,0,0.313678615753727,0.184179136340263,0,0,0.162555757494382,0.0716289273067826,0,0
Mix_24,0.108828393728252,0,0,0.0612458262558616,0.00160377855056346,0.0313397765367929,0,0,0,0,0.0414373288597426,0,0,0.314745454695303,0.172161430299372,0,0,0.213239463395928,0.055398547678185,0,0
Mix_25,0.146030998696401,0,0,0.0617323811859336,0,0.0178118595441391,0,0,0,0,0.0351429178562745,0,0,0.316578278987211,0.171867956373751,0,0,0.192624113195738,0.0582114941605513,0,0
Mix_26,0.136439514799205,0,0,0.0604891522233802,0,0.0250487760896429,0,0,0,0,0.0355066068614779,0,0,0.316605327567243,0.170670076004439,0,0,0.200088465853589,0.0551520806010234,0,0
Mix_27,0.160876394307236,0.00219856893630931,0,0.0622588931363824,0,0.016152172107281,0,0,0,0,0.038490442401285,0,0,0.321247484525656,0.184982044357111,0,0,0.157746122805275,0.0560478774234639,0,0
Mix_28,0.128685334707879,0,0,0.0691113483787159,0,0.0013202708667491,0,0,0,0,0.0476931859327038,0,0,0.311988767403406,0.190752258246913,0,0,0.178441703037538,0.0720071314260964,0,0
Mix_29,0.147446561328918,0,0,0.0602960148198611,0,0.0217960380372803,0,0,0,0,0.0348263085256684,0,0,0.317553337442224,0.172843188974463,0,0,0.189230251138918,0.0560082997326673,0,0
Mix_30,0.0998037947186335,0,0,0.0614718443103563,0,0.0217878177838157,0,0,0,0.0416453352126559,0.0390632139047199,0,0,0.317151718911458,0.164874908322534,0,0,0.210842886019337,0.0433584808164898,0,0
Mix_31,0.139864258110889,0,0,0.0639715381510873,0,0.0136776152236633,0,0,0,0,0.0399639070477368,0,0,0.314678527279814,0.178986742866808,0,0,0.186254671688503,0.0626027396314994,0,0
Mix_32,0.132804421030177,0,0,0.0621832088281937,0,0.0187526843697651,0,0,0,0,0.0415379248865881,0,0,0.313348998045954,0.179561621506846,0,0,0.18687603625443,0.0649351050780473,0,0
Mix_33,0.111460293572496,0,0,0.0638861515027071,0,0.020099279945273,0,0,0,0,0.0433415693312095,0,0,0.313253008324003,0.177876647400854,0,0,0.209804194863398,0.060278855060059,0,0
Mix_34,0.133179010694632,0,0,0.0724835103760223,0,0,0,0,0,0,0.0527043761331179,0,0,0.31242892684787,0.194786711054958,0,0,0.160673191324065,0.0737442735693333,0,0
Mix_35,0.109793097595037,0,0,0.0661654502077483,0,0.00955868781577549,0,0,0,0.00965914347720448,0.0428939609526053,0,0,0.310334574255298,0.175152076842415,0,0,0.211107127784306,0.0653358810696101,0,0
Mix_36,0.127752353728775,0,0,0.0647283883770318,0,0.0136514648686161,0,0,0,0,0.0405593742728196,0,0,0.313943681327207,0.176872326269164,0,0,0.200481890453909,0.062010520702476,0,0
Mix_37,0.0868143498379155,0,0,0.0656443911750442,0,0.0137936821041213,0,0,0,0.043755477388138,0.0451649419496788,0,0,0.314464693369401,0.173949314629006,0,0,0.206773893501112,0.0496392560455826,0,0
Mix_38,0.0917603869603799,0,0,0.069579785546481,0,0.00826275917240883,0,0,0,0,0.0510557428587347,0,0,0.308669439130475,0.184500377041428,0,0,0.215731413598132,0.0704400956919612,0,0
Mix_39,0.170811380743312,0,0,0.068381672968515,0,0,0,0,0,0,0.0475154341136506,0,0,0.315435859649703,0.197988371950676,0,0,0.124607785921221,0.0752594946529232,0,0
Mix_40,0.106870237837593,0,0,0.0645374156806872,0,0.0124731987144065,0,0,0,0.0390486389736715,0.0414971306683625,0,0,0.316026349214658,0.17249096202872,0,0,0.196646924335254,0.0504091425466473,0,0
Mix_41,0.0946245214554151,0,0,0.0680750934468791,0,0.000263351844164261,0,0,0,0.0481836691664428,0.0478184737085849,0,0,0.310944762225654,0.179725640022033,0,0,0.190654340175497,0.0597101479553291,0,0
Mix_42,0.145287481795649,0,0,0.059071297247611,0,0.0273700652884064,0,0,0,0,0.0344092077921515,0,0,0.318398205557776,0.170872925650664,0,0,0.191512913267794,0.0530779033999478,0,0
Mix_43,0.133945146922206,0,0,0.0688557057314642,0,0.00127668337193004,0,0,0,0,0.0457624989137825,0,0,0.314194361103721,0.187722728045674,0,0,0.179299766803844,0.0689431091073791,0,0
Mix_44,0.0869186454238845,0,0,0.0716509054503558,0,0,0,0,0,0.026123883569882,0.0529369632724696,0,0,0.308100726217883,0.186254556935378,0,0,0.198537019684642,0.0694772994455045,0,0
Mix_45,0.116420010073288,0,0,0.0638441629093403,0,0.0211727923086219,0,0,0,0,0.0413793353561367,0,0,0.316269133200309,0.177780101665407,0,0,0.207568335681212,0.0555661288056841,0,0
Mix_46,0.154727526865694,0,0,0.0603712394133757,0,0.0225974820443343,0,0,0,0,0.0358087389903335,0,0,0.320236478025175,0.178239202822559,0,0,0.174173421100745,0.0538459107377837,0,0
Mix_47,0.1243325283104,0,0,0.0701851142752297,0,0,0,0,0,0,0.0496809539819701,0,0,0.312074113968785,0.192376460734631,0,0,0.178894259809949,0.0724565689190353,0,0
Mix_48,0.129332226112495,0,0,0.0651574385308547,0,0.0114546931099591,0,0,0,0,0.0406570158912708,0,0,0.312488119407084,0.177486770706489,0,0,0.198116509841878,0.0653072263999694,0,0
Mix_49,0.0792276677089806,0,0,0.0641111661101255,0,0.0146701070091631,0,0,0,0.058932362229405,0.0427731100445014,0,0,0.312282546162082,0.166253036509197,0,0,0.213470718447354,0.0482792857791907,0,0
Mix_50,0.12367015839378,0,0,0.0606699011199468,0,0.0306985827491211,0,0,0,0,0.0381335972744609,0,0,0.318098860023395,0.173103574118705,0,0,0.20501892762967,0.0506063986909203,0,0
Mix_51,0.135701452432312,0,0,0.0643582641349144,0,0.0124613714493553,0,0,0,0,0.0408932026661561,0,0,0.313296349108286,0.179368216022399,0,0,0.188593956873815,0.0653271873127621,0,0
Mix_52,0.0892303112462805,0,0,0.0633198306813437,0,0.0275258099168311,0,0,0,0.0114450002505563,0.0422001789371111,0,0,0.31499906803862,0.168946155301724,0,0,0.232309792517815,0.0500238531097186,0,0
Mix_53,0.138415068817471,0,0,0.0662763806666015,0,0.00937617892504056,0,0,0,0,0.0439367663684412,0,0,0.315727823718305,0.187328162776002,0,0,0.174794084765376,0.0641455339627624,0,0
Mix_54,0.0642801794803045,0,0,0.0748050988452247,0,0,0,0,0,0.089745758695567,0.0604200246327538,0,0,0.30895884527532,0.184176885787684,0,0,0.160927301800615,0.056685905482531,0,0
Mix_55,0.0709191235690798,0,0,0.0657592174333388,0,0.011736606382302,0,0,0,0.0649978381331698,0.0457065552272103,0,0,0.313642617569237,0.1726952572537,0,0,0.207834659507567,0.0467081249243954,0,0
Mix_56,0.121032969567372,0,0,0.0626469750367869,0,0.0246000017913683,0,0,0,0,0.0407220385503929,0,0,0.317405391240698,0.177443574884651,0,0,0.202235909506905,0.0539131394218264,0,0
Mix_57,0.0425864572126005,0,0,0.0700737857006702,0,0,0,0,0,0.0988524032496049,0.0552348421171589,0,0,0.306915999406728,0.175372748026369,0,0,0.197035072234267,0.0539286920526015,0,0
Mix_58,0.114852109585177,0,0,0.0630145812695689,0,0.0231033719480437,0,0,0,0,0.0393574229678545,0,0,0.312702025447329,0.171496745225693,0,0,0.216429921823845,0.0590438217324891,0,0
Mix_59,0.0658028743660429,0,0,0.0663598927795057,0,0.00616037886684443,0,0,0,0.0980476270244158,0.0480040506432102,0,0,0.314821347240562,0.171770813713101,0,0,0.187903717977174,0.0411292973891436,0,0
Mix_60,0.160615701521398,0,0,0.0573268054035492,0,0.0300592858910579,0,0,0,0,0.0298023886823567,0,0,0.322847601201411,0.167069295943644,0,0,0.18545532012142,0.0468236012351638,0,0
Mix_61,0.139204443101757,0,0,0.0683439647639408,0,0,0,0,0,0.000134641277667699,0.0443787975599238,0,0,0.314125232284239,0.185927175139945,0,0,0.177617182180232,0.0702685636922953,0,0
Mix_62,0.133520603741914,0,0,0.0643684207615103,0,0.00512393448657574,0,0,0,0.0338852207269557,0.0384976607738696,0,0,0.315565786403678,0.172839865572599,0,0,0.179022827953167,0.0571756795797309,0,0
Mix_63,0.0656957269350554,0,0,0.0730865294450623,0,0,0,0,0,0.0732572557298016,0.0576164234938215,0,0,0.309251095147708,0.184956531318915,0,0,0.17801260359894,0.0581238343306964,0,0
Mix_64,0.136688342796785,0,0,0.0699324478043179,0,0,0,0,0,0,0.0497167206286952,0,0,0.314468732224581,0.195990654290055,0,0,0.162063750072939,0.071139352182627,0,0
Mix_65,0.138021830430098,0,0,0.0671346169463215,0,0.00678407714345619,0,0,0,0,0.0445071855127399,0,0,0.315277856942021,0.188900584788037,0,0,0.173526683690427,0.0658471645468999,0,0
Mix_66,0.128349105031583,0,0,0.062838090767088,0,0.0168594413378921,0,0,0,0,0.0379485138576703,0,0,0.313745321157359,0.171562173838034,0,0,0.207811944040416,0.0608854099699561,0,0
Mix_67,0.164200833169006,0,0,0.071287739725733,0,0,0,0,0,0,0.0478901582117703,0,0,0.311952772370329,0.191475699394344,0,0,0.135288777752069,0.0779040193767487,0,0
Mix_68,0.13278509881875,0,0,0.0611936134153656,0,0.0254136697302066,0,0,0,0,0.0389648646535105,0,0,0.318082702219838,0.177049332118502,0,0,0.192936206279849,0.053574512763979,0,0
