naive_B_cell,memory_B_cell,CD14_positive_monocyte,CD16_positive_monocyte,CD56dim_natural_killer_cell,CD56bright_natural_killer_cell,neutrophil,CD4_positive_alpha_beta_T_cell,CD8_positive_alpha_beta_T_cell,macrophage_m0,macrophage_m1,macrophage_m2,MAST_cell,basophil,eosinophil,gamma_delta_T_cell,hematopoietic_progenitor,myeloid_dendritic_cell,plasma_cell,plasmacytoid_dendritic_cell
mix_1,0.247620031163413,0,0.207045680541763,0,0.328561733887428,0,0.00157808370184978,0.171118749600365,0,0,0,0.00114956290445697,0,0.0356869154136219,0,0,0,0.00723924278710146,0,0
mix_2,0.242644034500555,0,0.233448858996594,0,0.322891756495463,0,0.00326865196288932,0.149357766743316,0,0,0,0,0,0.0376194984179817,0,0,0,0.0107694328832001,0,0
mix_3,0.310248156340227,0,0.0500285371129038,0,0.283770276066506,0,0.0157498166515608,0.265403951807548,0.0296305518821307,0,0,0.0189169314263742,0,0,0,0,0,0,0,0.026251778712749
mix_4,0.321928973833379,0,0.113636465508322,0,0.303946574086,0,0.0136756197652239,0.205060392840004,0.00871773734826162,0,0,0.00963923297108368,0,0.00270581493464823,0,0,0,0,0,0.0206891887130783
mix_5,0.303945846251723,0,0.0935383066175018,0,0.31608258485777,0,0.0126233564931877,0.20686937184956,0.0273169778852552,0,0,0.0151054405814476,0,0.00321576461354504,0,0,0,0,0,0.0213023508500099
mix_6,0.287178892477027,0,0.154879753931343,0,0.31211370836661,0,0.0090554670457339,0.19658175479914,0.00785253905034146,0,0,0.00638485323173373,0,0.0152621961140805,0,0,0,0,0,0.0106908349839913
mix_7,0.349623726388408,0,0.0708065026922209,0,0.29815359509355,0,0.0128548308194517,0.215625780078618,0.0145610791882298,0,0,0.0146325964534874,0,0,0,0,0,0,0,0.0237418892860348
mix_8,0.317655854433781,0,0.183792404774077,0,0.297571592342792,0,0.00699624350835505,0.164803313711344,0,0,0,6.1225330687642e-05,0,0.0206923966194384,0,0,0,0,0,0.00842696927952616
mix_9,0.263218465275241,0,0.154946577943036,0,0.32718496117232,0,0.0107307279740039,0.204992830871184,0.00153622461352945,0,0,0.00898116500749949,0,0.0192404940905779,0,0,0,0,0,0.00916855305260857
mix_10,0.363040748415598,0,0.0968988691202243,0,0.282525827038586,0,0.0151009987057,0.192050726683976,0.0181808715284301,0,0,0.00804681754998431,0,0,0,0,0,0,0,0.0241551409575009
