Bcells	CD4_Tcells	CD8_Tcells	Monocytes	Neutrophils	NKcells	otherCells
A	0.0350855992542023	0.116705664599164	0.113662939666278	0.0272223516316218	0.145343627644808	0.00361346606726183	0.558366351136664
B	0.0358077267013208	0.117589832748185	0.112137610354271	0.0272094419386112	0.14588584506359	0.00379420237709142	0.55757534081693
C	0.0296837027865685	0.141651884999964	0.108785921292768	0.0220492951659941	0.123232437848491	0.00319876745169001	0.571397990454525
D	0.0299708624822623	0.141897819737221	0.106731628660714	0.022046975466118	0.124936966670189	0.00330918075796696	0.571106566225529
E	0.0302254339709101	0.113944613214382	0.135037206921814	0.0237140183581475	0.134102628379298	0.00247624540625742	0.560499853749191
F	0.0314767525457401	0.105836591268767	0.0935294017545829	0.0254164098076306	0.140072812916078	0.00598185819232022	0.597686173514881
G	0.0349332143011375	0.110208229099241	0.0937302517415364	0.0273112080514715	0.179066118170884	0.00372099572973314	0.551029982905996
H	0.033605538542699	0.108518121253433	0.09323899255013	0.0300660491107332	0.136918288468224	0.00275069340137335	0.594902316673407
I	0.0333129951598637	0.110620252808	0.0938984963318091	0.0301170321717487	0.137684453356696	0.00277793743413965	0.591588832737743
J	0.0300323320710534	0.163760251375013	0.0780815046035689	0.0179938330756989	0.113458372065568	0.00408297082345553	0.592590735985642
K	0.0286412000657754	0.11398010428729	0.140686503402426	0.0162735712843387	0.113251620431511	0.00172779200029367	0.585439208528365
L	0.0273578243239759	0.162505782094672	0.0801651675508412	0.0217178375526437	0.114769796031061	0.00421228890622037	0.589271303540586
