CD38.negative.naive.B.cell	memory.B.cell	CD14.positive..CD16.negative.classical.monocyte	cytotoxic.CD56.dim.natural.killer.cell	mature.neutrophil	memory.CD4.positive.alpha.beta.T.cell	CD4.positive..alpha.beta.T.cell	memory.CD8.positive.alpha.beta.T.cell
S10001	0.0348	0.1136	0.1566	0.0918	0.2099	0.1296	0.1741	0.0897
S10006	0.0451	0.1177	0.131	0.1075	0.2072	0.1786	0.1325	0.0804
S1001	0.0443	0.0962	0.1827	0.1198	0.1942	0.1725	0.1212	0.0692
S10010	0.0208	0.0905	0.1575	0.0985	0.3182	0.1302	0.118	0.0665
S10011	0.038	0.0977	0.1549	0.1072	0.1849	0.1775	0.1748	0.065
S10014	0.0415	0.1082	0.1343	0.1477	0.2347	0.168	0.1014	0.0641
S10026	0.0375	0.0782	0.2131	0.0884	0.2162	0.1393	0.175	0.0523
S10032	0.0392	0.0989	0.2458	0.1096	0.1876	0.1468	0.1272	0.0449
S10036	0.042	0.1088	0.1342	0.1146	0.2395	0.17	0.1505	0.0404
S10042	0.0378	0.0984	0.1617	0.1181	0.2217	0.1693	0.128	0.0651
S10044	0.0292	0.0939	0.1588	0.0848	0.263	0.1504	0.1499	0.07
S10049	0.0397	0.1008	0.1652	0.0793	0.2212	0.1553	0.1595	0.0791
S10057	0.032	0.1552	0.1233	0.1245	0.1559	0.1948	0.1141	0.1003
S10062	0.0228	0.1054	0.2117	0.082	0.1994	0.1661	0.1491	0.0635
S10066	0.0305	0.0983	0.1648	0.0882	0.2565	0.1561	0.1455	0.0601
S10067	0.0374	0.0948	0.148	0.1193	0.1664	0.1538	0.2046	0.0757
S1007	0.0399	0.1151	0.1429	0.1012	0.1998	0.1915	0.1269	0.0826
S10073	0.0253	0.0879	0.1458	0.0886	0.1842	0.1737	0.2068	0.0876
S10077	0.0296	0.1254	0.1774	0.1089	0.1897	0.1561	0.1334	0.0797
S10080	0.0446	0.1184	0.1468	0.1274	0.219	0.1585	0.0964	0.089
S10082	0.0323	0.0992	0.149	0.0785	0.1953	0.2354	0.1463	0.064
S10087	0.0327	0.103	0.2075	0.0793	0.1674	0.1993	0.125	0.0857
S10089	0.0551	0.1148	0.1352	0.1003	0.2203	0.1317	0.154	0.0884
S1009	0.0352	0.1226	0.1354	0.0966	0.138	0.1959	0.1791	0.0972
S10090	0.0246	0.1152	0.1576	0.1248	0.1862	0.1551	0.1392	0.0973
S10093	0.0463	0.1364	0.11	0.111	0.2249	0.1932	0.1019	0.0764
S10094	0.0359	0.0913	0.172	0.1262	0.2313	0.1812	0.1277	0.0343
S1010	0.0258	0.1187	0.1649	0.0932	0.1595	0.1809	0.1603	0.0968
S10111	0.0373	0.0847	0.1432	0.1244	0.1975	0.1688	0.1783	0.0658
S10116	0.0343	0.1156	0.1362	0.1264	0.1244	0.1976	0.1491	0.1163
S10119	0.0343	0.1242	0.118	0.1066	0.1978	0.1474	0.1958	0.0759
S10121	0.0371	0.1095	0.1718	0.116	0.1932	0.1323	0.1515	0.0885
S10130	0.0432	0.1181	0.1476	0.11	0.2324	0.1521	0.1356	0.061
S10140	0.0594	0.0812	0.1721	0.0925	0.3115	0.148	0.0916	0.0436
S10142	0.0593	0.0982	0.1655	0.1831	0.1489	0.1665	0.0959	0.0826
S10150	0.0197	0.1158	0.1183	0.142	0.2926	0.1516	0.0807	0.0793
S10155	0.032	0.1102	0.1537	0.084	0.196	0.1417	0.2112	0.0711
S1016	0.047	0.0979	0.1676	0.1093	0.2012	0.1895	0.1043	0.0833
S10163	0.0291	0.1326	0.1424	0.1182	0.204	0.1607	0.1313	0.0818
S10167	0.023	0.1236	0.1162	0.1537	0.2106	0.1717	0.0908	0.1104
S10168	0.036	0.107	0.1335	0.1637	0.1922	0.1469	0.1548	0.0659
S10173	0.0339	0.1359	0.116	0.0937	0.159	0.185	0.2064	0.0701
S10175	0.0488	0.1055	0.1555	0.1116	0.2108	0.1962	0.1175	0.054
S10179	0.0364	0.0819	0.158	0.1347	0.1431	0.1498	0.1744	0.1217
S10186	0.052	0.1101	0.1788	0.1185	0.1022	0.1388	0.2206	0.0791
S1019	0.0293	0.1099	0.1675	0.1197	0.1629	0.1684	0.1657	0.0766
S10190	0.0511	0.0853	0.175	0.0842	0.1705	0.1594	0.2225	0.0519
S10195	0.0327	0.1169	0.1479	0.0982	0.2358	0.168	0.1388	0.0617
S10196	0.0356	0.0911	0.153	0.1134	0.2412	0.1482	0.165	0.0524
S10200	0.0219	0.1007	0.1822	0.1532	0.2048	0.159	0.1068	0.0712
S10201	0.031	0.1225	0.1292	0.0986	0.3187	0.1384	0.0842	0.0772
S10202	0.0322	0.1132	0.1396	0.1622	0.1842	0.1839	0.093	0.0917
S10205	0.0463	0.092	0.1463	0.1262	0.205	0.1801	0.1468	0.0573
S10211	0.0481	0.1112	0.1503	0.1098	0.1948	0.1965	0.0948	0.0947
S10221	0.0412	0.1058	0.1268	0.111	0.2024	0.2145	0.1565	0.0419
S10222	0.0336	0.134	0.1434	0.0918	0.253	0.164	0.1142	0.0659
S10226	0.0466	0.0992	0.1827	0.0911	0.2171	0.1332	0.1526	0.0776
S10227	0.042	0.0987	0.1405	0.1083	0.2624	0.1776	0.1132	0.0572
S10228	0.0229	0.1054	0.1551	0.1072	0.2129	0.1895	0.1638	0.0432
S10232	0.0285	0.177	0.113	0.1135	0.1412	0.1928	0.1753	0.0586
S10248	0.0486	0.0899	0.1493	0.082	0.219	0.1433	0.1888	0.0792
S10249	0.0244	0.1105	0.2292	0.0937	0.2308	0.15	0.1159	0.0455
S1025	0.0349	0.1037	0.1734	0.1304	0.1808	0.1386	0.1548	0.0833
S10266	0.0428	0.1127	0.1511	0.0917	0.2077	0.1611	0.1363	0.0966
S10269	0.0397	0.121	0.1538	0.1013	0.2376	0.1605	0.0857	0.1004
S10272	0.0408	0.1123	0.131	0.0983	0.2548	0.165	0.115	0.0828
