Bcells	Monocytes	NKcells	Neutrophils	CD4_Tcells	CD8_Tcells
S10001	0.0775	0.1992	0.051	0.3527	0.2027	0.1169
S10006	0.0827	0.1675	0.0887	0.3618	0.2062	0.0931
S1001	0.0431	0.2383	0.0894	0.3447	0.217	0.0674
S10010	0.0396	0.1966	0.0602	0.4903	0.1366	0.0766
S10011	0.0616	0.2076	0.062	0.3062	0.2831	0.0796
S10014	0.0512	0.2079	0.1048	0.3721	0.2006	0.0634
S10026	0.0488	0.2464	0.0449	0.3457	0.241	0.0733
S10032	0.0646	0.3444	0.0713	0.2879	0.1911	0.0407
S10036	0.0668	0.1668	0.0865	0.3784	0.2268	0.0746
S10042	0.0542	0.2251	0.0882	0.3637	0.1767	0.0921
S10044	0.0492	0.1913	0.0472	0.418	0.1979	0.0964
S10049	0.0707	0.2164	0.058	0.3393	0.224	0.0915
S10057	0.0853	0.2086	0.1165	0.2382	0.2821	0.0694
S10062	0.0568	0.2544	0.0545	0.3337	0.1994	0.1012
S10066	0.046	0.2125	0.0585	0.4326	0.1968	0.0536
S10067	0.0695	0.1818	0.0898	0.2516	0.2862	0.1212
S1007	0.0856	0.1834	0.1012	0.3241	0.2272	0.0783
S10073	0.0567	0.151	0.0443	0.308	0.3283	0.1117
S10077	0.0826	0.2711	0.0782	0.2943	0.1904	0.0834
S10080	0.0748	0.1894	0.0917	0.3535	0.1839	0.1066
S10082	0.0743	0.1696	0.0347	0.3267	0.3023	0.0924
S10087	0.0662	0.2864	0.0449	0.2491	0.2584	0.0949
S10089	0.0924	0.201	0.0839	0.3314	0.1941	0.0972
S1009	0.1244	0.1557	0.0666	0.22	0.3234	0.11
S10090	0.0653	0.1771	0.0944	0.3353	0.225	0.1028
S10093	0.0649	0.1895	0.117	0.3172	0.254	0.0574
S10094	0.0503	0.2377	0.0737	0.3694	0.2197	0.0493
S1010	0.0808	0.2604	0.0619	0.2525	0.2387	0.1057
S10111	0.0617	0.1744	0.0708	0.2835	0.343	0.0666
S10116	0.0814	0.1821	0.1044	0.1938	0.2945	0.1438
S10119	0.0719	0.1688	0.08	0.2913	0.2639	0.1241
S10121	0.0545	0.2422	0.0866	0.3293	0.1685	0.1189
S10130	0.0783	0.1952	0.0854	0.3622	0.162	0.1169
S10140	0.0875	0.2297	0.0552	0.4676	0.1074	0.0527
S10142	0.1059	0.2728	0.156	0.1986	0.184	0.0828
S10150	0.0593	0.171	0.0885	0.4901	0.1357	0.0554
S10155	0.0592	0.2269	0.0683	0.2768	0.2572	0.1116
S1016	0.0655	0.225	0.0979	0.3122	0.2359	0.0635
S10163	0.0851	0.178	0.089	0.3399	0.2054	0.1027
S10167	0.0711	0.1594	0.1444	0.3385	0.1836	0.103
S10168	0.0683	0.167	0.1361	0.2713	0.2475	0.1096
S10173	0.0983	0.1334	0.0521	0.25	0.3462	0.12
S10175	0.0718	0.2011	0.079	0.3516	0.2207	0.0757
S10179	0.0326	0.2064	0.0956	0.221	0.3329	0.1114
S10186	0.1021	0.2915	0.0827	0.101	0.3204	0.1023
S1019	0.0775	0.2347	0.0874	0.2455	0.2412	0.1137
S10190	0.0542	0.1967	0.0374	0.2859	0.3443	0.0816
S10195	0.0691	0.205	0.0724	0.3779	0.2058	0.0698
S10196	0.0488	0.2142	0.0719	0.3657	0.2272	0.0723
S10200	0.0517	0.2652	0.1143	0.3356	0.166	0.0672
S10201	0.0727	0.1699	0.0691	0.5063	0.123	0.059
S10202	0.0527	0.195	0.1342	0.2924	0.1966	0.1291
S10205	0.069	0.1678	0.0672	0.388	0.2344	0.0735
S10211	0.0645	0.2265	0.0891	0.2738	0.2311	0.115
S10221	0.0511	0.1399	0.0743	0.3625	0.2772	0.0951
S10222	0.0925	0.2074	0.071	0.3761	0.1792	0.0739
S10226	0.0684	0.209	0.0729	0.3705	0.1972	0.082
S10227	0.0702	0.1979	0.074	0.3926	0.206	0.0593
S10228	0.065	0.1957	0.0712	0.3136	0.231	0.1234
S10232	0.0834	0.19	0.0827	0.1988	0.2643	0.1807
S10248	0.0609	0.1744	0.0498	0.3576	0.3052	0.0522
S10249	0.049	0.2945	0.0589	0.3921	0.154	0.0516
S1025	0.0682	0.2494	0.0906	0.2752	0.2336	0.083
S10266	0.0607	0.2013	0.0749	0.3731	0.2038	0.0862
S10269	0.0916	0.188	0.0885	0.3816	0.1569	0.0934
S10272	0.069	0.1925	0.0744	0.394	0.1995	0.0706
S10273	0.1013	0.1819	0.0993	0.3803	0.174	0.0633
S10274	0.0722	0.2014	0.0779	0.3567	0.2036	0.0882
S1028	0.058	0.2062	0.0483	0.3553	0.2727	0.0596
S10280	0.0399	0.2437	0.0566	0.2768	0.2984	0.0846
S10283	0.0506	0.3079	0.0775	0.161	0.2912	0.1118
S1029	0.0954	0.2155	0.0916	0.293	0.2222	0.0822
S10292	0.0919	0.1709	0.071	0.2494	0.2407	0.1761
S10294	0.0826	0.2	0.1051	0.2705	0.2324	0.1095
S10302	0.0599	0.1936	0.0853	0.2876	0.2792	0.0944
S10303	0.0669	0.2254	0.0925	0.3092	0.2214	0.0846
