Bcells	Monocytes	NKcells	Neutrophils	CD4_Tcells	CD8_Tcells
mix_1	0.0235	0.7143	0.1389	0	0.0706	0.0527
mix_2	0.0064	0.8558	0.0327	0	0.0401	0.0649
mix_3	0.2008	0.147	0.0799	0	0.4849	0.0874
mix_4	0.2517	0.3705	0.0886	0	0.1889	0.1003
mix_5	0.1677	0.3113	0.1725	0	0.1242	0.2244
mix_6	0.1314	0.5431	0.0694	0	0.1111	0.145
mix_7	0.3486	0.2124	0.1395	0	0.2048	0.0947
mix_8	0.2496	0.6089	0	0	0.1192	0.0223
mix_9	0.0394	0.5637	0.1708	0	0.1404	0.0857
mix_10	0.4065	0.3035	0	0	0.1253	0.1647
mix_11	0.0266	0.8138	0.0453	0	0.0966	0.0178
mix_12	0.002	0.7406	0.0239	0	0.1079	0.1256
mix_13	0.4406	0.2044	0.1649	0	0.1261	0.064
mix_14	0.4517	0.2692	0	0	0.0747	0.2044
mix_15	0.328	0.0909	0.3515	0	0.0615	0.168
mix_16	0.2176	0.3116	0.0571	0	0.3111	0.1025
mix_17	0.6157	0.0066	0	0.01	0.1797	0.188
mix_18	0.0271	0.8893	0.0066	0	0.0335	0.0435
mix_19	0.2247	0.5166	0.0412	0	0.0631	0.1543
mix_20	0.1111	0.0106	0.1169	0	0.2922	0.4692
mix_21	0.306	0.2638	0.0074	3e-04	0.1596	0.2628
mix_22	0.2654	0.4206	0.1586	0	0.0462	0.1091
mix_23	0.3058	0.4772	0.0062	8e-04	0.1717	0.0382
mix_24	0.0021	0.894	0.0666	0	0.0248	0.0125
mix_25	0.0327	0.5865	0	0	0.2567	0.124
mix_26	0.0331	0.0215	0.4139	0	0.4264	0.1051
mix_27	0.2474	0.6271	0.1165	0	0.0089	0
mix_28	0.2092	0.0167	0.1404	0	0.3421	0.2915
mix_29	0.1136	0.5022	0.1251	0	0.166	0.0931
mix_30	0.1743	0.4901	0.08	0	0.1368	0.1188
mix_31	0.1006	0.5667	0.04	0	0.2614	0.0314
mix_32	0.1756	0.3663	0.0958	0	0.2246	0.1378
mix_33	0.1757	0.5701	0.0728	0	0.1755	0.006
mix_34	0.0058	0.7872	0.0785	0	0.0824	0.0461
mix_35	0.0878	0.6048	0.0686	0	0.0642	0.1746
mix_36	0.3634	0.2294	0.0594	0.0017	0.346	0
mix_37	0.3311	0.2981	0.0215	0.0024	0.3301	0.0168
mix_38	0.0982	0.0775	0.2754	6e-04	0.506	0.0423
mix_39	0.3749	0.0886	0.253	0	0.1086	0.1749
mix_40	0.1801	0.5655	0.032	0	0.2225	0
mix_41	0.0377	0.6947	0.112	0	0.0529	0.1027
mix_42	0.4233	0.0285	0.0819	0.0012	0.2712	0.1939
mix_43	0.0112	0.2997	0.2627	0	0.2111	0.2154
mix_44	0.0515	0.261	0.2221	2e-04	0.459	0.0062
mix_45	0	0.5403	0	0	0.3529	0.1068
mix_46	0.1869	0.1252	0.1437	0	0.1282	0.416
mix_47	0.2011	0.5582	0.006	0	0.1562	0.0785
mix_48	0.2152	0.6571	0.1277	0	0	0
mix_49	0.2134	0.561	0.1284	0	0.0288	0.0683
mix_50	0.3231	0.137	0	0	0.3943	0.1456
mix_51	0.2225	0.6054	0.1315	0	0.0406	0
mix_52	0.446	0.0472	0.191	0	0.2574	0.0584
mix_53	0.2285	0.5842	0.1053	0	0.0614	0.0206
mix_54	0.4176	0.0433	0.0099	0.0012	0.11	0.4179
