Bcells	Monocytes	NKcells	Neutrophils	CD4_Tcells	CD8_Tcells
mix_1	0.0764	0.251	0.1752	0.0444	0.0379	0.4151
mix_2	0.1629	0.2114	0.1548	0.0681	0.0411	0.3618
mix_3	0.1173	0.4302	0.1413	0.0482	0.0794	0.1836
mix_4	0.0823	0.1912	0.1292	0.0272	0.2662	0.3038
mix_5	0.0944	0.3153	0.1349	0.0357	0.1016	0.3181
mix_6	0.0899	0.2068	0.1327	0.0327	0.1808	0.3571
mix_7	0.1132	0.3676	0.1367	0.0377	0.0602	0.2845
mix_8	0.1125	0.3183	0.152	0.0539	0.0708	0.2924
mix_9	0.072	0.1262	0.1159	0.0253	0.2406	0.4201
mix_10	0.1364	0.3065	0.1093	0.037	0.2837	0.1272
mix_11	0.1386	0.1708	0.1407	0.0439	0.0358	0.4702
mix_12	0.0665	0.3053	0.1305	0.0369	0.1834	0.2774
mix_13	0.0911	0.185	0.1052	0.0717	0.408	0.1389
mix_14	0.0873	0.187	0.0957	0.0251	0.3496	0.2552
mix_15	0.1051	0.2937	0.1422	0.0427	0.0941	0.3222
mix_16	0.1536	0.3796	0.1443	0.0604	0.0782	0.1839
mix_17	0.1426	0.3772	0.149	0.0576	0.1036	0.1699
mix_18	0.1354	0.2268	0.1076	0.0634	0.4149	0.0519
mix_19	0.1177	0.4129	0.1357	0.051	0.0824	0.2003
mix_20	0.1484	0.158	0.1118	0.0594	0.2433	0.2791
mix_21	0.1064	0.3367	0.1323	0.0532	0.2365	0.1348
mix_22	0.0602	0.2947	0.1404	0.0236	0.1575	0.3236
mix_23	0.1117	0.1634	0.1137	0.0437	0.221	0.3465
mix_24	0.0991	0.304	0.1264	0.0424	0.1481	0.28
mix_25	0.0947	0.1331	0.1081	0.0349	0.321	0.3082
mix_26	0.1041	0.3797	0.1253	0.0539	0.2133	0.1237
mix_27	0.0961	0.1872	0.1362	0.0347	0.1102	0.4355
mix_28	0.1076	0.2254	0.1248	0.0383	0.1981	0.3058
mix_29	0.0883	0.2399	0.166	0.0372	0.0634	0.4052
mix_30	0.0736	0.1774	0.119	0.0313	0.2892	0.3094
mix_31	0.0909	0.2581	0.1293	0.042	0.2399	0.2398
mix_32	0.081	0.1811	0.0919	0.0199	0.4134	0.2126
mix_33	0.0896	0.2895	0.106	0.0453	0.3172	0.1524
mix_34	0.1466	0.3541	0.1496	0.0581	0.1237	0.1679
mix_35	0.0702	0.2615	0.1308	0.0289	0.1649	0.3437
mix_36	0.0833	0.3133	0.1359	0.031	0.1512	0.2854
mix_37	0.1182	0.3734	0.1371	0.0521	0.1029	0.2163
mix_38	0.1077	0.377	0.135	0.0421	0.0714	0.2668
mix_39	0.1027	0.209	0.1349	0.0386	0.1346	0.3802
mix_40	0.065	0.3357	0.1338	0.035	0.2255	0.2051
mix_41	0.1063	0.3959	0.1209	0.0478	0.1636	0.1655
mix_42	0.1294	0.0903	0.1082	0.0267	0.5523	0.0931
mix_43	0.1351	0.374	0.1306	0.0504	0.2482	0.0617
mix_44	0.152	0.1622	0.1106	0.0589	0.1742	0.3422
mix_45	0.1145	0.2713	0.1595	0.0271	0.0357	0.3919
mix_46	0.0744	0.4096	0.1235	0.0353	0.189	0.1681
mix_47	0.1686	0.3519	0.1324	0.0842	0.0746	0.1883
mix_48	0.1406	0.2135	0.1014	0.0406	0.4343	0.0694
mix_49	0.0693	0.3711	0.1569	0.0124	0.0839	0.3064
mix_50	0.0821	0.2145	0.1526	0.0344	0.1664	0.35
mix_51	0.125	0.4041	0.1325	0.0491	0.15	0.1394
mix_52	0.1195	0.3795	0.1343	0.0461	0.1476	0.1731
mix_53	0.2285	0.2787	0.1044	0.0556	0.1442	0.1886
mix_54	0.0987	0.2682	0.1044	0.0389	0.2494	0.2405
mix_55	0.1108	0.2936	0.1221	0.0542	0.3366	0.0827
mix_56	0.0495	0.2348	0.0865	0.0311	0.348	0.2501
mix_57	0.0734	0.1766	0.1387	0.023	0.1725	0.4158
mix_58	0.0886	0.2956	0.1255	0.0408	0.1346	0.3149
mix_59	0.1525	0.408	0.1393	0.044	0.0967	0.1595
mix_60	0.118	0.2796	0.1066	0.0526	0.3061	0.1371
mix_61	0.0907	0.323	0.1238	0.0368	0.1342	0.2916
mix_62	0.0973	0.4021	0.1241	0.0458	0.1034	0.2274
mix_63	0.0746	0.287	0.1262	0.0385	0.1789	0.2948
mix_64	0.1949	0.3508	0.1356	0.0623	0.0568	0.1995
mix_65	0.1241	0.4066	0.1318	0.0467	0.1287	0.1621
mix_66	0.1814	0.3119	0.1534	0.0513	0.0809	0.2211
mix_67	0.1151	0.2982	0.1294	0.0337	0.0293	0.3942
mix_68	0.1142	0.3357	0.1274	0.0459	0.1586	0.2181
mix_69	0.146	0.2027	0.1131	0.0426	0.2076	0.2879
mix_70	0.1071	0.3849	0.1338	0.0511	0.1792	0.144
mix_71	0.1184	0.3454	0.1346	0.046	0.1083	0.2472
mix_72	0.118	0.3862	0.1352	0.0415	0.0908	0.2282
mix_73	0.1034	0.3699	0.1316	0.0572	0.177	0.1609
mix_74	0.0772	0.0885	0.0935	0.0442	0.3398	0.3568
mix_75	0.1236	0.2727	0.1033	0.0425	0.3172	0.1407
mix_76	0.0781	0.3964	0.1451	0.0306	0.043	0.3069
mix_77	0.1094	0.2373	0.1111	0.0331	0.2065	0.3026
mix_78	0.1152	0.319	0.1202	0.0533	0.1782	0.2141
mix_79	0.169	0.4291	0.1135	0.0448	0.0773	0.1664
mix_80	0.1824	0.3309	0.0859	0.0369	0.2255	0.1383
mix_81	0.1655	0.3681	0.1155	0.0816	0.0947	0.1746
mix_82	0.122	0.4269	0.1598	0.0585	0.0479	0.1849
mix_83	0.0875	0.3466	0.1371	0.0491	0.2467	0.133
mix_84	0.0997	0.3512	0.1434	0.0394	0.093	0.2732
mix_85	0.1208	0.4208	0.1528	0.0451	0.0934	0.167
mix_86	0.0982	0.2876	0.129	0.0362	0.1615	0.2874
mix_87	0.0232	0.0973	0.1336	0.0094	0.2547	0.4817
mix_88	0.0688	0.222	0.1216	0.0362	0.2572	0.2943
mix_89	0.2345	0.3405	0.1162	0.0897	0.094	0.1252
mix_90	0.0396	0.1166	0.1483	0.0183	0.224	0.4532
mix_91	0.0671	0.2819	0.1288	0.024	0.1682	0.33
mix_92	0.1074	0.2152	0.1189	0.0451	0.2717	0.2417
mix_93	0.1238	0.3744	0.1351	0.062	0.1086	0.1961
mix_94	0.0525	0.1728	0.1197	0.0227	0.3077	0.3246
mix_95	0.0709	0.2154	0.1121	0.0412	0.3611	0.1991
mix_96	0.1236	0.2913	0.1226	0.0462	0.169	0.2473
mix_97	0.0727	0.174	0.153	0.0116	0.2882	0.3004
mix_98	0.0585	0.2941	0.1212	0.0266	0.3792	0.1204
mix_99	0.1776	0.4	0.1473	0.0401	0.0278	0.2073
mix_100	0.0645	0.3162	0.1229	0.0385	0.1948	0.2631
