	Chondrocyte.articular	B.cell.naive	B.cell.memory	Monocyte.CD14	NK.cell.CD56	Endothelial.large.blood.vessel	Endothelial.microvascular.mammary.or.endometrial	Endothelial.microvascular.non.reproductive	Epithelial.cell.mammary	Epithelial.renal.cortical	Epithelial.respiratory	Fibroblast.cardiac.ventricle	Fibroblast.of.arm	Fibroblast.of.lung	Fibroblast.of.the.aortic.adventitia	Fibroblast.or.papilla.dermal.cell	Hair.follicular.keratinocyte	Macrophage	Mature.neutrophil	Melanocyte.of.skin	Myometrial.cell	Osteoblast	MSC.like.pluripotent.cell	Myocyte.regular.cardiac	Smooth.muscle.cell.aortic	Smooth.muscle.cell.bronchial	Smooth.muscle.cell.of.bladder	Smooth.muscle.cell.coronary.artery	Smooth.muscle.cell.pulmonary.artery	Smooth.muscle.cell.of.trachea	Smooth.muscle.cell.uterine	T.Cell.CD4	T.cell.CD4.memory	T.cell.CD8.memory
A	0	0	0	0	0	0	0	0	0	0	0	0	0.0963479634437171	0	0.0997280602543324	0	0.238479580390001	0.54804135271394	0	0	0	0	0	0.00915287619066822	0	0	0	0	0	0.00825016700734082	0	0	0	0
B	0	0	0	0	0	0	0	0	0	0	0	0	0.101564471774963	0	0.100765872710697	0	0.234100200773837	0.546513803991433	0	0	0	0	0	0.00730177731330313	0	0	0	0	0	0.00975387343576682	0	0	0	0
C	0	0	0.0748955126202394	0	0	0	0	0	0	0	0	0	0.100543695441194	0	0.0962279687581826	0	0.241051519415295	0.460195947075788	0	0	0	0	0	0.0136563820311545	0	0	0	0	0	0.0134289746581465	0	0	0	0
D	0	0	0.0799775729720823	0	0	0	0	0	0	0	0	0	0.0982404721750166	0	0.0993192595253609	0	0.244688769699979	0.4564435373473	0	0	0	0	0	0.0120018647898609	0	0	0	0	0	0.00932852349040033	0	0	0	0
E	0	0	0.0576715926399768	0	0	0	0	0	0	0	0	0	0.104343119140353	0	0.100781270862705	0	0.236228663447014	0.481207281409231	0	0	0	0	0	0.00849461488438993	0	0	0	0	0	0.0112734576163305	0	0	0	0
F	0	0	0.0119459769767877	0	0	0	0	0	0	0	0	0	0.0975314997866377	0	0.0988411577962827	0	0.238577704727277	0.532602107293901	0	0	0	0	0	0.00991788928824131	0	0	0	0	0	0.0105836641308725	0	0	0	0
G	0	0	0	0	0	0	0	0	0	0	0	0	0.0976077812563002	0	0.1006448118437	0	0.232288186775532	0.558048092613152	0	0	0	0	0	0.00457928637943561	0	0	0	0	0	0.00683184113188016	0	0	0	0
H	0	0	0	0	0	0	0	0	0	0	0	0	0.105816716001682	0	0.101355745261117	0	0.227525780083209	0.550785176052783	0	0	0	0	0	0.00600194290402526	0	0	0	0	0	0.00851463969718382	0	0	0	0
I	0	0	0	0	0	0	0	0	0	0	0	0	0.102991369636786	0	0.0994920686656282	0	0.222719276993343	0.552273699819498	0	0	0	0	0	0.00771090611981971	0	0	0	0	0	0.0148126787649257	0	0	0	0
J	0	0	0.115771694240271	0	0	0	0	0	0	0	0	0	0.103713404678722	0	0.0997152622015243	0	0.242007153448688	0.413535213624112	0	0	0	0	0	0.0113079211866494	0	0	0	0	0	0.0139493506200335	0	0	0	0
K	0	0	0.120233983763921	0	0	0	0	0	0	0	0	0	0.09981647154495	0	0.0994590001217945	0	0.245019262880656	0.411227288453473	0	0	0	0	0	0.0100150044826928	0	0	0	0	0	0.014228988752513	0	0	0	0
L	0	0	0.0567944026366806	0	0	0	0	0	0	0	0	0	0.106128797197487	0	0.0968687317125099	0	0.235939309168352	0.483408335021167	0	0	0	0	0	0.012774115833622	0	0	0	0	0	0.00808630843018236	0	0	0	0
