	naive_B_cell	memory_B_cell	CD14_positive_monocyte	CD16_positive_monocyte	CD56dim_natural_killer_cell	CD56bright_natural_killer_cell	neutrophil	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell	macrophage_m0	macrophage_m1	macrophage_m2	MAST_cell	basophil	eosinophil	gamma_delta_T_cell	hematopoietic_progenitor	myeloid_dendritic_cell	plasma_cell	plasmacytoid_dendritic_cell
A	0.0173863419092495	0.00738534975058658	0.0244726568511787	0	0	0.211673271083639	0.141941060706538	0.0754228795496464	0	0.0106062171229934	0	0	0.11792894327862	0	0	0	0	0	0	0.39318327974755
B	0.0162066237267952	0.011652144653665	0.0238708064223282	0	0	0.210751044968844	0.144419316842437	0.074865326955069	0	0.0100802298421536	0	0	0.119632336634846	0	0	0	0	0	0	0.388522169953862
C	0	0.0177188569569564	0.00851528004493157	0	0	0.207910723499897	0.119256435342413	0.123439843179975	0	0.00809941279825194	0	0	0.133612678664799	0	0	0	0	0	0	0.381446769512776
D	0.000413361388808397	0.0192706318727908	0.00912340560040937	0	0	0.210904013849101	0.118765625071256	0.123560903023278	0	0.00565281101917065	0	0	0.131421691059958	0	0	0	0	0	0	0.380887557115228
E	0.000421409531595071	0.0184827834228012	0.0139046408330897	0	0	0.229115716017864	0.126878079047098	0.093871539592644	0.00142864422912123	0.008497998224386	0	0	0.121690031497754	0	0	0	0	0	0	0.385709157603648
F	0.0055384045714022	0.020416934880684	0.0173605062737472	0	0	0.26203626088922	0.134870020341089	0.0472823128880838	0	0.0122324175257245	0	0	0.121650990568813	0	0	0	0	0	0	0.378612152061236
G	0.0186204000510021	0.00959508153534173	0.0206025550825648	0	0	0.183997151578516	0.1833826369217	0.0591472983257338	0	0.0168201936492384	0	0	0.113368408083734	0	0	0	0	0	0	0.394466274772169
H	0.00672290852577869	0.0211472179005498	0.0409063889045039	0	0	0.179215102282343	0.142354224710409	0.0615370121425516	0	0.0207892316337903	0	0	0.11923820298797	0	0	0	0	0	0	0.408089710912104
I	0.0091818258667291	0.0172775631443172	0.041190781718524	0	0	0.176981048081607	0.143555791714554	0.0629954314314359	0	0.0180738950364874	0	0	0.119336602390387	0	0	0	0	0	0	0.411407060615958
J	0	0.0229783490071038	0	0	0	0.184831826527332	0.0999097784101751	0.145505986226857	0	0.00802456081961834	0	0	0.138610825053913	0	0	0	0	0	0	0.400138673955001
K	0	0.0236245192914184	0	0	0	0.240565169768712	0.0976839389521964	0.10574438311041	0.00696403257877176	0.0074045806362237	0	0	0.136647566226369	0	0	0	0	0	0	0.381365809435898
L	0	0.0126976993738266	0.00180758614564117	0	0	0.174703206555717	0.123860592227402	0.144078423852257	0	0.00868032754401786	0	0	0.144006975051617	0	0	0	0	0	0	0.390165189249522
