	Bcells	CD4_Tcells	CD8_Tcells	Endothelial	CAFs	Macrophages
Mix_1	0.324386860437635	0.457187816370028	0	0.00286897219831986	0.195769788894776	0.0197865620992412
Mix_2	0.380261833020645	0.452883032055999	0	0.00690507647285891	0.159950058450497	0
Mix_3	0.285308462417355	0.553738453442862	0	0	0.160953084139783	0
Mix_4	0.295193265257753	0.556904476706701	0	0	0.147902258035547	0
Mix_5	0.426696164631213	0.451908003087342	0	0	0.121395832281445	0
Mix_6	0.390803515347852	0.376088023351364	0	0.00111838879859601	0.20576262041795	0.0262274520842374
Mix_7	0.320052796095465	0.525016926056157	0	0	0.154930277848378	0
Mix_8	0.404042250123545	0.391991660888785	0	0	0.20396608898767	0
Mix_9	0.364809542707705	0.476363704759516	0	0	0.158826752532779	0
Mix_10	0.429910119989158	0.388799798915286	0	0	0.181290081095556	0
Mix_11	0.333095171997903	0.511972879175257	0	0	0.15493194882684	0
Mix_12	0.290135898012623	0.512888895301896	0	0	0.196975206685481	0
Mix_13	0.416483459061256	0.428931669294547	0	0	0.154584871644197	0
Mix_14	0.260027227148977	0.603095178321642	0	0	0.136877594529381	0
Mix_15	0.310458452224119	0.513736347951406	0	0	0.175805199824476	0
Mix_16	0.379452400966718	0.434406489765138	0	0	0.186141109268144	0
Mix_17	0.32353735546335	0.505243617902499	0	0	0.171219026634151	0
Mix_18	0.313764152117284	0.496918037634804	0	0	0.189317810247913	0
Mix_19	0.333046427887806	0.469738830832965	0	0	0.197214741279229	0
Mix_20	0.407817529805876	0.402123793497518	0	0	0.190058676696606	0
Mix_21	0.416269649147501	0.372860972339635	0	0	0.210869378512864	0
Mix_22	0.346884551391272	0.43671240275764	0	0	0.216403045851087	0
Mix_23	0.428236483074386	0.405078502652752	0	0.00628184835443411	0.160403165918428	0
Mix_24	0.271244597624406	0.51375538752724	0	0	0.215000014848354	0
Mix_25	0.397066035018365	0.455785310818759	0	0	0.147148654162876	0
Mix_26	0.354002563669775	0.474861799388399	0	0	0.171135636941826	0
Mix_27	0.435090567068506	0.353821633969525	0	0	0.211087798961969	0
Mix_28	0.375260816060244	0.426553528692641	0	0	0.198185655247115	0
Mix_29	0.38353081023034	0.447037587983567	0	0	0.169431601786094	0
Mix_30	0.312312992531582	0.556247283199206	0	0	0.131439724269212	0
Mix_31	0.378585724525222	0.445558553254837	0	0	0.175855722219942	0
Mix_32	0.332445028923038	0.463922239478084	0	0	0.203632731598878	0
