ID,naive_B_cell,memory_B_cell,CD14_positive_monocyte,CD16_positive_monocyte,CD56dim_natural_killer_cell,CD56bright_natural_killer_cell,neutrophil,CD4_positive_alpha_beta_T_cell,CD8_positive_alpha_beta_T_cell,macrophage_m0,macrophage_m1,macrophage_m2,MAST_cell,basophil,eosinophil,gamma_delta_T_cell,hematopoietic_progenitor,myeloid_dendritic_cell,plasma_cell,plasmacytoid_dendritic_cell
S10001,6.93582666667,6.07132,6.59178666667,7.08827941176,6.37232307692,5.099775,7.16947586207,6.72155,7.7377,5.46709166667,5.911425,6.41801818182,5.27416923077,6.96568421053,6.528325,6.61508181818,5.58506,5.9466,6.58296842105,5.46578571429
S10006,6.89817333333,5.90052,6.84225333333,6.90498823529,6.87515384615,5.4357,7.17038275862,6.91941666667,7.685075,5.33300833333,5.91540625,6.35016363636,5.3252,6.82095789474,6.38900833333,6.71248181818,5.9211,5.84225555556,6.48411578947,5.50808571429
S1001,6.62421333333,5.97432,7.1096,6.96702941176,7.09276153846,5.609575,7.21231034483,7.11303333333,8.0297,5.42636666667,5.74254375,6.46529090909,5.38150769231,6.69605263158,6.63361666667,6.73903636364,6.01552,5.91978888889,6.5308,5.38405142857
S10010,6.51112666667,5.96428,7.07402,7.12593235294,6.93971538462,5.65235,7.68845517241,6.5444,8.07915,5.38886666667,5.97556875,6.62929090909,5.31227692308,7.04425263158,6.76631666667,6.76598181818,5.77026666667,5.81603333333,6.50237894737,5.40286857143
S10011,6.86222666667,6.02152,6.95370666667,7.10517352941,6.58175384615,5.02945,7.17123103448,6.92641666667,7.94725,5.36919166667,6.00800625,6.50971818182,5.32114615385,6.79982631579,6.21303333333,6.68863636364,5.78055333333,5.97671111111,6.464,5.47851142857
S10014,6.79638666667,6.1739,6.68559333333,6.86615,6.93430769231,5.6362,7.10487586207,6.73631666667,7.63215,5.26873333333,5.82781875,6.45215454545,5.35398461538,6.90215789474,6.79596666667,6.58198181818,5.73065333333,5.91627777778,6.39394210526,5.42255428571
S10026,6.68697333333,5.88726,7.12194,6.85370294118,7.35609230769,5.7622,7.47347586207,7.3449,7.959625,5.58210833333,5.7225375,6.45424545455,5.2917,6.80310526316,6.58364166667,6.80322727273,6.06706,5.89188888889,6.37080526316,5.32408857143
S10032,6.95708,6.20722,7.29852666667,7.20143529412,7.15476923077,5.78125,7.27910689655,6.72363333333,7.728325,5.55228333333,6.015125,6.8025,5.21959230769,6.96705789474,6.4595,6.81220909091,6.01621333333,6.01144444444,6.57314210526,5.3638
S10036,6.48153333333,5.94332,6.73584666667,6.63419117647,6.89936153846,5.65855,7.15354482759,7.46513333333,7.5497,5.27893333333,5.816875,6.38419090909,5.34040769231,6.78404210526,6.69406666667,6.54497272727,6.03185333333,5.8482,6.31754736842,5.49912857143
S10042,6.86983333333,6.11346,7.05408,7.05807941176,7.17668461538,5.5413,7.49926896552,7.05881666667,7.989625,5.71639166667,5.9074,6.52238181818,5.36023846154,7.01373684211,6.50390833333,6.95138181818,6.08967333333,5.99552222222,6.60253684211,5.46276285714
S10044,6.86069333333,6.11646,7.02467333333,6.95821470588,7.27534615385,5.87785,7.58556551724,7.29013333333,8.274275,5.57074166667,5.866825,6.62668181818,5.36093846154,7.02222105263,6.92731666667,6.94489090909,6.15984,6.01154444444,6.65054736842,5.35653428571
S10049,7.02673333333,6.14222,7.00322666667,6.92196176471,7.25277692308,5.479925,7.17782758621,7.25398333333,8.37475,5.3034,5.65073125,6.45621818182,5.30660769231,6.99800526316,6.84671666667,6.88256363636,5.98992666667,6.05317777778,6.53973684211,5.32505714286
S10057,6.71018666667,6.16102,6.64533333333,6.84485882353,6.48318461538,5.3285,6.70689310345,6.84081666667,7.74325,5.581725,5.8150375,6.34852727273,5.32476923077,6.57841578947,5.90229166667,6.62984545455,5.88450666667,5.81225555556,6.26458421053,5.55256
S10062,6.90337333333,6.13668,7.12632,7.10391176471,7.05101538462,5.3319,7.29082758621,7.02548333333,8.29325,5.47714166667,5.87215625,6.69975454545,5.22182307692,6.96078421053,6.49109166667,6.92141818182,5.92548,5.94707777778,6.58199473684,5.43666
S10066,6.68606666667,5.93632,7.02910666667,7.07527647059,6.65282307692,5.064425,7.70631034483,6.76103333333,7.901025,5.69775833333,6.1429,6.64950909091,5.27908461538,7.09598421053,6.54638333333,6.73571818182,5.814,5.8993,6.63630526316,5.38626285714
S10067,6.95306,6.10998,6.8238,6.92446176471,7.29447692308,5.75275,6.98302758621,7.32676666667,8.35895,5.24695833333,5.60854375,6.48756363636,5.33391538462,6.73662631579,6.426075,6.73234545455,5.92539333333,6.02665555556,6.49145263158,5.35884285714
S1007,6.8569,6.09804,6.76227333333,6.97857941176,6.71980769231,5.5496,6.91221724138,6.89936666667,7.5841,5.34669166667,5.81365,6.4897,5.26211538462,6.90091052632,6.32771666667,6.81471818182,5.91274666667,5.91041111111,6.56882105263,5.53571428571
S10073,6.97982,6.02816,6.92516666667,7.00927058824,6.87433846154,5.4784,7.22294827586,7.3912,8.650725,5.26196666667,5.8502125,6.50938181818,5.15691538462,6.9422,6.485825,7.00070909091,5.89848,6.11078888889,6.56418421053,5.30729714286
S10077,6.99218,6.19632,6.63956,7.16755882353,6.63249230769,5.26695,7.05530689655,6.44903333333,7.857275,5.26290833333,5.93330625,6.60881818182,5.34462307692,7.01053684211,6.403125,6.7241,5.62912666667,6.08651111111,6.52473157895,5.50297428571
S10080,6.96773333333,6.24184,7.18466,7.22845,6.75402307692,5.38315,7.22513793103,6.81295,8.102675,5.42488333333,5.9507875,6.67235454545,5.49307692308,7.22289473684,6.61589166667,7.01025454545,5.82494666667,5.94466666667,6.61936842105,5.56528857143
S10082,7.0056,6.14666,6.89888666667,6.97648529412,6.93790769231,5.6177,7.34515172414,7.20731666667,8.530025,5.4989,5.80499375,6.59456363636,5.36692307692,6.90356315789,6.50338333333,7.02744545455,5.99862666667,6.00152222222,6.60353157895,5.38609142857
S10087,7.18412,6.24626,6.94997333333,6.99077647059,7.19926153846,5.4701,7.09113448276,7.07736666667,8.332225,5.43818333333,5.70000625,6.71487272727,5.29213076923,6.84524736842,6.69768333333,6.85889090909,5.87008666667,5.96935555556,6.53937368421,5.32117428571
