Gene,CD14,CD19B,CD4HelperT,CD4MemoryT,CD4NaiveT,CD4RegulatoryT,CD56NK,CD8CytotoxicT,CD8NaiveT
Mix_1,138.985602701,50.3400863009,312.984926406,174.8799083,167.164309902,160.3083298,105.691118303,241.238247803,155.234485201
Mix_2,80.0435368941,69.2755389367,334.886155355,174.870016963,186.092001678,175.6503067,98.8556123872,261.496361594,155.802573937
Mix_3,80.9595460554,41.4009711064,309.099014972,172.062859461,197.475220243,161.008482519,110.226114892,271.171066518,166.429786143
Mix_4,62.7811065618,44.9550364749,325.950901438,170.745788967,203.494134914,172.963965097,109.161153162,272.728117533,163.351868487
Mix_5,49.2478026762,84.1325069929,299.761306529,162.876319837,181.716491153,158.257439111,101.230468932,266.436487357,152.929519712
Mix_6,158.548528387,65.4663514667,295.325985514,175.929653267,156.149371628,152.933480686,99.7436653147,247.368373657,158.574051335
Mix_7,54.1862692545,52.6820899297,339.335691448,180.089659561,215.43787355,179.03315265,101.317221223,289.85893601,175.792004376
Mix_8,105.39898876,70.4712015521,357.806118649,192.32916313,199.24591517,186.480705241,87.7992950438,281.323499093,173.66117523
Mix_9,76.2236465784,63.4573293417,323.177726877,173.391815812,192.437331422,170.508651876,102.740437983,269.977807701,163.841335271
Mix_10,107.728351572,74.8249367493,299.354072927,174.657917444,175.527132601,158.360133562,95.5412309455,268.170979734,165.494941163
Mix_11,62.7632464904,56.2191089603,358.437315497,179.477831507,209.196423126,187.771391975,101.120963562,274.162646623,164.424155408
Mix_12,122.705747776,38.2437703408,317.037742966,172.731568858,181.66389592,161.691883123,108.505024046,258.98959061,158.722423167
Mix_13,68.8101083163,79.8602963953,320.900308595,174.34741175,196.269846071,169.365040322,96.391093033,281.450603375,169.25827522
Mix_14,43.859491696,37.947283148,323.752539904,170.162457609,217.714805734,175.347009719,112.222813879,283.476756155,168.779910382
Mix_15,70.4842355742,51.850935236,366.945080123,186.574732785,219.87294411,194.672664379,101.183856914,290.43775613,175.636481878
Mix_16,88.8098053955,64.5604971061,345.32417145,185.694367564,205.186454829,180.849513531,93.1163423458,286.272035544,175.341152307
Mix_17,67.3058427168,50.2039824948,355.888447118,186.982746316,220.716933094,188.228816381,99.8120184326,294.686541823,179.632738796
Mix_18,73.8100066054,50.0186256321,397.079149457,196.504126988,229.471706789,205.446749844,95.9663557848,291.969962835,178.084993339
Mix_19,127.798264746,47.4657544373,296.599185621,173.534189927,173.838335725,153.859758271,105.386520862,261.964582249,162.870077695
Mix_20,104.596247081,69.8471375526,327.380702385,180.581178049,184.99023895,170.954199755,93.8114937792,273.314196511,166.592718641
Mix_21,130.351966099,70.8863720483,329.017104276,186.063508152,182.80294651,173.162258913,91.4719718891,273.605181425,169.672576757
Mix_22,145.674469733,47.6472844991,308.416947152,180.981606352,176.42724599,158.470053656,102.928544492,257.668360107,164.17384783
Mix_23,74.1987531523,83.5242794881,343.722330423,180.340519033,192.909706734,180.887005461,93.7841213442,274.248040539,162.800067771
Mix_24,97.8756671697,34.7115675525,392.285048156,201.201911107,235.548368228,201.436624926,97.4062395189,301.007447541,188.214412465
Mix_25,49.96620078,75.2292910874,330.308106023,174.505716263,208.50449202,176.537643102,95.9165461682,288.885597584,173.513751973
Mix_26,64.7760202771,63.4679031813,359.296160296,185.60728023,221.532051384,187.860148544,96.4372986892,297.59663764,179.962997246
Mix_27,119.617861411,77.2922623316,327.566388879,192.925986509,200.448975038,172.067856274,83.2450320755,294.310561066,186.668547426
Mix_28,116.906709464,60.6688327009,327.308122431,179.292729234,183.049075964,169.464899632,98.7229248816,263.450228006,165.478572476
Mix_29,62.3456421718,71.1482804118,353.846921232,187.017790337,219.72150503,187.457922262,92.9061058114,301.279861995,180.167041441
Mix_30,47.4608491345,50.6598034261,303.377192481,164.73645224,203.724919392,163.883397759,109.249135975,280.82941164,166.520111598
Mix_31,82.0683842799,69.1194281197,340.28923514,182.568616044,202.205921922,179.263326909,93.7729962913,279.608015704,170.883446888
Mix_32,95.0059584024,51.4096604428,386.365113273,191.333016721,222.510975236,201.222393414,97.2329554241,293.623897627,180.575488668
Mix_33,97.7585491925,44.007586099,351.78019765,188.032413336,211.637958511,184.681282168,98.3195315072,284.8756756,174.952667875
Mix_34,143.78431663,70.0362650256,302.307406237,176.025382551,165.404796122,157.629009639,97.4276243822,251.534500784,160.17578291
Mix_35,62.5784706876,56.4241541695,330.852029387,170.207113386,197.010024542,175.139194124,106.578957872,268.546764354,159.796540584
Mix_36,75.3832657141,62.2904482275,326.523916038,176.068525706,196.952316341,171.874343685,100.038086487,279.118458042,168.962062988
Mix_37,84.3512056395,43.4000558021,304.327585656,167.239870209,189.82422525,160.556397659,110.523888191,268.784436513,165.896373175
Mix_38,110.666531143,39.8028278559,332.11934622,177.054474552,190.841012526,171.950012622,105.621945597,260.567064485,162.384759887
Mix_39,144.286117117,83.6808009914,339.527022335,190.63009736,177.934291589,173.966852278,87.1764366932,270.472132742,168.498219707
Mix_40,66.7877326082,57.5967602293,297.017214001,167.993468434,192.257635515,156.491623001,108.7685931,270.039521752,161.883660151
Mix_41,78.2542619743,51.7686784313,304.445462084,166.313431487,176.488335523,155.58353266,112.2631079,252.553451465,150.989409331
Mix_42,67.6485299756,63.5178389553,364.674557982,191.885269718,229.174349296,192.381855509,93.1775547985,308.041204068,190.034358985
Mix_43,104.805948495,70.0902385522,294.949081717,171.252516477,172.20713128,156.220694742,98.002637409,260.273707632,159.783693626
Mix_44,107.657308914,45.1307536714,317.375771109,170.342928006,174.406286475,163.647785747,108.987661143,248.718027293,153.482159387
Mix_45,101.753394425,50.7288329001,324.073073325,184.079693211,204.712451702,169.79372592,99.6150490016,288.540141937,179.71200892
Mix_46,90.124755221,71.0538218582,345.466065742,191.536389364,210.047843824,183.89828597,85.8435252798,302.288888826,189.322798907
Mix_47,123.901887288,60.1030310033,306.727286866,175.092999179,173.625153677,157.636122309,100.337724679,262.770556384,164.398696219
Mix_48,71.5588297526,63.4103087711,337.826156961,175.464818609,200.58530956,178.115145631,101.305046778,275.650472606,166.937679449
Mix_49,47.6997433538,41.1541658926,320.585789592,163.178480338,202.101618434,168.359627587,115.88437842,266.487974752,158.624233493
Mix_50,94.690397135,46.1498494872,357.925013491,195.75598931,224.303737742,191.091784083,94.2216327832,309.454780509,192.240256745
Mix_51,81.1943473417,64.7184354443,348.671851265,182.56656546,202.627378259,184.293170779,96.6460018318,279.768592716,170.860766601
Mix_52,83.0717003953,35.894629716,326.055867692,177.937668453,211.161897921,170.416041145,107.706142478,282.684117359,177.559361743
Mix_53,121.28440417,62.9928250125,329.164596046,185.805617759,191.106611002,169.960678051,93.2510493076,276.7157175,173.694589351
Mix_54,121.941746812,46.5893798505,275.387032496,159.720380842,152.34394246,142.969718696,117.280247569,227.260894665,140.562131179
Mix_55,75.5130591272,34.3773652241,309.261120441,168.642828347,195.405809914,157.559169317,116.919086177,266.188038983,161.884499681
Mix_56,110.446869198,51.3674341745,340.292037135,190.734306534,216.51442362,179.937505336,97.584353502,296.333632335,189.136820636
Mix_57,78.3744145114,31.2716441343,313.45170412,160.999566845,181.334177456,163.481078634,121.869801979,240.890460782,146.363242571
Mix_58,72.4575044339,53.2775767842,363.304639497,182.693654213,218.825538106,193.106998772,98.5635170513,293.171974797,176.881554936
Mix_59,73.7150724158,39.1183529986,290.898674852,159.418696262,182.649107371,152.159192797,121.731502518,254.82931335,152.88514313
Mix_60,46.436818557,85.3197025913,335.606733213,184.316002421,229.480579381,181.798024235,87.9702059298,322.301206397,192.214502379
Mix_61,92.9419446141,76.4467402395,294.592973998,172.278189619,170.685549187,156.101513323,99.8358024335,261.102021122,156.988841575
Mix_62,41.3348590837,79.3521698274,291.406273362,159.134724306,181.568524182,155.799243256,105.211114204,266.03151172,155.189531682
Mix_63,117.173767125,38.6594447515,292.774315183,162.493480646,162.835032906,148.91677891,114.889636475,232.639772991,146.99554751
Mix_64,143.673072172,67.9521095242,307.44779822,183.18671674,172.699779252,161.746304859,96.2080165568,263.917879685,168.845779003
Mix_65,120.298493894,66.9936013791,320.499758823,183.456762263,186.263103487,169.175603595,95.1193767804,273.898903667,170.532001842
Mix_66,51.299283646,63.957548443,329.793679418,172.552135901,203.336734214,174.362255191,100.650174993,279.072628328,166.530975198
Mix_67,116.734681597,91.8199493962,309.743577505,176.140923308,162.257429609,160.878524797,93.1799651081,256.627408471,155.627353027
Mix_68,99.7724359479,53.9475525971,351.819473184,189.956457835,216.8284463,187.024968191,93.7669536864,298.258714357,185.29457501
Mix_69,72.0816111074,80.9824809896,307.75743784,174.570240168,188.616121559,163.182614715,97.309317483,279.185473983,166.561172264
Mix_70,86.9321534875,52.6362388654,360.930697235,193.237196382,219.395514074,188.467728691,95.8072969913,300.746898647,183.427827284
Mix_71,76.2149232971,53.9539581379,301.117919765,168.259099892,191.640872714,158.102857835,108.149321013,277.563714978,165.776079764
