Gene,CD14,CD19B,CD4HelperT,CD4MemoryT,CD4NaiveT,CD4RegulatoryT,CD56NK,CD8CytotoxicT,CD8NaiveT
mix_1,323.761021675,321.109005384,917.287034545,353.030486808,227.989417898,282.141411502,611.541102661,491.174599711,470.333640431
mix_2,325.273475513,324.353937585,940.287028911,368.849275043,242.616088462,275.976944148,616.30142521,468.699736794,476.619318772
mix_3,379.304176382,331.581338589,973.18915301,316.072177649,248.351389494,274.869435511,597.13773848,484.21536515,538.480376668
mix_4,279.583032926,316.231859692,926.138320321,341.253208239,237.314108606,291.040705831,610.20649395,508.855322976,469.921585487
mix_5,316.738094916,318.916910507,940.050617227,315.381511161,238.639969266,280.22977325,593.814842849,506.359604003,502.308197665
mix_6,288.839845064,310.296876853,932.44163213,348.778206492,236.650701052,288.363715075,608.07200517,508.04571501,476.348886316
mix_7,341.709280296,322.018061664,945.718897531,313.843615931,243.777851848,278.890671668,590.541180984,503.843481301,520.372725706
mix_8,348.269086624,317.135425121,937.545189828,337.57847009,240.976575449,275.906818674,591.475900991,492.543998369,518.842840098
mix_9,260.232954985,313.247063041,926.538391428,358.854011041,236.046551496,298.495457967,609.12242326,513.094000901,444.875063318
mix_10,318.205458325,343.456055116,958.126549563,343.890176809,236.914791112,277.143368689,618.125977848,475.350381175,470.656764832
mix_11,296.939189963,341.280562545,934.556940205,365.035232239,229.09982402,286.227250744,641.093262491,475.74344577,430.589266806
mix_12,316.747882825,316.346529304,931.259714652,332.098342535,240.584234733,285.739736314,596.413828762,514.502806906,502.531473567
mix_13,300.694011013,309.969113285,926.468034472,387.354582437,250.186427533,295.71086987,617.421088895,499.031710142,473.150372891
mix_14,280.853725847,341.198843778,942.138567054,354.379828986,230.061737138,291.172426308,630.840461646,488.66294355,434.594046423
mix_15,323.007959802,309.031691295,944.252319534,342.739218754,241.151139678,282.838753351,598.970381385,501.396694027,509.516897094
mix_16,374.792869857,315.825389292,973.126346073,323.612906876,253.020719067,272.727083554,585.239171227,486.848692691,559.993474651
mix_17,375.180966867,311.911794285,959.388336926,326.683111005,253.794094983,278.155506945,595.074372134,491.029562658,555.343971411
mix_18,325.837633553,343.504476018,960.848310862,379.366139879,239.212291812,287.226382562,627.236288057,475.413538481,465.758633676
