Gene,naive_B_cell,memory_B_cell,CD14_positive_monocyte,CD16_positive_monocyte,CD56dim_natural_killer_cell,CD56bright_natural_killer_cell,neutrophil,CD4_positive_alpha_beta_T_cell,CD8_positive_alpha_beta_T_cell,macrophage_m0,macrophage_m1,macrophage_m2,MAST_cell,basophil,eosinophil,gamma_delta_T_cell,hematopoietic_progenitor,myeloid_dendritic_cell,plasma_cell,plasmacytoid_dendritic_cell
mix_1,1087.09533148,186.1255561,301.680234939,462.579145231,1101.68696829,553.658036191,188.870131371,882.339164182,1913.02594412,609.33453091,679.534205723,639.676609858,247.107678628,882.635755299,651.300590159,1387.40783068,748.399750089,385.800506757,785.506651199,159.294484838
mix_2,1124.75638968,174.700824866,249.20167727,434.948989784,1030.46905077,402.483156248,183.117756196,672.426044665,1312.57384006,520.922754804,639.517728579,543.64857167,308.337255166,913.506608125,600.457361959,1125.68787056,832.181148522,397.054740003,1001.30552012,157.242712875
mix_3,1026.25824567,245.862465435,371.782443176,457.735604916,909.350864673,288.730220631,200.858851947,438.186753879,759.130172077,739.006824359,835.738868529,602.865206242,341.326982429,946.020736824,598.29524777,960.081224917,956.499416868,389.645628292,812.063496852,243.340361385
mix_4,1149.54394165,210.57966106,298.809910015,402.946178212,1107.87436968,388.228370683,173.84308901,1210.8195127,1826.7496555,393.620331043,525.78801752,554.031778114,258.361870041,904.120461032,648.993362393,1559.23364497,760.406554877,299.657690716,867.549776706,186.312494423
mix_5,1075.27994213,258.405383109,359.215344401,412.161086768,1034.56127002,369.726463104,171.77327777,857.478936111,1522.56674903,513.853983488,649.403495677,551.197304051,305.079701368,934.01330457,614.911607576,1329.67647106,864.067559995,313.729918746,858.074690374,231.988205297
mix_6,1146.78789611,226.552035313,310.781901638,402.933667024,1095.00313713,428.732388492,179.786712621,1129.20618689,1871.92458049,426.38329469,554.758769228,545.534531627,252.446452689,857.468978259,643.601575736,1525.28055272,786.989215195,306.397940498,873.941232956,190.794078395
mix_7,1050.09800776,265.399389708,361.73830536,409.895200024,1003.45112809,343.051531827,171.052195861,629.425444647,1202.6046133,595.760795773,725.052149589,541.996138809,338.85260136,979.841029609,588.98264563,1168.27452638,918.247731971,332.928083343,836.231810383,251.567124128
mix_8,1066.62766419,218.962897329,310.887297939,427.166620847,987.343091372,401.499210554,174.131326306,641.974743561,1348.42584393,585.685446505,727.920325549,537.3098302,314.98951208,936.772213018,604.892188105,1183.6319762,889.060227465,363.881214475,812.507991428,226.165138867
mix_9,1170.97670676,211.669082071,293.339341616,402.284635477,1159.00481807,498.471445487,185.360427493,1350.19414385,2183.96953878,366.633867108,489.896237562,574.121937902,205.68008784,849.818853577,652.396329983,1689.44609422,697.306317271,309.085270154,903.143085375,154.384374163
mix_10,1111.09391559,200.539101627,324.505109464,464.498127668,1009.42360615,284.915877158,218.004427066,1010.65717149,1239.59427586,577.597363631,648.353515821,663.990787297,275.531854082,906.071613417,612.4482265,1331.75159793,791.820308043,392.477320605,926.978499739,163.72625965
mix_11,1153.33794568,154.373688509,253.593939579,479.741969122,1153.09562933,564.546682924,201.946727491,994.188754616,1879.7125583,529.260833842,589.387657665,664.559301952,224.137214131,879.388312711,633.670142242,1398.81715497,676.923081338,421.269454989,1017.33283713,97.6555958427
mix_12,1083.48887507,236.878153494,354.914143694,418.267658913,1029.88905395,359.322674098,182.168689892,1019.98121256,1637.71092887,525.432206691,652.417510894,566.589799483,298.24440347,905.404405746,621.23795818,1479.18494585,839.648484451,319.882772568,719.693957207,227.035250013
mix_13,1126.89983311,164.406386066,271.837766568,449.913517896,979.851198137,355.563541801,219.848404575,1282.33202172,1656.64957001,485.802212339,608.749644439,635.472319856,235.72303948,826.699124351,662.218520773,1569.82728812,752.946622678,377.215303458,808.692471049,142.165503266
mix_14,1165.64739337,182.461916699,294.115677937,459.512463628,1117.63196511,421.802052659,215.702452353,1307.87757897,1868.31369783,475.056903927,554.390961679,680.861812268,213.585203384,868.142518499,649.941495065,1628.68390579,680.545370971,362.124639824,914.99235384,130.848546558
mix_15,1090.9297817,226.152431599,323.245425436,421.943767168,1019.54595625,389.537256893,182.209609866,819.203544333,1486.86962102,543.133024291,690.83578451,538.469602873,286.281094409,881.767028745,630.671505817,1318.45999555,867.484315257,337.568296751,863.17200911,213.297746101
mix_16,1048.70988015,278.741029262,366.804399125,433.317337991,874.073266465,238.038603849,194.598012053,387.996937651,690.960973359,678.000203377,819.87613491,504.032748673,334.286350415,905.302076418,589.873924419,884.397586042,1019.36530417,358.048842287,964.777524429,275.938084265
mix_17,1042.8974869,255.570194867,360.588387588,427.615312224,863.389266463,212.181210925,193.821168659,494.105970232,692.381873328,647.291435959,799.037021693,497.623667999,352.887129505,920.870675605,588.644506002,941.326466458,994.512471642,365.576916783,867.381614275,269.292518979
mix_18,1114.98587899,158.155495013,278.022710453,482.128768641,964.00726563,232.226685022,239.523391009,1093.52547882,1099.37880948,592.153118838,654.939775851,691.075067773,258.21058719,889.797718334,614.122303311,1359.53857603,763.182737913,425.608730273,866.6283756,123.113666529
mix_19,1014.22252202,231.102808756,363.499606878,466.948472278,899.133212078,303.136503171,199.575004765,514.807204621,876.590954357,749.507064882,855.300876245,610.967439227,337.24791565,930.523013565,601.174734264,1003.68836675,944.452435492,407.777396198,740.612423398,241.117391983
mix_20,1164.45346126,172.501625463,258.413079747,433.96289373,1047.49974004,402.196109922,197.962577112,1102.40168681,1708.0585131,438.995829653,572.330169317,552.739213942,221.931319657,812.551369167,641.057015961,1452.95114427,760.814765666,350.71394194,999.738629409,139.707363908
mix_21,1063.14454556,249.678417181,357.526794082,430.94587728,903.010774844,213.55308576,207.124927668,833.284922098,1035.57979764,610.739479837,735.350606888,549.584193731,301.97658516,875.412106146,606.014878448,1266.01210777,927.460187514,350.990674141,762.70730957,241.225593267
mix_22,1104.86997565,196.304114261,320.724183416,446.262358086,1111.08563861,484.27063676,191.656240926,1111.46128319,1871.95595438,535.564887133,613.653016283,680.755857079,256.006551224,948.412200573,600.047609199,1530.11690299,712.861835142,366.105849013,777.442469105,159.328941218
mix_23,1166.7132849,154.940211415,260.658033595,458.880291319,1099.53326963,475.918103255,205.115465066,1181.92328273,1832.94496471,492.099928854,581.206580453,643.572703378,210.985379022,831.759290069,649.82391304,1531.88533887,695.124800887,398.17517929,930.390729152,111.743481011
mix_24,1082.04043172,255.816224316,345.431328151,411.306888535,993.710483983,325.748704644,182.083226137,932.35435189,1472.87262982,507.409199739,653.264345946,519.642176473,281.986760005,878.061537394,614.21495189,1359.5554274,883.345526944,314.958846777,842.226176329,235.72713912
mix_25,1173.32004424,178.305706627,260.176965899,422.339560392,1115.92211635,450.891225071,193.710910999,1331.36100301,1977.77852489,386.58662132,516.535691678,586.601940816,190.258791091,819.727842417,658.76763775,1648.16898657,720.643742841,318.160078604,948.557077921,137.25695251
mix_26,1044.85979692,229.598229213,361.375517668,462.066301048,890.074084942,220.921109278,222.151644577,774.03783312,884.753771168,690.718513085,789.473668435,622.361132628,309.365480203,885.977928058,596.109996235,1192.00351079,930.3617603,387.551172161,731.214286178,232.593629768
mix_27,1137.03374521,174.51996828,274.774757267,445.754703752,1143.98917958,512.12248341,186.749095488,1076.19950469,1964.44140014,502.019939437,577.912123878,629.088282795,213.759135621,839.857808829,659.095115311,1492.5411555,716.200481849,368.673934514,917.893843667,136.77398416
mix_28,1132.40831573,210.806642785,297.114853867,412.422084378,1069.55684439,382.243198177,185.548154302,1070.64136821,1681.17511061,465.139350373,601.006222795,550.829083871,250.791730395,859.4126665,634.554251045,1478.36660782,802.38240421,326.344303769,918.488738894,185.217161792
mix_29,1109.71827236,173.747834441,277.041740344,449.245110267,1109.64480157,510.562960005,185.539001159,937.276858627,1810.43928466,557.355799558,632.00420367,620.941452912,262.321774485,928.722075096,621.837295424,1387.27201018,735.706101068,386.287564712,852.289443165,144.766909809
mix_30,1145.22159716,202.909535474,295.15190417,418.677920402,1088.9608785,415.642092389,192.702910036,1269.33741672,1881.08838074,431.57131442,552.70305605,587.925137745,245.473904618,856.686456231,639.720616157,1606.1034085,747.816350494,315.180990565,864.829172966,162.729312792
mix_31,1119.98930728,177.038100322,304.063079162,450.414946696,1047.5502048,375.080770545,203.592192359,1090.9237377,1565.86749511,551.362328012,635.50274412,640.733465401,271.498148898,898.038409691,621.069291809,1455.72478172,766.057219918,363.657627861,801.818236543,158.063975797
mix_32,1177.96778481,178.674290428,288.99704903,465.036216924,1145.26072473,440.658521091,223.383870446,1379.2005334,1947.22981317,485.276109589,522.880846206,725.20096308,226.462793861,904.566615572,624.646118364,1657.34766452,630.32733936,379.189102572,895.950698692,104.807518577
mix_33,1108.4866414,193.688560963,329.504801101,476.738872881,991.491233247,308.52124014,232.541666048,1093.01320132,1376.7524991,618.632562032,713.883274077,697.542526611,241.669093958,821.075320009,625.87681005,1465.53494723,787.944561395,387.704486647,778.992613318,167.880738444
mix_34,1038.78175892,174.456294227,307.607052219,479.325131517,914.796018403,216.924061941,222.600752021,614.932318081,713.165785899,727.297319502,785.464322339,653.505997797,347.003101392,989.17444934,601.781141518,1033.3981169,861.358702339,434.789371988,830.9958768,183.618916742
mix_35,1103.73352175,221.479786701,325.008432884,416.060713787,1076.10200702,398.988675094,188.686234122,1082.19922002,1744.02917423,490.3263553,604.617128928,592.766914446,296.185634222,937.8830373,620.609600382,1503.27677308,774.714814127,331.386791955,750.895870456,191.099742684
mix_36,1079.50639343,231.641604091,352.064641206,438.151436051,1040.17171049,376.91467755,197.58026807,923.886027657,1513.61800701,559.640165067,658.162045691,611.609995841,295.505782801,954.781688019,624.04494192,1370.52345843,801.390895442,349.910429073,812.538495989,200.074257221
mix_37,1037.44454505,248.967551323,359.770398262,432.977753762,930.708268586,268.114582142,190.844369884,610.662428547,1028.16185901,642.556021045,774.828108105,537.692404492,330.89506048,911.00090682,607.597755576,1119.08219993,953.656406947,366.225944467,805.459838764,253.548663701
mix_38,1046.87050357,246.650122817,357.304754882,437.865157292,976.757968369,369.680171741,189.655294138,649.783438465,1243.09846525,652.612241045,762.649436582,572.311398725,292.267837839,890.84744386,608.233893893,1186.59719514,909.251250978,364.620476713,836.48310672,234.864806519
mix_39,1133.86689118,197.231878995,290.253398404,410.33296315,1075.95651556,417.346219884,183.580372518,1033.16746386,1710.32219466,439.948059669,583.384651329,546.226705153,268.747483794,905.349299933,628.052293535,1449.0361494,778.856939964,323.463157762,910.251948016,174.475648775
mix_40,1087.0337098,209.791507619,362.525599601,437.66649674,1049.63856563,339.753174899,207.418722881,1042.1051537,1511.88675304,566.462248782,653.068876802,653.141372973,288.01256851,942.168815878,609.714194377,1468.74216121,788.342530319,356.895608806,734.03902467,196.159750955
mix_41,1058.21196415,225.208179437,348.778229868,476.106971784,931.10115566,246.433492577,211.895831958,724.361549794,921.861357322,706.436172819,779.149386131,656.3091336,294.099561636,908.373999384,611.922019628,1167.11396859,900.359192948,402.992777905,794.947538198,208.191876412
mix_42,1195.44420152,171.522935691,249.448680836,429.358671139,1090.2026315,320.993125412,217.941970158,1456.91193189,1662.70150969,343.62284086,445.405923634,625.12114594,258.285101006,937.912635378,637.888980459,1625.82909113,656.538926759,347.464433596,974.906316823,100.358340119
mix_43,1066.25702133,234.129426614,336.547643795,467.000636858,930.527834031,233.924026203,220.598826621,825.977153484,927.32046259,648.230514366,733.84041902,647.51586299,292.070246515,907.445026303,609.306291358,1204.74240056,875.563751384,405.883778708,877.115243228,187.848548415
mix_44,1166.1651604,165.397629115,236.033337899,461.566283397,1082.63494789,439.829250919,209.118974613,1019.70147768,1703.46154071,502.994415158,586.240396396,612.068498318,210.728213908,852.46884672,619.343984833,1414.13831874,716.890262795,379.604345193,1024.44505782,111.959554877
mix_45,1095.57577257,227.015632474,313.907683853,404.233817617,1047.59396112,379.911171985,166.480001507,836.958197959,1529.43883424,514.679566361,614.538836333,555.403196791,331.113478096,1013.71698273,618.802138623,1315.077679,817.73320528,337.990177368,870.94001178,203.254157066
mix_46,1054.30192434,218.94360273,360.081490065,480.17424151,965.325471358,316.258342346,214.802531181,864.343218393,1242.49646787,720.61017647,790.422271841,685.592826614,272.086170767,903.425586677,605.48726873,1314.54303236,836.240608903,393.834750977,732.495779593,195.24287158
mix_47,1030.13493451,271.352208028,357.366223578,451.609215805,755.97119248,192.690530393,201.783883382,133.365209827,263.906047029,766.770381585,901.167562739,477.070544038,353.336835123,887.340997526,575.628786064,629.999949534,1096.11339138,429.138817082,925.455872428,286.877194327
mix_48,1139.46947718,160.0693329,270.729340554,472.886418834,1029.71424878,292.950753287,224.01728629,1179.69645584,1348.18108645,537.692867304,592.611194419,682.779315065,262.512085485,914.014026893,624.237624849,1456.61080232,735.251668105,390.516624891,951.08389436,122.261510666
mix_49,1092.63097004,166.967707761,366.313470783,493.977107438,1114.7748952,491.842781128,220.273011303,1041.69370602,1708.36677668,675.121930555,650.479237319,793.721426794,273.607465669,987.757520708,629.302352133,1417.12405512,672.192463648,421.99967568,765.032544057,138.85100128
mix_50,1121.36539623,207.587230479,290.610132366,412.994923899,1086.42589337,414.820973203,182.087869393,1102.89671459,1805.60941654,452.113783275,565.431988582,559.827708604,292.506623167,965.53622325,624.408772061,1494.83727634,769.289189848,311.423831731,820.820547403,178.92464334
mix_51,1046.93977592,252.923236296,369.52488159,451.860652781,879.164714013,195.262974096,207.39526682,627.338369602,709.251774178,691.720595516,800.984749481,590.207212661,327.615290209,919.745657956,594.139519076,1055.97842692,962.547978942,391.799573281,820.133036714,242.387021587
mix_52,1058.10074518,223.704078752,337.068789955,458.808903575,932.271232754,264.456550075,207.831963497,728.688374498,966.804094072,673.42524525,767.794787385,636.677810099,299.201333974,913.344871264,592.107055036,1165.50564966,903.636983602,404.031095307,841.605846297,203.215679219
mix_53,1113.91202914,175.917466804,282.158765101,486.100344686,991.730485707,280.764276358,216.172995757,702.410603661,968.199790466,614.511060287,679.463668153,629.477823733,264.642222948,906.612407092,601.080001005,1108.06666814,793.104403069,413.872961712,1097.74156796,142.744849901
mix_54,1112.07027968,217.898256008,328.87537624,438.373771098,1032.68309084,337.118687446,202.408939012,1048.38503261,1515.23883438,526.888429983,642.195985601,599.250695277,245.594890969,849.491701935,628.573205626,1456.78010072,824.510585458,348.057341268,880.688307796,187.422666434
mix_55,1085.34934267,196.724537178,324.501364914,449.512791001,916.16153137,237.966421279,216.5236663,1001.18523509,1121.37245,602.171435396,711.130090552,618.936394574,279.520113243,865.99180576,613.319857724,1339.71997125,865.183025465,374.003723432,755.176502164,194.322663537
