	B Cells	CD4 T Cells	CD8 T Cells	Endothelial	Fibroblasts	Macrophages	Mast Cell	Other
mix_1	0.0	0.336643554422	0.471278147117	0	0	0	0	0
mix_2	0.0	0.787219596981	0.0917025598294	0	0	0	0	0
mix_3	0.0	0.573691497957	0.240472801567	0	0	0	0	0
mix_4	0.0	0.812893374828	0.106088506822	0	0	0	0	0
mix_5	0.0	0.38567695008	0.436381409797	0	0	0	0	0
mix_6	0.0	0.68580945408	0.209729824395	0	0	0	0	0
mix_7	0.0	0.807619067087	0.0623004264641	0	0	0	0	0
mix_8	0.0	0.680970137614	0.192466275199	0	0	0	0	0
mix_9	0.0	0.73987716655	0.225660548624	0	0	0	0	0
mix_10	0.0	0.624368261982	0.242062621398	0	0	0	0	0
mix_11	0.0	0.495641860541	0.34027171556	0	0	0	0	0
mix_12	0.0	0.642074525589	0.226481863593	0	0	0	0	0
mix_13	0.0	0.73084762863	0.220075680403	0	0	0	0	0
mix_14	0.0	0.661382298005	0.250427714909	0	0	0	0	0
mix_15	0.0	0.812372840459	0.102999367536	0	0	0	0	0
mix_16	0.0	0.543411213757	0.337010258427	0	0	0	0	0
mix_17	0.0	0.788860919372	0.12611606142	0	0	0	0	0
mix_18	0.0	0.825718123998	0.083135874344	0	0	0	0	0
mix_19	0.0	0.540330358502	0.285349678835	0	0	0	0	0
mix_20	0.0	0.851772977401	0.0711687646312	0	0	0	0	0
mix_21	0.0	0.860138060588	0.0647325676842	0	0	0	0	0
mix_22	0.0	0.421680767415	0.418505935565	0	0	0	0	0
mix_23	0.0	0.689199198174	0.224513814389	0	0	0	0	0
mix_24	0.0	0.823696330264	0.101025543114	0	0	0	0	0
mix_25	0.0	0.851511320848	0.0541005366496	0	0	0	0	0
mix_26	0.0	0.856603677955	0.0310894820886	0	0	0	0	0
mix_27	0.0	0.638866666983	0.235018484133	0	0	0	0	0
mix_28	0.0	0.661832322633	0.246481881537	0	0	0	0	0
mix_29	0.0	0.539686701218	0.313851962372	0	0	0	0	0
mix_30	0.0	0.733579144127	0.219212803359	0	0	0	0	0
mix_31	0.0	0.639085862774	0.233040129722	0	0	0	0	0
mix_32	0.0	0.671247040565	0.236860620997	0	0	0	0	0
mix_33	0.0	0.666222585407	0.214335218437	0	0	0	0	0
mix_34	0.0	0.633792588266	0.204961249855	0	0	0	0	0
mix_35	0.0	0.643075082555	0.245251399027	0	0	0	0	0
mix_36	0.0	0.566620946575	0.281265589516	0	0	0	0	0
mix_37	0.0	0.755603480637	0.139235651359	0	0	0	0	0
mix_38	0.0	0.81751200562	0.0373575173196	0	0	0	0	0
mix_39	0.0	0.66528374676	0.217081291597	0	0	0	0	0
mix_40	0.0	0.650759072634	0.22018710555	0	0	0	0	0
mix_41	0.0	0.594261123338	0.274810794502	0	0	0	0	0
mix_42	0.0	0.915085491293	0.0136990844838	0	0	0	0	0
mix_43	0.0	0.636110769765	0.21460452537	0	0	0	0	0
mix_44	0.0	0.63690232935	0.229399304151	0	0	0	0	0
mix_45	0.0	0.458452460262	0.376366986694	0	0	0	0	0
mix_46	0.0	0.516390773744	0.326194332588	0	0	0	0	0
mix_47	0.0	0.267787297618	0.520038105323	0	0	0	0	0
mix_48	0.0	0.673720176585	0.21064388224	0	0	0	0	0
mix_49	0.0	0.384697208702	0.395700031852	0	0	0	0	0
mix_50	0.0	0.642650638373	0.288705460626	0	0	0	0	0
mix_51	0.0	0.845423572754	0.0406740961212	0	0	0	0	0
mix_52	0.0	0.575095677629	0.27423228351	0	0	0	0	0
mix_53	0.0	0.8574582408	0.0	0	0	0	0	0
mix_54	0.0	0.646769138615	0.228405160786	0	0	0	0	0
mix_55	0.0	0.77203319533	0.143595192355	0	0	0	0	0
mix_56	0.0	0.682978232438	0.238989104289	0	0	0	0	0
mix_57	0.0	0.720169743578	0.220108232192	0	0	0	0	0
