	B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells	Other
A	2.89015450923	4.19890434342	2.38635572671	3.60267634816	2.62179642558	2.54163267883	0
B	3.01574634708	4.24376735392	2.48668197738	3.95270752375	2.76063032096	2.65669126675	0
C	2.60209976341	0.494734103341	2.37347039976	0.0	3.81558296307	3.39438355483	0
D	2.4898633717	0.337662661314	2.29951027319	0.0	3.71368218567	3.29072678643	0
E	2.37557223804	1.45379445455	2.79996959396	0.0	3.20782468408	3.15533641389	0
F	1.6082746242	2.31019724253	3.59381095755	1.01458159238	1.75951052361	2.12216083873	0
G	2.22253527189	5.39153085943	1.6248850238	10.7858482084	1.45607765337	1.47783386443	0
H	2.60554118958	6.3590412779	1.34723923157	7.29442116086	1.87552657214	1.80644975405	0
I	2.65975983538	6.36876200583	1.29690186277	7.11097760574	1.94725810526	1.84308202385	0
J	2.93839794015	0.0	2.31130754397	0.0	4.41376068526	3.8633293533	0
K	2.66008999392	0.0	2.96684230995	0.0	3.88285629926	3.77298238815	0
L	2.56393163326	0.532200077053	2.19474671416	0.0	3.80691079247	3.41019722373	0
