	B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells	Other
A	0.489331641541	0.5541200275	0.480390457167	0.502665621014	0.443976432777	0.457503069855	4.57380233492
B	0.494395846413	0.558104523243	0.488066346224	0.507577629955	0.449085493989	0.46236980065	4.59508516754
C	0.493859409569	0.359138063861	0.519525515892	0.267821577278	0.557452197963	0.531180023233	4.39335112292
D	0.504078174096	0.365808769215	0.526027851023	0.269889528136	0.563451690402	0.537804742668	4.46736500772
E	0.481000185198	0.419686985515	0.544048656684	0.349837085931	0.517776414835	0.533606270914	4.51302516497
F	0.480918081822	0.49051214219	0.613154179223	0.451910467333	0.469645227921	0.512075975872	4.66699807093
G	0.433258789199	0.624545323956	0.393191086249	0.701780769152	0.359776642164	0.369564531836	4.36155545286
H	0.474782778379	0.720420101419	0.419647393443	0.637157300063	0.390662290086	0.390839357024	4.96880983474
I	0.467738183367	0.715499123194	0.411524608722	0.63152419025	0.38309124869	0.383956902224	4.84879047494
J	0.526305152116	0.309735616633	0.528264779498	0.205706634855	0.597421306239	0.553387805389	4.53311981411
K	0.537832451804	0.323417547901	0.60008589601	0.224434617379	0.596631769291	0.5975342771	4.80642530748
L	0.513474239859	0.376775939963	0.549222031116	0.281545281381	0.595512809404	0.554752778769	4.86241976983
