	B Cells	CD4 T Cells	NK Cells	Monocytes	CD8 T Cells	Other
Mix_1	5.21195668177e-05	4.91746369116e-05	7.33623594051e-05	0.000111437813188	6.27469450313e-05	0.000734663509831
Mix_2	4.39138272347e-05	3.33644269444e-05	2.72021169902e-05	2.51196620633e-05	3.10923991943e-05	0.000291075471902
Mix_3	0.0	9.91656175817e-06	2.16333038626e-05	0.0	1.9117171993e-05	2.90700496293e-05
Mix_4	0.0	1.82159950991e-05	2.33943136115e-05	0.0	2.25489878603e-05	6.16554828771e-05
Mix_5	7.87982459019e-06	0.0	0.0	0.0	0.0	0.0
Mix_6	4.55775451899e-05	1.94676492783e-05	3.34780973702e-05	9.60764089478e-05	3.20524908935e-05	0.000506738506873
Mix_7	0.0	1.02672465589e-05	0.0	0.0	4.2599346623e-06	2.61990146516e-05
Mix_8	4.43849102962e-05	3.04069488469e-05	0.0	2.94218322921e-05	1.56798484672e-05	0.000291901711995
Mix_9	1.84482103013e-05	1.59849618613e-05	1.27981884651e-05	0.0	1.70445695688e-05	8.53719229005e-05
Mix_10	1.73058322176e-05	0.0	0.0	3.16469020257e-06	0.0	2.99858361824e-05
Mix_11	2.92120374741e-05	3.78571008539e-05	2.5137067276e-05	0.0	3.10121434482e-05	0.000206731449743
Mix_12	2.60257703787e-05	4.39329145052e-05	6.22310567575e-05	6.3501664404e-05	5.50670868996e-05	0.000516865444456
Mix_13	1.00699259812e-05	0.0	0.0	0.0	0.0	0.0
Mix_14	0.0	1.0184779966e-05	1.15771715229e-05	0.0	1.31218064141e-05	2.16844107597e-05
Mix_15	2.02885329267e-05	3.64078851226e-05	1.2347541146e-05	0.0	2.55985505717e-05	0.000193320109665
Mix_16	2.18655660457e-05	1.74282994871e-05	0.0	0.0	7.93577573216e-06	0.000106085194386
Mix_17	8.17848044939e-06	2.03034780493e-05	0.0	0.0	1.1910200613e-05	7.96685354817e-05
Mix_18	3.76643078327e-05	5.31574301424e-05	1.68602954607e-05	1.45691835556e-05	3.49015584438e-05	0.000352604241445
Mix_19	1.46666255184e-05	1.80999740268e-05	3.35219617713e-05	4.16302599382e-05	3.08013630459e-05	0.000287435947497
Mix_20	3.18196403249e-05	1.5379492718e-05	0.0	1.98972263466e-05	1.1524742054e-05	0.000174088174141
Mix_21	3.81102298152e-05	1.7583091849e-05	0.0	4.24480948212e-05	1.35145992484e-05	0.000281385760704
Mix_22	2.883410026e-05	2.71113087869e-05	3.70698487359e-05	7.08331264718e-05	3.65826484241e-05	0.000454290839302
Mix_23	3.79280458126e-05	1.62119883488e-05	0.0	1.07274504956e-07	7.85038534805e-06	0.000102913590503
Mix_24	1.95682563206e-05	4.73048427819e-05	9.62327434204e-06	1.16525783701e-05	3.05533588907e-05	0.000320794428584
Mix_25	4.87083184338e-06	0.0	0.0	0.0	0.0	1.69433911711e-06
Mix_26	1.07725121605e-05	1.52330671985e-05	0.0	0.0	3.49907607975e-06	6.17275658846e-05
Mix_27	1.47567592783e-05	0.0	0.0	0.0	0.0	5.22154199453e-05
Mix_28	3.82002951605e-05	2.90632815e-05	2.25817176737e-05	4.88028794024e-05	2.94485886902e-05	0.00036815557069
Mix_29	1.00962098526e-05	6.94303380616e-06	0.0	0.0	0.0	2.57271093016e-05
Mix_30	0.0	0.0	0.0	0.0	0.0	0.0
Mix_31	2.16223458521e-05	1.62283952309e-05	0.0	0.0	8.69446605059e-06	8.84304540146e-05
Mix_32	3.68392726917e-05	4.60937018853e-05	9.06052454772e-06	2.17257955641e-05	2.89411812788e-05	0.00034547738844
Mix_33	2.09876394596e-05	3.71414580895e-05	1.65687192466e-05	1.5284485268e-05	2.96777577668e-05	0.000277143546609
Mix_34	3.80159364142e-05	1.30265368116e-05	1.69439404748e-05	6.64378153819e-05	2.08615996839e-05	0.000347052546436
Mix_35	1.77293675015e-05	2.72612822655e-05	3.06225735738e-05	0.0	2.96838824798e-05	0.000144221724152
Mix_36	1.19503173984e-05	1.07728731054e-05	0.0	0.0	8.76753028265e-06	4.35703745195e-05
Mix_37	0.0	9.92118361762e-06	2.62992492949e-05	0.0	2.10112476805e-05	3.6505368184e-05
Mix_38	3.03603328423e-05	4.9901377817e-05	5.67683655801e-05	5.63220559129e-05	5.43660484412e-05	0.000517813647984
