	B Cells	CD4 T Cells	CD8 T Cells	Endothelial	Fibroblasts	Macrophages	Mast Cell	Other
mix_1	0.0	0.0	0.000252475465334	0.0	0.0	0.000277943297781	0	0.0
mix_2	0.000430013186578	6.34091493401e-05	4.45411640002e-05	0.0	0.00264425557683	0.0	0	0.00388990732844
mix_3	0.0	0.0	0.0	0.0181965726723	0.0177792481894	0.00178807108122	0	0.0957920189103
mix_4	0.00143676378449	0.00211816350323	0.00116790701698	0.0	0.0	0.0	0	0.0
mix_5	0.000192050884833	0.000342630510589	0.000490524540259	0.0	0.0	0.000192662015601	0	0.0
mix_6	0.00107224421718	0.00164840735607	0.00114566832943	0.0	0.0	0.0	0	0.0
mix_7	0.000176875533427	0.000317633676396	0.000161248977959	7.73251595308e-05	0.00551081686604	0.000656384702516	0	0.013971171527
mix_8	0.0	0.0	0.0	0.00165974501681	0.00229526249408	2.01357569392e-05	0	0.00814050325563
mix_9	0.00217170648409	0.00339034434568	0.00179447631838	0.0	0.000352641532765	0.0	0	0.0
mix_10	0.000648069985712	0.000381088037509	0.0	0.0	0.0	0.000600613602507	0	0.0
mix_11	0.00079666573768	0.0	0.000483668950681	0.0	0.0	0.0	0	0.0
mix_12	0.0	0.00111036247898	0.000530297530488	0.0	0.00139570262915	0.0	0	0.000596709131162
mix_13	0.000506711120267	0.00500767639116	0.000514480477388	0.0	0.000708216890484	0.0	0	0.0
mix_14	0.00252281601995	0.00220305700119	0.00115228358371	0.0	0.000502656048619	0.0	0	7.26980579488e-08
mix_15	0.0	6.31113929324e-05	0.000246159196021	0.0	0.000186417489331	0.0	0	0.000110028240656
mix_16	0.0	1.98756918943e-05	0.0	0.0239975211795	0.0550853107329	0.00103915612076	0	0.157558252175
mix_17	0.0	0.000524479044184	0.0	0.0221829960724	0.0395852932022	0.000639821981402	0	0.122999932744
mix_18	0.00149517042034	0.00137651469097	0.0	0.0	0.0	2.43563861227e-06	0	0.0
mix_19	0.0	0.0	0.0	0.0222732786903	0.0254358951946	0.00139404036912	0	0.0935246034217
mix_20	0.00168575648888	0.002002715295	0.000925174819829	0.0	0.0	0.0	0	6.1237013554e-05
mix_21	0.000102325564945	0.00390574527285	5.30361736173e-05	0.0104915474816	0.0075714492083	0.0	0	0.0388121102238
mix_22	0.0	0.0	0.0	0.0	0.0	0.000647315922757	0	0.0
mix_23	0.00254072832459	0.00164489333311	0.00121266742953	0.0	0.0	0.0	0	0.0
mix_24	0.00104780142474	0.00348840407172	0.000885302920072	0.0	0.00305819101587	0.0	0	0.00380086318844
mix_25	0.00311426909334	0.00595751522791	0.00185527111553	0.0	0.0	0.0	0	0.0
mix_26	0.0	0.000204110309078	0.0	0.0154177687436	0.00740099678641	0.00081896941817	0	0.0543165977234
mix_27	0.000230361834068	4.16397225047e-05	0.000648389841585	0.0	0.0	0.0	0	0.0
mix_28	0.0	0.000331973506218	0.000396460344354	0.0	0.0	0.0	0	0.0
mix_29	0.0	0.0	2.16222605379e-05	0.0	0.0	1.30614158244e-05	0	0.0
mix_30	0.00149751059615	0.00295948622267	0.00125143036298	0.0	8.5261717425e-05	0.0	0	0.0
mix_31	5.86597335158e-05	0.000328783742741	0.000236575451009	0.0	0.0	0.0	0	0.0
mix_32	0.00176629330416	0.000854247229535	0.000723257291192	0.0	0.0	0.000510909089731	0	0.0
mix_33	0.0	0.000316044549228	0.0	0.0	0.000372349884907	0.0	0	0.000411945776435
mix_34	0.0	0.0	0.0	0.00627324363606	0.00311305362845	0.00128852664977	0	0.0105512452725
mix_35	0.0	0.000272808907562	0.000444528583422	0.0	0.0	0.0	0	0.0
mix_36	0.0	0.00014072176909	5.53355750269e-05	0.0	0.0	0.000573826890348	0	0.0
mix_37	0.0	0.0	0.0	0.00936487322356	0.00720519643207	0.000441168341715	0	0.0387210917138
mix_38	0.0	0.0	0.0	0.00275251836358	0.0041944951992	0.000770031173399	0	0.0154114403629
mix_39	0.00102636401989	0.00123146940232	0.000837226283259	0.0	0.0	0.0	0	0.0
mix_40	0.0	0.000102794577485	0.0	0.0	0.0	0.000844457057956	0	0.0
mix_41	0.0	0.0	0.0	0.0139030937836	0.00491634839536	0.00133315350121	0	0.0393531289694
