	Neutrophils	Lymphocyte	Monocytes	Other
S10001	0	0.35449651204	0	0.64550348796
S10006	0	0.359778436531	0	0.640221563469
S1001	0	0.366725285991	0	0.633274714009
S10010	0	0.360928176239	0	0.639071823761
S10011	0	0.348578096211	0	0.651421903789
S10014	0	0.37049974089	0	0.62950025911
S10026	0	0.370655949494	0	0.629344050506
S10032	0	0.362706764077	0	0.637293235923
S10036	0	0.366841155674	0	0.633158844326
S10042	0	0.36585433135	0	0.63414566865
S10044	0	0.378382148591	0	0.621617851409
S10049	0	0.377255862662	0	0.622744137338
S10057	0	0.359652079306	0	0.640347920694
S10062	0	0.369534778823	0	0.630465221177
S10066	0	0.342957313046	0	0.657042686954
S10067	0	0.386276531994	0	0.613723468006
S1007	0	0.360234771186	0	0.639765228814
S10073	0	0.383764936122	0	0.616235063878
S10077	0	0.353294706241	0	0.646705293759
S10080	0	0.357537380248	0	0.642462619752
S10082	0	0.382720809203	0	0.617279190797
S10087	0	0.379725978336	0	0.620274021664
S10089	0	0.359959791812	0	0.640040208188
S1009	0	0.384201887072	0	0.615798112928
S10090	0	0.372314987754	0	0.627685012246
S10093	0	0.343980404069	0	0.656019595931
S10094	0	0.367380164361	0	0.632619835639
S1010	0	0.359566616863	0	0.640433383137
S10111	0	0.372867912477	0	0.627132087523
S10116	0	0.370744143351	0	0.629255856649
S10119	0	0.376739444979	0	0.623260555021
S10121	0	0.379214089392	0	0.620785910608
S10130	0	0.355874337242	0	0.644125662758
S10140	0	0.365300442472	0	0.634699557528
S10142	0	0.385306861261	0	0.614693138739
S10150	0	0.33709142897	0	0.66290857103
S10155	0	0.377124342658	0	0.622875657342
S1016	0	0.371713967219	0	0.628286032781
S10163	0	0.339603911202	0	0.660396088798
S10167	0	0.365452756438	0	0.634547243562
S10168	0	0.382634898055	0	0.617365101945
S10173	0	0.382137136919	0	0.617862863081
S10175	0	0.372479029639	0	0.627520970361
S10179	0	0.379404886438	0	0.620595113562
S10186	0	0.386373945357	0	0.613626054643
S1019	0	0.375035874828	0	0.624964125172
S10190	0	0.382071733445	0	0.617928266555
S10195	0	0.351506565967	0	0.648493434033
S10196	0	0.367747846015	0	0.632252153985
S10200	0	0.365779914071	0	0.634220085929
S10201	0	0.341806097855	0	0.658193902145
S10202	0	0.364835936608	0	0.635164063392
S10205	0	0.375633974926	0	0.624366025074
S10211	0	0.355824761398	0	0.644175238602
