	B Cells	CD4 T Cells	NK Cells	Monocytes	CD8 T Cells	Other
Mix_1	0.195168611026	0.367170010331	0.217052086667	0.220609291976	0.0	0
Mix_2	0.28443259715	0.465726928822	0.141058938784	0.108781535244	0.0	0
Mix_3	0.134172238081	0.336440058788	0.279783714705	0.067652237356	0.18195175107	0
Mix_4	0.169467856698	0.497257382711	0.254123847889	0.0417743549277	0.0373765577747	0
Mix_5	0.403859003399	0.343199386581	0.223005645332	0.0299359646891	0.0	0
Mix_6	0.329369775349	0.258487679776	0.17422698446	0.237915560415	0.0	0
Mix_7	0.203216092694	0.500370959195	0.15988492294	0.0211838400985	0.115344185071	0
Mix_8	0.311472630351	0.549483167726	0.0	0.139044201923	0.0	0
Mix_9	0.276498232918	0.463913219857	0.182945040935	0.0766435062897	0.0	0
Mix_10	0.390373443298	0.340868042514	0.14669039861	0.122068115578	0.0	0
Mix_11	0.205715940581	0.588404352381	0.139869411963	0.0660102950741	0.0	0
Mix_12	0.127055491572	0.468598582553	0.242142992007	0.162202933868	0.0	0
Mix_13	0.378442385626	0.436442177762	0.13438636725	0.0507290693626	0.0	0
Mix_14	0.0996664686729	0.413155567573	0.268402093846	0.00384962880588	0.214926241102	0
Mix_15	0.174626474847	0.651454458468	0.110441011792	0.0634780548925	0.0	0
Mix_16	0.291998656091	0.550071681752	0.0685624108031	0.0893672513538	0.0	0
Mix_17	0.201776360263	0.555011298042	0.125631993959	0.047451385737	0.0701289619989	0
Mix_18	0.156140061371	0.720994702918	0.0336979288594	0.0891673068524	0.0	0
Mix_19	0.209649634665	0.331834433751	0.245471618134	0.158459412449	0.0545849010011	0
Mix_20	0.336537273222	0.439000881489	0.0957433175029	0.128718527786	0.0	0
Mix_21	0.340389757342	0.423820535667	0.0644221712179	0.171367535773	0.0	0
Mix_22	0.221923309226	0.38397411722	0.190421229944	0.197868488268	0.00581285534232	0
Mix_23	0.373420812524	0.462818375763	0.0725815906582	0.0911792210547	0.0	0
Mix_24	0.0692129766412	0.652470501809	0.0398887711655	0.106111415257	0.132316335127	0
Mix_25	0.347947489885	0.484596535532	0.126577934384	0.0203914088924	0.0204866313074	0
Mix_26	0.255228206453	0.563824819793	0.0824596406168	0.0417215276821	0.0567658054543	0
Mix_27	0.367947292658	0.356849058458	0.00421019164328	0.126050760579	0.144942696662	0
Mix_28	0.271776020881	0.441405511778	0.128013119238	0.158805348104	0.0	0
Mix_29	0.309631768395	0.537389513347	0.0680984888898	0.0399257076302	0.0449545217376	0
Mix_30	0.19567665034	0.310067147735	0.275508001909	0.00714344789137	0.211604752125	0
Mix_31	0.293970339427	0.528929382686	0.0945557661494	0.0825445117375	0.0	0
Mix_32	0.192118131566	0.677482450148	0.0205125811799	0.109886837106	0.0	0
Mix_33	0.158491753693	0.580561947791	0.114488680869	0.105300263208	0.041157354439	0
Mix_34	0.344248694584	0.299215133006	0.151265403126	0.205270769283	0.0	0
Mix_35	0.207830305239	0.51603452592	0.217917612427	0.0582175564145	0.0	0
Mix_36	0.280794421316	0.491894475887	0.157603264538	0.0660532434225	0.00365459483771	0
Mix_37	0.156607442311	0.348252670175	0.295367498964	0.0727294891826	0.127042899367	0
Mix_38	0.123787671065	0.52581813783	0.202883634731	0.147510556373	0.0	0
Mix_39	0.407841214425	0.381026303337	0.0	0.211132482238	0.0	0
Mix_40	0.258070688103	0.325589222279	0.284621504658	0.0410289122375	0.0906896727227	0
Mix_41	0.205581789594	0.400451030265	0.304002452936	0.089964727206	0.0	0
Mix_42	0.275828761203	0.543224929185	0.0424973457592	0.0442184161668	0.0942305476859	0
Mix_43	0.35435606177	0.343723509077	0.180388333532	0.121532095621	0.0	0
Mix_44	0.140855393212	0.437768901642	0.266338508835	0.155037196311	0.0	0
Mix_45	0.197195351312	0.350789175273	0.124849308723	0.100993251591	0.226172913101	0
Mix_46	0.320200898413	0.432872180223	0.0103254455264	0.0844208202413	0.152180655597	0
Mix_47	0.300511102774	0.362144071727	0.170390494275	0.166954331225	0.0	0
Mix_48	0.268248454531	0.51556232891	0.145546601688	0.0706426148711	0.0	0
Mix_49	0.117008559825	0.509114607839	0.327559682143	0.0210309980565	0.025286152137	0
Mix_50	0.158407375036	0.452240634172	0.0403378270784	0.0895945407042	0.259419623009	0
Mix_51	0.265357515826	0.551263815464	0.093687961836	0.0896907068737	0.0	0
Mix_52	0.0882396481654	0.351769021438	0.201005693504	0.0665793435215	0.292406293371	0
Mix_53	0.309014957558	0.466564288597	0.0843081984464	0.140112555398	0.0	0
Mix_54	0.157445714986	0.242908818106	0.410026296229	0.18961917068	0.0	0
Mix_55	0.10271147621	0.373687354425	0.353516260514	0.0657915790466	0.104293329805	0
Mix_56	0.17919753559	0.402299241355	0.072119005535	0.111494388857	0.234889828663	0
Mix_57	0.0	0.46444835658	0.427164535904	0.108387107516	0.0	0
Mix_58	0.172172117887	0.631189150712	0.120528661756	0.0595786806192	0.016531389026	0
Mix_59	0.128307342181	0.306368273992	0.421632240933	0.0601254425425	0.0835667003512	0
Mix_60	0.35838638923	0.324582112084	0.0467969320737	0.00520226861862	0.265032297994	0
Mix_61	0.378423894178	0.33191626576	0.185833701691	0.103826138371	0.0	0
Mix_62	0.377478851775	0.354052139349	0.257960670172	0.0105083387042	0.0	0
Mix_63	0.129345192138	0.324200155469	0.371778000734	0.174676651659	0.0	0
Mix_64	0.338944011343	0.351322604937	0.117631149706	0.192102234014	0.0	0
Mix_65	0.315236771107	0.439904838728	0.0999861359501	0.144872254216	0.0	0
Mix_66	0.276915574345	0.523015435286	0.167074228888	0.0266051296397	0.00638963184215	0
Mix_67	0.449326610025	0.275961395712	0.0966689076171	0.178043086646	0.0	0
Mix_68	0.219891503416	0.465743220061	0.0414901988489	0.0988383912178	0.174036686456	0
Mix_69	0.398708480786	0.39127878312	0.153115080711	0.0568976553834	0.0	0
Mix_70	0.201964700672	0.518239367457	0.0693426059685	0.0774222130885	0.133031112814	0
Mix_71	0.224883650388	0.299373711422	0.255911871949	0.0587709005134	0.161059865727	0
Mix_72	0.205945741556	0.613598124817	0.0	0.180456133627	0.0	0
Mix_73	0.0832135669022	0.417623447476	0.35746138968	0.049246080364	0.0924555155782	0
Mix_74	0.375293075846	0.289625375924	0.209216306897	0.125865241333	0.0	0
Mix_75	0.161797567183	0.470705802449	0.324006333719	0.0434902966483	0.0	0
Mix_76	0.185675331424	0.411670118694	0.325955191707	0.0258240245724	0.0508753336019	0
Mix_77	0.2177601435	0.407334297017	0.186859121623	0.188046437859	0.0	0
Mix_78	0.0793844796634	0.491423337334	0.241554900643	0.00583361642658	0.181803665933	0
Mix_79	0.0990779142847	0.2908862978	0.470048302809	0.139987485107	0.0	0
Mix_80	0.200209742248	0.58057693781	0.115374392841	0.103838927101	0.0	0
Mix_81	0.259603979867	0.366604017118	0.237614193413	0.108193681102	0.0279841285004	0
Mix_82	0.241738713545	0.372138445214	0.22737818846	0.0	0.158744652781	0
Mix_83	0.336069165331	0.393809923633	0.168235608592	0.101885302444	0.0	0
Mix_84	0.258323472464	0.499935627888	0.0920194663238	0.110306592908	0.0394148404158	0
Mix_85	0.196717178976	0.52185586008	0.258757317022	0.0226696439215	0.0	0
Mix_86	0.212770670989	0.322118148289	0.28405271789	0.118395868474	0.0626625943578	0
Mix_87	0.512741563947	0.215436668491	0.125414933712	0.146406833849	0.0	0
Mix_88	0.32270636373	0.567873980519	0.00451350670477	0.0663592853118	0.0385468637343	0
Mix_89	0.0898915184422	0.448418722975	0.275908266438	0.185781492145	0.0	0
Mix_90	0.17507593495	0.382420762117	0.409260546652	0.0332427562808	0.0	0
Mix_91	0.447655148385	0.396843197695	0.103196916614	0.0523047373067	0.0	0
Mix_92	0.232422700093	0.373023813479	0.281336388804	0.113217097623	0.0	0
Mix_93	0.192252434338	0.641084575597	0.0	0.166662990064	0.0	0
Mix_94	0.355869947004	0.550425810611	0.0226132836217	0.0710909587634	0.0	0
Mix_95	0.161547166205	0.552812457801	0.206173488136	0.0794668878584	0.0	0
Mix_96	0.133150636714	0.599746711084	0.134168323086	0.0753307143682	0.0576036147477	0
Mix_97	0.309623093053	0.327929689512	0.222297522984	0.140149694451	0.0	0
Mix_98	0.433144310977	0.264075588595	0.0	0.302780100428	0.0	0
Mix_99	0.0224361049108	0.769902124895	0.127387757151	0.0394588972897	0.0408151157536	0
Mix_100	0.267948329919	0.347934738212	0.173170900194	0.210946031675	0.0	0
