	B Cells	CD4 T Cells	CD8 T Cells	Monocytes	NK Cells	Other
mix_1	0.247620031163	0.1711187496	0.0	0.207045680542	0.328561733887	0.0429261582007
mix_2	0.242644034501	0.149357766743	0.0	0.233448858997	0.322891756495	0.0483889313012
mix_3	0.31024815634	0.265403951808	0.0296305518821	0.0500285371129	0.283770276067	0.0262517787127
mix_4	0.321928973833	0.20506039284	0.00871773734826	0.113636465508	0.303946574086	0.0233950036477
mix_5	0.303945846252	0.20686937185	0.0273169778853	0.0935383066175	0.316082584858	0.0245181154636
mix_6	0.287178892477	0.196581754799	0.00785253905034	0.154879753931	0.312113708367	0.0259530310981
mix_7	0.349623726388	0.215625780079	0.0145610791882	0.0708065026922	0.298153595094	0.023741889286
mix_8	0.317655854434	0.164803313711	0.0	0.183792404774	0.297571592343	0.029119365899
mix_9	0.263218465275	0.204992830871	0.00153622461353	0.154946577943	0.327184961172	0.0284090471432
mix_10	0.363040748416	0.192050726684	0.0181808715284	0.0968988691202	0.282525827039	0.0241551409575
mix_11	0.252349140571	0.156779851393	0.0	0.216705475662	0.320605356698	0.0486421550379
mix_12	0.252171621785	0.191607674142	0.00321925831209	0.194064261955	0.316661907878	0.0270994569475
mix_13	0.381002429083	0.186692189168	0.00453108843251	0.0776087243791	0.301184803146	0.025822722093
mix_14	0.378458838166	0.185223950315	0.0226030478259	0.0926201056593	0.276972654163	0.0223803810096
mix_15	0.356070536466	0.194932257101	0.032290857568	0.0393302633231	0.317301518086	0.0264982761606
mix_16	0.315657216811	0.227439569016	0.0175560758779	0.0923681203779	0.294409986631	0.0235328852954
mix_17	0.434378680211	0.211738148422	0.0430185267615	0.0	0.249514219027	0.0367912637544
mix_18	0.252158436821	0.138622061202	0.0	0.23801472865	0.317730838894	0.0482662343031
mix_19	0.310723683749	0.186036195089	0.00570846882845	0.15239376582	0.30682636152	0.0264093582145
mix_20	0.287881710109	0.267921499107	0.084799167382	0.0	0.289092127911	0.0292201448988
mix_21	0.337050128132	0.208605619229	0.0382583698964	0.0850608274498	0.282009919378	0.0240676087057
mix_22	0.326493197042	0.175140591245	0.00123100847463	0.135983226639	0.317461404772	0.0273815267374
mix_23	0.33078546419	0.187371573758	0.0	0.141514319218	0.29755462217	0.0275147338508
mix_24	0.229591191739	0.126433390988	0.0	0.262966720876	0.325022748282	0.0559859481146
mix_25	0.263279166853	0.225237802142	0.0115660855538	0.153775714686	0.303367518199	0.023706520005
mix_26	0.271070938951	0.27599211546	0.0499918132788	0.0	0.323135458161	0.0308876844321
mix_27	0.312338116832	0.111568762128	0.0	0.20559762245	0.319746278118	0.0507492204724
mix_28	0.316728999506	0.261083099087	0.0632363802116	0.0	0.285589985192	0.0324135790915
mix_29	0.282504061028	0.207089527207	0.00204194814733	0.144548475525	0.31892421518	0.0270500077669
