	B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells	Other
A	0.0350855992542	0.0272223516316	0.00361346606726	0.145343627645	0.116705664599	0.113662939666	0.558366351137
B	0.0358077267013	0.0272094419386	0.00379420237709	0.145885845064	0.117589832748	0.112137610354	0.557575340817
C	0.0296837027866	0.022049295166	0.00319876745169	0.123232437848	0.141651885	0.108785921293	0.571397990455
D	0.0299708624823	0.0220469754661	0.00330918075797	0.12493696667	0.141897819737	0.106731628661	0.571106566226
E	0.0302254339709	0.0237140183581	0.00247624540626	0.134102628379	0.113944613214	0.135037206922	0.560499853749
F	0.0314767525457	0.0254164098076	0.00598185819232	0.140072812916	0.105836591269	0.0935294017546	0.597686173515
G	0.0349332143011	0.0273112080515	0.00372099572973	0.179066118171	0.110208229099	0.0937302517415	0.551029982906
H	0.0336055385427	0.0300660491107	0.00275069340137	0.136918288468	0.108518121253	0.0932389925501	0.594902316673
I	0.0333129951599	0.0301170321717	0.00277793743414	0.137684453357	0.110620252808	0.0938984963318	0.591588832738
J	0.0300323320711	0.0179938330757	0.00408297082346	0.113458372066	0.163760251375	0.0780815046036	0.592590735986
K	0.0286412000658	0.0162735712843	0.00172779200029	0.113251620432	0.113980104287	0.140686503402	0.585439208528
L	0.027357824324	0.0217178375526	0.00421228890622	0.114769796031	0.162505782095	0.0801651675508	0.589271303541
