	Neutrophils	Lymphocyte	Monocytes	Other
S10001	0.177918149439	0.198529319827	0.0215430754081	0.602009455326
S10006	0.164449435327	0.190784751607	0.0202858505205	0.624479962546
S1001	0.160606313842	0.194702161507	0.0223455824872	0.622345942164
S10010	0.177116729017	0.193228351176	0.0224947998673	0.60716011994
S10011	0.172549634692	0.201499367543	0.0216811735791	0.604269824185
S10014	0.164892912163	0.195559963748	0.0221506919951	0.617396432093
S10026	0.16414226985	0.199704124591	0.0216501737012	0.614503431858
S10032	0.164024191415	0.197900850026	0.0239560503954	0.614118908163
S10036	0.162080599999	0.190630271851	0.0215606337844	0.625728494366
S10042	0.167887724994	0.199037362387	0.0217776187629	0.611297293856
S10044	0.167558012123	0.201863595382	0.0220584396012	0.608519952894
S10049	0.163663502698	0.205034997112	0.0223236735171	0.608977826673
S10057	0.158440970446	0.192896540565	0.020590453946	0.628072035043
S10062	0.168806105101	0.204903830616	0.023115189826	0.603174874458
S10066	0.183104476891	0.196762502939	0.0220044400689	0.598128580101
S10067	0.161966064539	0.208795685615	0.0222852136396	0.606953036206
S1007	0.169505883237	0.192510467828	0.0221307180189	0.615852930917
S10073	0.170429196189	0.211689769148	0.0222335140716	0.595647520592
S10077	0.172280739622	0.196887570395	0.0224023480193	0.608429341964
S10080	0.173062277598	0.191952398858	0.0221391401183	0.612846183425
S10082	0.16626459996	0.207464473529	0.0226605565672	0.603610369944
S10087	0.16635393729	0.207832391576	0.0226096703425	0.603204000791
S10089	0.174749476777	0.198203056577	0.021447494372	0.605599972274
S1009	0.162926725812	0.212059510593	0.0218321782993	0.603181585296
S10090	0.1748109328	0.195208323659	0.0209344257399	0.609046317802
S10093	0.162334784646	0.184861170883	0.0202954448046	0.632508599666
S10094	0.168707869431	0.197649935132	0.0227102976919	0.610931897745
S1010	0.169739612956	0.206020957182	0.0223110752268	0.601928354635
S10111	0.165438853179	0.207447377386	0.0222374943753	0.604876275059
S10116	0.162321450637	0.210221694184	0.021384866632	0.606071988547
S10119	0.162240856257	0.202473636683	0.0215117587083	0.613773748352
S10121	0.165052116638	0.205207014355	0.0221850546038	0.607555814403
S10130	0.174959840188	0.193445103374	0.0217994498229	0.609795606615
S10140	0.175156649613	0.191361531469	0.0225644943889	0.610917324529
S10142	0.15451519481	0.200745098478	0.0222995443154	0.622440162397
S10150	0.180538388684	0.180405251345	0.0211595237955	0.617896836175
S10155	0.167451797033	0.202939110731	0.0217655391287	0.607843553107
S1016	0.161067783155	0.195809709165	0.0216343751215	0.621488132559
S10163	0.177025377813	0.195547397905	0.0208180517294	0.606609172552
S10167	0.162120826826	0.187886677225	0.0206540118636	0.629338484085
S10168	0.160386733316	0.204826839452	0.0215695199687	0.613216907263
S10173	0.165931674524	0.207073037612	0.0215555506441	0.60543973722
S10175	0.167520195962	0.194874676229	0.0214240557823	0.616181072027
