	B Cells	CD4 T Cells	CD8 T Cells	Monocytes	NK Cells	Other
mix_1	0.0228	0.0711	0.1825	0.4894	0.1172	0.0478
mix_2	0.0078	0.0479	0.1503	0.6031	0.0379	0.0518
mix_3	0.1424	0.4462	0.1726	0.1417	0.0472	0.05
mix_4	0.1904	0.2276	0.1907	0.2716	0.0555	0.0385
mix_5	0.1237	0.1531	0.307	0.2417	0.1149	0.0426
mix_6	0.1102	0.1471	0.2283	0.3768	0.0551	0.0404
mix_7	0.2495	0.2468	0.1933	0.1742	0.0808	0.035
mix_8	0.2271	0.2126	0.0288	0.4217	0.0	0.0506
mix_9	0.0374	0.1585	0.205	0.3891	0.1277	0.044
mix_10	0.3144	0.2469	0.1332	0.23	0.0	0.0466
mix_11	0.0348	0.1039	0.1144	0.5617	0.0387	0.057
mix_12	0.0047	0.1324	0.2116	0.4976	0.0279	0.0559
mix_13	0.3248	0.1796	0.1611	0.1712	0.1133	0.0319
mix_14	0.3449	0.1861	0.1866	0.2172	0.0	0.0507
mix_15	0.2451	0.071	0.2998	0.1158	0.2307	0.0377
mix_16	0.1633	0.327	0.1822	0.2327	0.0297	0.0481
mix_17	0.4442	0.3135	0.1658	0.0	0.0	0.0764
mix_18	0.035	0.0499	0.1066	0.6389	0.0093	0.0582
mix_19	0.187	0.121	0.2121	0.3589	0.0302	0.0543
mix_20	0.0826	0.284	0.442	0.0353	0.0874	0.0687
mix_21	0.2294	0.2238	0.2661	0.2081	0.0079	0.0456
mix_22	0.2153	0.0812	0.2046	0.3087	0.1216	0.0376
mix_23	0.2498	0.238	0.0946	0.327	0.0	0.0404
mix_24	0.0	0.0207	0.0995	0.6418	0.0748	0.0467
mix_25	0.0394	0.3032	0.1618	0.3884	0.0	0.0663
mix_26	0.0244	0.3665	0.2655	0.0318	0.2707	0.0411
mix_27	0.2347	0.0115	0.0588	0.4602	0.1264	0.0425
mix_28	0.1552	0.3645	0.3044	0.03	0.0893	0.0566
mix_29	0.0976	0.1841	0.2018	0.3499	0.0857	0.0435
mix_30	0.1409	0.174	0.2049	0.3442	0.0549	0.0491
mix_31	0.0949	0.2828	0.1246	0.3771	0.0252	0.0541
mix_32	0.1313	0.2533	0.2152	0.2681	0.0593	0.05
mix_33	0.151	0.2118	0.1107	0.382	0.0487	0.0453
mix_34	0.0082	0.0891	0.1561	0.5366	0.0694	0.0546
mix_35	0.0813	0.0902	0.2563	0.4118	0.0608	0.0503
mix_36	0.2652	0.3938	0.0693	0.1779	0.0298	0.0481
mix_37	0.2578	0.3771	0.0735	0.2201	0.0	0.0466
mix_38	0.077	0.4378	0.1971	0.0865	0.1594	0.0422
mix_39	0.2736	0.1573	0.2717	0.1042	0.1591	0.0341
mix_40	0.1628	0.2728	0.0685	0.3739	0.0178	0.0515
mix_41	0.0348	0.0621	0.222	0.4771	0.0913	0.0464
mix_42	0.2956	0.3334	0.2238	0.0423	0.0523	0.0526
mix_43	0.0031	0.1907	0.3314	0.2499	0.1678	0.0479
mix_44	0.0455	0.3744	0.1783	0.2083	0.1366	0.0499
mix_45	0.0092	0.3806	0.151	0.3587	0.0	0.0628
mix_46	0.1312	0.1809	0.3956	0.1446	0.104	0.0438
mix_47	0.1747	0.2193	0.1275	0.3779	0.0011	0.0471
mix_48	0.2103	0.004	0.0411	0.4879	0.1435	0.0423
mix_49	0.1857	0.0492	0.1737	0.3916	0.1047	0.0456
mix_50	0.233	0.4399	0.1407	0.1302	0.0	0.0562
mix_51	0.2036	0.0631	0.07	0.4355	0.1252	0.0438
mix_52	0.3225	0.2984	0.1631	0.0557	0.1197	0.0406
mix_53	0.2009	0.0948	0.1088	0.407	0.0871	0.0427
mix_54	0.298	0.215	0.3381	0.0722	0.0179	0.0589
mix_55	0.1855	0.102	0.1371	0.4077	0.067	0.0427
mix_56	0.1125	0.408	0.1326	0.2679	0.0	0.0615
mix_57	0.0028	0.2298	0.1657	0.4087	0.0868	0.0506
mix_58	0.1329	0.2199	0.2442	0.2274	0.1165	0.0541
mix_59	0.0038	0.0702	0.2656	0.4673	0.0816	0.0438
mix_60	0.2726	0.2138	0.1448	0.2921	0.0	0.0464
mix_61	0.2176	0.6034	0.0949	0.0257	0.0	0.0584
mix_62	0.1765	0.4452	0.1374	0.0819	0.1111	0.0479
mix_63	0.0239	0.1856	0.182	0.4514	0.0456	0.0508
mix_64	0.1853	0.2639	0.0383	0.4055	0.0	0.0544
mix_65	0.1117	0.1702	0.2003	0.2453	0.2217	0.0397
mix_66	0.1963	0.0359	0.0989	0.4393	0.1269	0.0422
mix_67	0.2664	0.279	0.2233	0.0584	0.1386	0.0343
mix_68	0.0524	0.1656	0.3983	0.1449	0.1889	0.0499
mix_69	0.174	0.2103	0.0837	0.4227	0.0	0.0527
mix_70	0.3136	0.0143	0.051	0.261	0.2964	0.0415
mix_71	0.2596	0.089	0.0206	0.5073	0.0	0.0472
mix_72	0.4226	0.3522	0.05	0.1175	0.0	0.0414
mix_73	0.2844	0.0808	0.1821	0.2076	0.1888	0.0413
mix_74	0.2156	0.2587	0.0962	0.2917	0.0519	0.0506
mix_75	0.187	0.0816	0.0632	0.4776	0.0759	0.0432
mix_76	0.052	0.2276	0.3219	0.2201	0.1359	0.0372
mix_77	0.075	0.4191	0.3043	0.0558	0.0826	0.0632
mix_78	0.1447	0.0739	0.1931	0.4213	0.07	0.0416
mix_79	0.0374	0.149	0.1659	0.4922	0.0183	0.0592
mix_80	0.2509	0.2782	0.165	0.234	0.0	0.0533
mix_81	0.1188	0.423	0.1497	0.2345	0.0	0.0589
mix_82	0.19	0.1296	0.1924	0.3733	0.0186	0.0499
mix_83	0.1498	0.0916	0.1044	0.4726	0.0619	0.0469
mix_84	0.1686	0.3029	0.1737	0.2704	0.0	0.0559
mix_85	0.1163	0.3291	0.2022	0.2727	0.0	0.0601
mix_86	0.0525	0.4088	0.2478	0.146	0.0964	0.0485
mix_87	0.0882	0.3445	0.1168	0.3485	0.0	0.0646
mix_88	0.1571	0.2665	0.2435	0.1986	0.0798	0.0434
mix_89	0.1278	0.3475	0.2938	0.1041	0.0748	0.0521
mix_90	0.0691	0.2411	0.1908	0.3872	0.0	0.0669
mix_91	0.1381	0.0786	0.1028	0.4448	0.124	0.0468
mix_92	0.1347	0.2805	0.117	0.3686	0.0	0.0564
mix_93	0.008	0.0425	0.0622	0.689	0.0236	0.0568
mix_94	0.0	0.0246	0.1898	0.5357	0.1317	0.0484
mix_95	0.2074	0.0297	0.09	0.4161	0.1572	0.043
mix_96	0.1653	0.0207	0.1207	0.3757	0.2255	0.0508
mix_97	0.1108	0.1535	0.1834	0.424	0.0238	0.048
mix_98	0.1702	0.2293	0.1021	0.3898	0.0073	0.0481
mix_99	0.0957	0.5872	0.2115	0.0057	0.02	0.0799
mix_100	0.1459	0.2731	0.1448	0.3364	0.0036	0.0544
