	Neutrophils	Lymphocyte	Monocytes	Other
S10001	0	0.371823698371	0	0.628176301629
S10006	0	0.363732859653	0	0.636267140347
S1001	0	0.36265818561	0	0.63734181439
S10010	0	0.364790396565	0	0.635209603435
S10011	0	0.374135894164	0	0.625864105836
S10014	0	0.364992677427	0	0.635007322573
S10026	0	0.371459613924	0	0.628540386076
S10032	0	0.361372487362	0	0.638627512638
S10036	0	0.36673897669	0	0.63326102331
S10042	0	0.36671099209	0	0.63328900791
S10044	0	0.373052309147	0	0.626947690853
S10049	0	0.373433917306	0	0.626566082694
S10057	0	0.36743072229	0	0.63256927771
S10062	0	0.367989835213	0	0.632010164787
S10066	0	0.367675478951	0	0.632324521049
S10067	0	0.380360827177	0	0.619639172823
S1007	0	0.364702650406	0	0.635297349594
S10073	0	0.381479360221	0	0.618520639779
S10077	0	0.365871876458	0	0.634128123542
S10080	0	0.362997991031	0	0.637002008969
S10082	0	0.379204262372	0	0.620795737628
S10087	0	0.375038912055	0	0.624961087945
S10089	0	0.374695581309	0	0.625304418691
S1009	0	0.37889911836	0	0.62110088164
S10090	0	0.377082471953	0	0.622917528047
S10093	0	0.350884500196	0	0.649115499804
S10094	0	0.366576607768	0	0.633423392232
S1010	0	0.369595618541	0	0.630404381459
S10111	0	0.374837974904	0	0.625162025096
S10116	0	0.380428154492	0	0.619571845508
S10119	0	0.377490953076	0	0.622509046924
S10121	0	0.377435625773	0	0.622564374227
S10130	0	0.368847557227	0	0.631152442773
S10140	0	0.356854250677	0	0.643145749323
S10142	0	0.371059353357	0	0.628940646643
S10150	0	0.354446774849	0	0.645553225151
S10155	0	0.375825287629	0	0.624174712371
S1016	0	0.368405230171	0	0.631594769829
S10163	0	0.363750106399	0	0.636249893601
S10167	0	0.364762637266	0	0.635237362734
S10168	0	0.381153686538	0	0.618846313462
S10173	0	0.383544618856	0	0.616455381144
S10175	0	0.369922091423	0	0.630077908577
S10179	0	0.366675943605	0	0.633324056395
S10186	0	0.376851107411	0	0.623148892589
S1019	0	0.375338723549	0	0.624661276451
S10190	0	0.376510322373	0	0.623489677627
S10195	0	0.359999552123	0	0.640000447877
S10196	0	0.3693315651	0	0.6306684349
S10200	0	0.365166992694	0	0.634833007306
S10201	0	0.356793097377	0	0.643206902623
S10202	0	0.369536896335	0	0.630463103665
S10205	0	0.368948026094	0	0.631051973906
S10211	0	0.354350355393	0	0.645649644607
S10221	0	0.364650972684	0	0.635349027316
S10222	0	0.36055284412	0	0.63944715588
S10226	0	0.370912739768	0	0.629087260232
S10227	0	0.363831812322	0	0.636168187678
S10228	0	0.373113180348	0	0.626886819652
S10232	0	0.376795154336	0	0.623204845664
S10248	0	0.376146176064	0	0.623853823936
S10249	0	0.350058598882	0	0.649941401118
S1025	0	0.374442995265	0	0.625557004735
S10266	0	0.364232875073	0	0.635767124927
S10269	0	0.372038636911	0	0.627961363089
S10272	0	0.366440800487	0	0.633559199513
S10273	0	0.370037488733	0	0.629962511267
S10274	0	0.366405732873	0	0.633594267127
S1028	0	0.371476959533	0	0.628523040467
S10280	0	0.36611659479	0	0.63388340521
S10283	0	0.376537320351	0	0.623462679649
S1029	0	0.369161974979	0	0.630838025021
S10292	0	0.380495964803	0	0.619504035197
S10294	0	0.371463015933	0	0.628536984067
S10302	0	0.372149471552	0	0.627850528448
S10303	0	0.373482424245	0	0.626517575755
S10323	0	0.363342207041	0	0.636657792959
S10326	0	0.363547657935	0	0.636452342065
S10328	0	0.380956858538	0	0.619043141462
S10329	0	0.373420992896	0	0.626579007104
S10336	0	0.367861828932	0	0.632138171068
S10340	0	0.377261111761	0	0.622738888239
S10347	0	0.366606224986	0	0.633393775014
S10353	0	0.37306751669	0	0.62693248331
