	Neutrophils	Lymphocyte	Monocytes	Other
S10001	0.211330799233	0.141835905239	0.0	0.646833295528
S10006	0.188594748614	0.161296117294	0.0	0.650109134092
S1001	0.18575714927	0.201749276435	0.0	0.612493574295
S10010	0.243772590876	0.169700766416	0.0	0.586526642708
S10011	0.198548822363	0.146922512544	0.0	0.654528665093
S10014	0.200216619501	0.175067919052	0.0	0.624715461447
S10026	0.205493603755	0.217700900895	0.0	0.57680549535
S10032	0.200672000134	0.213045219198	0.0	0.586282780668
S10036	0.204607638515	0.170185177314	0.0	0.625207184171
S10042	0.206908028742	0.19162045346	0.0	0.601471517798
S10044	0.207096882545	0.205672637454	0.0	0.587230480001
S10049	0.192819830383	0.215030184185	0.0	0.592149985431
S10057	0.158502645408	0.155331915739	0.0	0.686165438853
S10062	0.200249668317	0.199847733639	0.0	0.599902598044
S10066	0.25473110907	0.119832991913	0.0	0.625435899017
S10067	0.174219863507	0.243798402361	0.0	0.581981734132
S1007	0.188534906497	0.167459570073	0.0	0.64400552343
S10073	0.187225368648	0.224627246343	0.0	0.58814738501
S10077	0.201065168321	0.17188665959	0.0	0.627048172088
S10080	0.208033074932	0.166581251478	0.0	0.62538567359
S10082	0.19651855497	0.230921797207	0.0	0.572559647822
S10087	0.188910776689	0.227382205322	0.0	0.583707017989
S10089	0.213169722041	0.151551301848	0.0	0.635278976111
S1009	0.160784103566	0.221520937851	0.0	0.617694958583
S10090	0.204368443104	0.152710201357	0.0	0.64292135554
S10093	0.189378611006	0.121945519855	0.0	0.688675869139
S10094	0.211807173622	0.194192557248	0.0	0.59400026913
S1010	0.194767409712	0.164777415212	0.0	0.640455175076
S10111	0.179514867465	0.225455181305	0.0	0.595029951229
S10116	0.145758363323	0.209674387427	0.0	0.64456724925
S10119	0.177476746185	0.210469889511	0.0	0.612053364305
S10121	0.205174239432	0.209911180843	0.0	0.584914579725
S10130	0.215641333208	0.157871177382	0.0	0.626487489409
S10140	0.231940666583	0.165849773752	0.0	0.602209559665
S10142	0.164049468889	0.238048192297	0.0	0.597902338814
S10150	0.249419194202	0.115591714052	0.0	0.634989091746
S10155	0.192327960257	0.203580257416	0.0	0.604091782327
S1016	0.204513592736	0.178743652179	0.0	0.616742755085
S10163	0.202219165066	0.135544588587	0.0	0.662236246347
S10167	0.184493111451	0.180059540853	0.0	0.635447347696
S10168	0.174517313198	0.240587241203	0.0	0.584895445599
S10173	0.171103392335	0.236068030952	0.0	0.592828576713
S10175	0.209013754811	0.188968768585	0.0	0.602017476603
S10179	0.157063834617	0.227899844727	0.0	0.615036320656
S10186	0.133385463898	0.258655211855	0.0	0.607959324247
S1019	0.181731531688	0.208890465536	0.0	0.609378002776
S10190	0.179420640815	0.23697754033	0.0	0.583601818855
S10195	0.215941720882	0.147811843486	0.0	0.636246435632
S10196	0.200543739084	0.178508469735	0.0	0.620947791181
S10200	0.214528423575	0.188875328775	0.0	0.59659624765
S10201	0.26739700653	0.111192663465	0.0	0.621410330005
S10202	0.204647653434	0.193651785408	0.0	0.601700561158
S10205	0.202375881421	0.200603200164	0.0	0.597020918415
S10211	0.179108375802	0.158131251254	0.0	0.662760372944
