	B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells	Other
A	6.85543757587	6.65782	7.04193524516	0	26.1550110453	13.0278747531	0
B	6.85172	6.56301434103	7.06593527559	0	26.1617261478	12.8980496061	0
C	6.6266996703	6.06322257883	7.02994111928	0	26.9406191635	13.3903589572	0
D	6.6889	5.9793	7.03645197185	0	27.0653644721	13.3712130442	0
E	6.66348504565	6.26442	7.10992236326	0	26.4113941297	13.4459899598	0
F	6.6441649404	6.3515	7.20429553259	0	25.9344128278	13.0624300433	0
G	6.93934986643	6.90732928227	6.96492	0	26.2165877551	12.8737630028	0
H	6.73009657156	7.08714	6.98634898935	0	25.6697062321	12.7647549159	0
I	6.80845671401	7.0239	6.99606	0	25.442506107	12.7411960673	0
J	6.59504	6.11237155592	7.01054783287	0	27.1122879922	13.4332368057	0
K	6.48294504692	5.90166	7.04496	0	26.8842011286	13.54988	0
L	6.57303727492	6.06842	7.0579455216	0	27.1724138439	13.212997575	0
