	B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells	Other
A	14.6841828079	7.56112726815	7.59525085637	7.07425757587	14.74122	7.55843229986	120.309050948
B	14.6299747143	7.60053396483	7.61713638685	7.04479745372	14.8766	7.58546586398	120.809160036
C	14.4191996703	6.56872543495	7.55072	6.87005126215	15.5355293655	7.73064395342	120.551569046
D	14.4522418349	6.69116	7.46514	6.9053	15.6095593174	7.80747802477	120.666972309
E	14.4881684348	6.91186	7.778	6.88	15.226853338	7.9192009836	120.829554509
F	14.4200070737	7.19248	8.08493206738	7.02699553259	14.5968298178	7.41946	121.374562645
G	14.5449328299	7.8200786009	7.41962545608	7.43940463311	14.1745512871	7.27094590413	120.198283865
H	14.352805481	8.13695802054	7.25057263505	7.14700358652	13.8495497874	7.07358179009	120.586280115
I	14.2936278215	8.06311712951	7.26509075112	7.1268436364	13.8821766024	7.09154	120.452338961
J	14.5285291622	6.18032	7.37774	6.78375155888	15.5513033101	7.6884473751	120.223953192
K	14.3481723151	6.26208	7.74206602545	6.81462095063	15.3601728777	7.96910329022	120.439668547
L	14.3501944797	6.46264	7.45345284301	6.80288	15.494484155	7.68477943909	121.171857768
