	B Cells	CD4 T Cells	CD8 T Cells	Monocytes	NK Cells	Other
mix_1	526.396317204	887.657958333	409.655	1835.59538462	1256.24636646	2243.09049712
mix_2	458.815282258	752.120020833	382.08875	2108.59923077	639.180217391	1809.3082406
mix_3	1026.78961022	1680.11366667	736.63	621.836538462	1034.13653209	3724.76925586
mix_4	1126.63850806	1229.61554167	595.238125	1122.36576923	1029.65327122	3285.57418251
mix_5	915.863978494	1267.80066667	797.274375	939.875	1591.2895031	3300.33973091
mix_6	825.047473119	1085.548	638.670625	1436.10576923	932.758530021	2725.28056827
mix_7	1375.09482527	1287.4110625	618.958125	744.143076923	1320.99910973	3762.00535267
mix_8	1180.1324328	917.748645833	353.636875	1658.54307692	235.290662526	2669.29376482
mix_9	592.841801075	1091.72070833	515.498125	1437.6	1449.79350931	2615.53771907
mix_10	1542.91583333	1192.1471875	717.261875	973.016538462	322.045517598	3429.09630965
mix_11	556.997513441	822.743104167	288.9775	1984.60346154	677.703405797	1952.55466103
mix_12	457.358575268	1023.7401875	585.916875	1736.135	657.775300207	2111.06694169
mix_13	1675.59229839	1084.41091667	504.0325	779.359615385	1455.76206005	3927.48680504
mix_14	1666.29059139	1143.350125	772.790625	937.069230769	503.652111801	3591.77211261
mix_15	1432.85010752	1209.45972917	747.71125	518.877307692	2659.27096273	4211.26813177
mix_16	1047.59569893	1421.35454167	675.756875	957.53	824.171200828	3370.13549677
mix_17	2285.48524194	1458.07195833	948.9525	126.412307692	586.08641822	4709.22816452
mix_18	542.8875	685.0805	321.036875	2154.46730769	394.008167701	1744.68384919
mix_19	1062.54622312	1018.39277083	616.133125	1390.595	794.515093168	2886.93914973
mix_20	787.272163978	1877.13479167	1435.0575	168.379230769	1602.02266046	3988.49328609
mix_21	1253.56611559	1350.77679167	906.515625	871.086538462	760.818498965	3469.01481512
mix_22	1209.14330645	952.046354167	530.73	1267.4	1452.15968944	3186.1367957
mix_23	1288.38314516	1039.59235417	467.119375	1340.07807692	422.496480332	3053.03536644
mix_24	434.089247312	618.4420625	243.04	2361.20730769	783.979834368	1678.25078281
mix_25	578.026357527	1297.90635417	692.67625	1445.89884615	381.493540373	2508.2714372
mix_26	616.32952957	1833.461125	892.350625	203.807307692	2979.33303312	4064.74909805
mix_27	1236.23729839	569.481791667	162.77375	1832.55653846	1139.98673913	2713.49544149
mix_28	1080.27146505	1791.34989583	1121.54625	192.200769231	1549.10370601	4200.55327023
mix_29	794.340873656	1136.75989583	552.603125	1366.62653846	1189.15127329	2825.30072196
mix_30	928.461989248	1116.21025	594.73	1311.66423077	961.137184265	2924.37015746
mix_31	770.987526881	1212.6860625	478.926875	1424.52807692	679.141024844	2691.17707151
mix_32	939.613991935	1321.862125	680.950625	1073.86384615	1060.49514493	3178.92191332
mix_33	958.784126344	1025.00364583	376.87	1484.32461538	830.132805383	2822.09273029
mix_34	471.915698925	865.678375	382.7725	1952.12	903.670496895	2022.95814345
mix_35	714.285013441	1013.95658333	666.673125	1609.47461538	991.40210145	2546.70517733
mix_36	1435.82146506	1397.09004167	460.43875	788.289230769	769.824792961	3726.14263702
mix_37	1357.97572581	1362.25945833	521.53	957.045384615	547.705445135	3489.53568085
mix_38	812.467244623	1814.9285625	734.11	403.319230769	1994.0039234	3933.63319275
mix_39	1533.75393817	1262.4718125	791.090625	488.344230769	2088.48410973	4147.35169067
mix_40	986.358185484	1078.69285417	337.574375	1491.74923077	570.258002071	2835.17793901
mix_41	568.150174732	912.424916667	517.625	1769.59884615	1146.30426501	2295.92806231
mix_42	1620.87389785	1598.3819375	906.888125	257.201153846	1145.10353002	4353.11477802
mix_43	493.871854839	1439.5899375	849.996875	950.686923077	1960.98333333	3107.60576329
mix_44	665.499193548	1549.42275	598.31875	831.658846154	1612.34952381	3361.70948959
mix_45	478.937836022	1439.2520625	720.99875	1342.99461538	382.223519668	2534.23665854
mix_46	959.973508065	1511.06491667	1159.90125	545.176923077	1609.60446169	3720.97802952
mix_47	1009.72255376	1066.75858333	496.3275	1454.78	475.911149069	2781.02156692
mix_48	1169.73048387	526.4125625	102.035	1879.15653846	1239.8734265	2617.65126269
mix_49	1072.51891129	829.321208333	424.034375	1527.16769231	1206.89145963	2838.68485176
mix_50	1314.44323925	1637.17764583	834.655	571.05	471.261118013	3800.01759082
mix_51	1140.27198925	693.935645833	178.628125	1783.17615385	1196.10898551	2762.77054804
mix_52	1751.86349462	1393.3175625	621.759375	323.471923077	1659.20181159	4456.49412934
mix_53	1115.31115591	802.553145833	306.020625	1643.97692308	1024.59242236	2775.06693394
mix_54	1574.02580645	1520.93625	1261.01625	325.686538462	903.884855072	4158.95798246
mix_55	1064.34896505	874.218708333	354.781875	1586.81269231	950.709699793	2768.20354455
mix_56	845.996209677	1502.9378125	769.703125	1079.75115385	339.768312629	3071.12296408
mix_57	461.946733871	1166.06989583	457.36	1564.05538462	1145.40192547	2462.66094856
mix_58	971.376061828	1335.72739583	691.314375	933.928846154	1535.77093168	3429.79518992
mix_59	466.493360215	976.044333333	651.1925	1693.16576923	1113.88968944	2255.3647063
mix_60	1376.69237903	1109.0410625	712.86875	1200.06	321.434554865	3198.15121644
mix_61	1330.7696371	1912.84227083	831.850625	205.767692308	629.612463768	4218.87293444
mix_62	1168.0400672	1690.75614583	625.928125	387.137307692	1549.16187371	4084.99725318
mix_63	524.911263441	1085.42958333	519.8625	1676.30961538	805.554751553	2298.85711367
mix_64	1050.4661828	1017.41766667	388.888125	1581.01307692	249.329430642	2708.45160626
mix_65	896.862715054	1178.12075	512.2925	1011.15384615	2235.81893374	3363.30720211
mix_66	1103.83650538	680.258291667	255.238125	1771.21461538	1226.92520704	2744.60654058
mix_67	1536.40625	1468.32004167	752.479375	323.553846154	1863.8984265	4406.32487292
mix_68	702.611209677	1537.7344375	1070.823125	556.624230769	2326.41319875	3634.21644049
mix_69	1004.58619624	972.431666667	412.55125	1619.41230769	357.198571429	2631.50260887
mix_70	1629.46510752	622.456458333	157.908125	1211.605	2628.73359213	3799.70630983
mix_71	1265.12004032	630.069854167	246.2975	1916.10538462	212.699306418	2462.41183929
mix_72	2068.94975806	1266.24547917	476.113125	580.839230769	542.929834368	4226.60053906
mix_73	1511.66130377	937.63075	468.605	923.201538462	2051.54761905	3814.44850446
mix_74	1208.63446236	1124.24879167	383.215625	1229.64807692	891.326635611	3271.83279827
mix_75	1056.7018414	699.54	174.07	1877.38346154	869.502763975	2518.0249921
mix_76	690.109852151	1492.84645833	878.981875	867.188846154	1749.56344721	3330.68698036
mix_77	777.632190861	1914.835875	1124.955	270.973076923	1466.81619048	3899.4200511
mix_78	931.519959677	885.871416667	484.24125	1612.21615385	1004.24756729	2661.26485638
mix_79	556.359502688	996.723125	494.75625	1800.53346154	592.523467909	2177.11890359
mix_80	1307.2361828	1311.16427083	817.29125	948.497692308	357.260331263	3386.22900783
mix_81	878.91811828	1591.0563125	797.984375	908.475769231	411.602091097	3200.24756137
mix_82	1075.18487903	981.957666667	594.361875	1431.86076923	654.105093168	2827.12092113
mix_83	942.91563172	786.744145833	276.544375	1866.20307692	854.289327122	2468.67954906
mix_84	1033.07766129	1356.65160417	737.294375	1077.43769231	491.491283644	3142.60088794
mix_85	861.935833333	1437.957875	831.58125	1083.40461538	489.603519668	3067.74713232
mix_86	708.930282258	1760.9209375	849.97875	581.160384615	1471.97697722	3578.40639258
mix_87	742.1575	1325.41541667	671.94	1349.66730769	285.99858178	2704.59818545
mix_88	1039.35270161	1400.46485417	738.945	798.368846154	1315.93022774	3525.93312253
