	Neutrophils	Lymphocyte	Monocytes	Other
S10001	0	0.881452939043	0.118547060957	0
S10006	0	0.883704303684	0.116295696316	0
S1001	0	0.883440531567	0.116559468433	0
S10010	0	0.879993620907	0.120006379093	0
S10011	0	0.882064304286	0.117935695714	0
S10014	0	0.882437235426	0.117562764574	0
S10026	0	0.883726233056	0.116273766944	0
S10032	0	0.881439661545	0.118560338455	0
S10036	0	0.884955631655	0.115044368345	0
S10042	0	0.881789043419	0.118210956581	0
S10044	0	0.884590788537	0.115409211463	0
S10049	0	0.884567803173	0.115432196827	0
S10057	0	0.88409159531	0.11590840469	0
S10062	0	0.883013303404	0.116986696596	0
S10066	0	0.879387039579	0.120612960421	0
S10067	0	0.885689920149	0.114310079851	0
S1007	0	0.883092638914	0.116907361086	0
S10073	0	0.884912925126	0.115087074874	0
S10077	0	0.880529928475	0.119470071525	0
S10080	0	0.881117489867	0.118882510133	0
S10082	0	0.885015564917	0.114984435083	0
S10087	0	0.883248937126	0.116751062874	0
S10089	0	0.881965678717	0.118034321283	0
S1009	0	0.885194138609	0.114805861391	0
S10090	0	0.882302505548	0.117697494452	0
S10093	0	0.882224537749	0.117775462251	0
S10094	0	0.881849629462	0.118150370538	0
S1010	0	0.881695328555	0.118304671445	0
S10111	0	0.884549090569	0.115450909431	0
S10116	0	0.883762621389	0.116237378611	0
S10119	0	0.884905252219	0.115094747781	0
S10121	0	0.883225250565	0.116774749435	0
S10130	0	0.880757015298	0.119242984702	0
S10140	0	0.881348452159	0.118651547841	0
S10142	0	0.88455570136	0.11544429864	0
S10150	0	0.877567100331	0.122432899669	0
S10155	0	0.884203678014	0.115796321986	0
S1016	0	0.882544688969	0.117455311031	0
S10163	0	0.879563605181	0.120436394819	0
S10167	0	0.882408707384	0.117591292616	0
S10168	0	0.884745740169	0.115254259831	0
S10173	0	0.886342430526	0.113657569474	0
S10175	0	0.88299331267	0.11700668733	0
S10179	0	0.885092588394	0.114907411606	0
S10186	0	0.886099094833	0.113900905167	0
S1019	0	0.884128680324	0.115871319676	0
S10190	0	0.885899785761	0.114100214239	0
S10195	0	0.881628782935	0.118371217065	0
S10196	0	0.883279881516	0.116720118484	0
S10200	0	0.881375369431	0.118624630569	0
S10201	0	0.878455141195	0.121544858805	0
S10202	0	0.881606455618	0.118393544382	0
S10205	0	0.884106436577	0.115893563423	0
S10211	0	0.883753210853	0.116246789147	0
S10221	0	0.883827048819	0.116172951181	0
S10222	0	0.881249990171	0.118750009829	0
S10226	0	0.882685619485	0.117314380515	0
S10227	0	0.881687133192	0.118312866808	0
S10228	0	0.883031095119	0.116968904881	0
S10232	0	0.88663850677	0.11336149323	0
S10248	0	0.886256414807	0.113743585193	0
S10249	0	0.877886494744	0.122113505256	0
S1025	0	0.884158819247	0.115841180753	0
S10266	0	0.879735554692	0.120264445308	0
S10269	0	0.882327318446	0.117672681554	0
S10272	0	0.882479289933	0.117520710067	0
S10273	0	0.881795053191	0.118204946809	0
S10274	0	0.882955460135	0.117044539865	0
S1028	0	0.884864760724	0.115135239276	0
S10280	0	0.88216181909	0.11783818091	0
S10283	0	0.885569856693	0.114430143307	0
S1029	0	0.883287462574	0.116712537426	0
S10292	0	0.886483790869	0.113516209131	0
S10294	0	0.885475820957	0.114524179043	0
S10302	0	0.884651469766	0.115348530234	0
S10303	0	0.882747640825	0.117252359175	0
S10323	0	0.882640248545	0.117359751455	0
S10326	0	0.882798836294	0.117201163706	0
S10328	0	0.883824897475	0.116175102525	0
S10329	0	0.884048233553	0.115951766447	0
S10336	0	0.882078648119	0.117921351881	0
S10340	0	0.884797909291	0.115202090709	0
S10347	0	0.881962864247	0.118037135753	0
S10353	0	0.882943694963	0.117056305037	0
S10356	0	0.882768186494	0.117231813506	0
S10358	0	0.881919825703	0.118080174297	0
S10365	0	0.88143315853	0.11856684147	0
S1037	0	0.887330499096	0.112669500904	0
S10373	0	0.88467095498	0.11532904502	0
S10374	0	0.884669740597	0.115330259403	0
S10375	0	0.882451780865	0.117548219135	0
S10377	0	0.883560865519	0.116439134481	0
S10378	0	0.884487703615	0.115512296385	0
S10390	0	0.882211365826	0.117788634174	0
S10391	0	0.883902399953	0.116097600047	0
S10393	0	0.885864873289	0.114135126711	0
S10400	0	0.880274241294	0.119725758706	0
S10401	0	0.88122607491	0.11877392509	0
S10406	0	0.881400888363	0.118599111637	0
S10408	0	0.880587165216	0.119412834784	0
S10409	0	0.885001846588	0.114998153412	0
S10418	0	0.880810503939	0.119189496061	0
S10431	0	0.883141924118	0.116858075882	0
S10438	0	0.883067012926	0.116932987074	0
S10439	0	0.881407496337	0.118592503663	0
S10441	0	0.878618199813	0.121381800187	0
S10442	0	0.882011270761	0.117988729239	0
S1046	0	0.880631325728	0.119368674272	0
S10478	0	0.878003157159	0.121996842841	0
S10480	0	0.885967073494	0.114032926506	0
S10484	0	0.880581859025	0.119418140975	0
S10492	0	0.884518815903	0.115481184097	0
S10496	0	0.885423696055	0.114576303945	0
S10510	0	0.883967366442	0.116032633558	0
S10513	0	0.881014664877	0.118985335123	0
S10516	0	0.881831939534	0.118168060466	0
S10534	0	0.883831612636	0.116168387364	0
S10535	0	0.886379542526	0.113620457474	0
S10537	0	0.881067342077	0.118932657923	0
S1054	0	0.883218809056	0.116781190944	0
S10543	0	0.883541427594	0.116458572406	0
S10546	0	0.883566032271	0.116433967729	0
S1055	0	0.879854057157	0.120145942843	0
S10551	0	0.881592249268	0.118407750732	0
S10552	0	0.880000653531	0.119999346469	0
S10555	0	0.884662534378	0.115337465622	0
S10559	0	0.882062069938	0.117937930062	0
S1056	0	0.885045354949	0.114954645051	0
S10563	0	0.882001348248	0.117998651752	0
S10574	0	0.884468888027	0.115531111973	0
S10576	0	0.882464695134	0.117535304866	0
S10578	0	0.881202384344	0.118797615656	0
S10579	0	0.88340960507	0.11659039493	0
S10582	0	0.88230803326	0.11769196674	0
S1059	0	0.881939453785	0.118060546215	0
S10599	0	0.881648709691	0.118351290309	0
S10611	0	0.883367183969	0.116632816031	0
S10614	0	0.879833203097	0.120166796903	0
S10624	0	0.88348322233	0.11651677767	0
S10632	0	0.88286656034	0.11713343966	0
S10634	0	0.884963507879	0.115036492121	0
S10638	0	0.880785851808	0.119214148192	0
S10644	0	0.884811843486	0.115188156514	0
S10649	0	0.88250831172	0.11749168828	0
S10652	0	0.88164651013	0.11835348987	0
S10654	0	0.884058965952	0.115941034048	0
S10655	0	0.88348524033	0.11651475967	0
S10656	0	0.884868246687	0.115131753313	0
S10657	0	0.881091425065	0.118908574935	0
S10658	0	0.884964011762	0.115035988238	0
S10660	0	0.885861312693	0.114138687307	0
S10661	0	0.885509066204	0.114490933796	0
S10676	0	0.880917415171	0.119082584829	0
S1068	0	0.884085505994	0.115914494006	0
S10681	0	0.883690901914	0.116309098086	0
S10686	0	0.88236723222	0.11763276778	0
S10688	0	0.883861741923	0.116138258077	0
S10690	0	0.88126024029	0.11873975971	0
S10698	0	0.884490215719	0.115509784281	0
S107	0	0.885314722249	0.114685277751	0
S10703	0	0.885041794361	0.114958205639	0
S10726	0	0.884457289913	0.115542710087	0
S10729	0	0.881986346626	0.118013653374	0
S10733	0	0.88340617836	0.11659382164	0
S10734	0	0.884237042191	0.115762957809	0
S10735	0	0.88283767332	0.11716232668	0
S10740	0	0.879334329384	0.120665670616	0
S10745	0	0.880433631161	0.119566368839	0
S10748	0	0.882766954044	0.117233045956	0
S10753	0	0.879973494051	0.120026505949	0
S10756	0	0.883542333619	0.116457666381	0
S10757	0	0.887151939995	0.112848060005	0
S1076	0	0.88199341756	0.11800658244	0
S10764	0	0.881747677245	0.118252322755	0
S10767	0	0.886015002003	0.113984997997	0
S10776	0	0.881238435303	0.118761564697	0
S10778	0	0.882587526888	0.117412473112	0
S10784	0	0.879691690676	0.120308309324	0
S10787	0	0.883417684593	0.116582315407	0
S10800	0	0.883512713784	0.116487286216	0
S10805	0	0.881188486018	0.118811513982	0
S10813	0	0.882055777902	0.117944222098	0
S10814	0	0.882650188936	0.117349811064	0
S10815	0	0.883980163481	0.116019836519	0
S10817	0	0.885163861957	0.114836138043	0
S1083	0	0.884503472236	0.115496527764	0
S10835	0	0.880822354241	0.119177645759	0
S10838	0	0.883503535088	0.116496464912	0
S10844	0	0.885155076959	0.114844923041	0
S10845	0	0.88188954725	0.11811045275	0
S10846	0	0.886455704128	0.113544295872	0
S10853	0	0.881675073913	0.118324926087	0
S10854	0	0.885668565088	0.114331434912	0
S10865	0	0.882077674297	0.117922325703	0
S10866	0	0.882503668278	0.117496331722	0
S10869	0	0.87888947671	0.12111052329	0
S10873	0	0.881558932897	0.118441067103	0
S10876	0	0.884665133935	0.115334866065	0
S10883	0	0.882010232701	0.117989767299	0
S10885	0	0.881506787573	0.118493212427	0
S10893	0	0.88235048773	0.11764951227	0
S10895	0	0.880825936837	0.119174063163	0
S10902	0	0.88501888083	0.11498111917	0
S10903	0	0.882713477052	0.117286522948	0
S1092	0	0.881675732961	0.118324267039	0
S10925	0	0.883292486742	0.116707513258	0
S10927	0	0.880785686889	0.119214313111	0
S10936	0	0.884271638108	0.115728361892	0
S10945	0	0.880501846377	0.119498153623	0
S10947	0	0.883354721622	0.116645278378	0
S10949	0	0.886578723837	0.113421276163	0
S1095	0	0.881568380062	0.118431619938	0
S10961	0	0.881557296925	0.118442703075	0
S10969	0	0.884098842824	0.115901157176	0
S10972	0	0.880989131136	0.119010868864	0
S10973	0	0.880551068257	0.119448931743	0
S10978	0	0.882816179758	0.117183820242	0
S10979	0	0.883444423688	0.116555576312	0
S10986	0	0.881317917526	0.118682082474	0
S10989	0	0.88441025826	0.11558974174	0
S10995	0	0.883005122168	0.116994877832	0
S11005	0	0.883823135642	0.116176864358	0
S11008	0	0.883608732974	0.116391267026	0
S11010	0	0.885920758154	0.114079241846	0
S11013	0	0.882424330791	0.117575669209	0
S11016	0	0.883437879663	0.116562120337	0
S11017	0	0.880008189196	0.119991810804	0
S11020	0	0.880940166096	0.119059833904	0
S11027	0	0.881364453854	0.118635546146	0
S11035	0	0.88373588666	0.11626411334	0
S11041	0	0.884359602519	0.115640397481	0
S1106	0	0.883549836942	0.116450163058	0
S11071	0	0.886781564897	0.113218435103	0
S11076	0	0.883793531173	0.116206468827	0
S11078	0	0.882420944967	0.117579055033	0
S11081	0	0.882661019566	0.117338980434	0
S11086	0	0.882464316976	0.117535683024	0
S1109	0	0.879269906723	0.120730093277	0
S11096	0	0.879773727332	0.120226272668	0
S11100	0	0.882917619012	0.117082380988	0
S11107	0	0.882388391499	0.117611608501	0
S11109	0	0.881492622014	0.118507377986	0
S1111	0	0.886376104354	0.113623895646	0
S11119	0	0.882992390626	0.117007609374	0
S11127	0	0.885055954042	0.114944045958	0
S11136	0	0.884421480512	0.115578519488	0
S11147	0	0.883473216804	0.116526783196	0
S11150	0	0.882949946802	0.117050053198	0
S11152	0	0.881899346739	0.118100653261	0
S1116	0	0.885039318055	0.114960681945	0
S11163	0	0.885649219555	0.114350780445	0
S11164	0	0.880866978765	0.119133021235	0
S11166	0	0.8822205487	0.1177794513	0
S11173	0	0.883782140885	0.116217859115	0
S11174	0	0.885191009601	0.114808990399	0
S11182	0	0.884185083833	0.115814916167	0
S11188	0	0.88198529693	0.11801470307	0
S11189	0	0.882795070693	0.117204929307	0
S1119	0	0.886420684363	0.113579315637	0
S11195	0	0.883305379339	0.116694620661	0
S11197	0	0.885186598894	0.114813401106	0
S11198	0	0.879065853539	0.120934146461	0
S11211	0	0.881535197699	0.118464802301	0
S11214	0	0.884854960741	0.115145039259	0
S11216	0	0.881029667247	0.118970332753	0
S11224	0	0.883080521683	0.116919478317	0
S11236	0	0.882200485945	0.117799514055	0
S11241	0	0.883374501605	0.116625498395	0
S11243	0	0.882563755463	0.117436244537	0
S11245	0	0.881898443947	0.118101556053	0
S11249	0	0.881423827152	0.118576172848	0
S11274	0	0.881184098059	0.118815901941	0
S11280	0	0.883594122735	0.116405877265	0
S11281	0	0.882515341641	0.117484658359	0
S11285	0	0.882599728666	0.117400271334	0
S11298	0	0.883133003087	0.116866996913	0
S11311	0	0.883788950336	0.116211049664	0
S11312	0	0.881550888719	0.118449111281	0
S11316	0	0.883586249965	0.116413750035	0
S1133	0	0.884079689575	0.115920310425	0
S11330	0	0.88323065724	0.11676934276	0
S11332	0	0.886264130755	0.113735869245	0
S11334	0	0.883140724728	0.116859275272	0
S11335	0	0.881291865684	0.118708134316	0
S11345	0	0.88134003816	0.11865996184	0
S11349	0	0.881878274583	0.118121725417	0
S1135	0	0.880867596948	0.119132403052	0
S11352	0	0.879696317403	0.120303682597	0
S11353	0	0.881366420511	0.118633579489	0
S11368	0	0.882289069761	0.117710930239	0
S11369	0	0.881643532839	0.118356467161	0
S11371	0	0.883845846837	0.116154153163	0
S11377	0	0.8802054283	0.1197945717	0
S11378	0	0.884980738805	0.115019261195	0
S11383	0	0.88491540466	0.11508459534	0
S11384	0	0.886458457073	0.113541542927	0
S11392	0	0.883122758224	0.116877241776	0
S1140	0	0.882472688589	0.117527311411	0
S11410	0	0.882110966123	0.117889033877	0
S11411	0	0.884262129602	0.115737870398	0
S11414	0	0.88351431426	0.11648568574	0
S11419	0	0.881674682564	0.118325317436	0
S11424	0	0.884583970923	0.115416029077	0
S11425	0	0.884184227478	0.115815772522	0
S11433	0	0.881320677034	0.118679322966	0
S11434	0	0.884520069526	0.115479930474	0
S11436	0	0.880509306431	0.119490693569	0
S11437	0	0.885837932148	0.114162067852	0
S11440	0	0.880270736797	0.119729263203	0
S11449	0	0.8860721067	0.1139278933	0
S11459	0	0.884048142612	0.115951857388	0
S11477	0	0.881659346678	0.118340653322	0
S11480	0	0.882158884566	0.117841115434	0
S11486	0	0.884914561488	0.115085438512	0
S11501	0	0.881906546934	0.118093453066	0
S11504	0	0.884334832071	0.115665167929	0
S11507	0	0.886755400729	0.113244599271	0
S11518	0	0.882285304638	0.117714695362	0
S11525	0	0.885123435313	0.114876564687	0
S11531	0	0.882192800924	0.117807199076	0
S11532	0	0.884508865992	0.115491134008	0
S1154	0	0.884258703976	0.115741296024	0
S11542	0	0.88245212598	0.11754787402	0
S11543	0	0.881840350053	0.118159649947	0
S11546	0	0.881909595393	0.118090404607	0
S1155	0	0.879792726939	0.120207273061	0
S1156	0	0.88877601788	0.11122398212	0
S11568	0	0.88223790425	0.11776209575	0
S11576	0	0.885240513754	0.114759486246	0
S11584	0	0.88126378634	0.11873621366	0
S11586	0	0.882413368433	0.117586631567	0
S11590	0	0.882175383056	0.117824616944	0
S11592	0	0.884304473359	0.115695526641	0
S11593	0	0.882955643499	0.117044356501	0
S11599	0	0.881386653418	0.118613346582	0
S1160	0	0.884959835139	0.115040164861	0
S11610	0	0.882304961507	0.117695038493	0
S11615	0	0.882401786543	0.117598213457	0
S11629	0	0.883726403642	0.116273596358	0
S11631	0	0.884456908433	0.115543091567	0
S1164	0	0.882707367542	0.117292632458	0
S11642	0	0.880168796467	0.119831203533	0
S11656	0	0.881511102299	0.118488897701	0
S11663	0	0.883655366532	0.116344633468	0
S11667	0	0.881260293663	0.118739706337	0
S11668	0	0.883225970494	0.116774029506	0
S1167	0	0.883231115194	0.116768884806	0
S11673	0	0.881990789397	0.118009210603	0
