	Neutrophils	Lymphocyte	Monocytes	Other
S10001	0.0434078488268	0.833005549441	0.123586601732	0
S10006	0.0435357196138	0.834772313176	0.121691967211	0
S1001	0.043295756526	0.832726384169	0.123977859305	0
S10010	0.0456035884204	0.828987127377	0.125409284203	0
S10011	0.0429734448941	0.833991748295	0.123034806811	0
S10014	0.043276690087	0.832842383792	0.123880926121	0
S10026	0.0442256388827	0.832891189411	0.122883171707	0
S10032	0.0435723330602	0.828845923108	0.127581743832	0
S10036	0.043718852002	0.835466668324	0.120814479674	0
S10042	0.0441404825358	0.832473954933	0.123385562531	0
S10044	0.0444377501103	0.833749115037	0.121813134852	0
S10049	0.0431422192164	0.834783246511	0.122074534273	0
S10057	0.0409741438401	0.838109085085	0.120916771075	0
S10062	0.0433854213155	0.831751462255	0.12486311643	0
S10066	0.0458160681945	0.82844558152	0.125738350286	0
S10067	0.0423252882316	0.83691572966	0.120758982108	0
S1007	0.0427017326319	0.834880039587	0.122418227781	0
S10073	0.0430213453537	0.836255206986	0.12072344766	0
S10077	0.0425848056416	0.831800970847	0.125614223512	0
S10080	0.0433846127493	0.831653463374	0.124961923877	0
S10082	0.0432435086725	0.835154740871	0.121601750456	0
S10087	0.0424918193735	0.833928090105	0.123580090522	0
S10089	0.0434091290143	0.834093757027	0.122497113959	0
S1009	0.0412452914526	0.839091833289	0.119662875259	0
S10090	0.043630499834	0.834355376725	0.122014123441	0
S10093	0.043084238097	0.834341041171	0.122574720732	0
S10094	0.0441490438469	0.830140249059	0.125710707094	0
S1010	0.0424764649678	0.83367018083	0.123853354202	0
S10111	0.0427533984253	0.835808601444	0.121438000131	0
S10116	0.0399242044905	0.839853249837	0.120222545672	0
S10119	0.0421288701903	0.837181867451	0.120689262359	0
S10121	0.0432364614965	0.83407810087	0.122685437633	0
S10130	0.0439642284111	0.83206389023	0.123971881359	0
S10140	0.0456490330706	0.828741342226	0.125609624703	0
S10142	0.041319280808	0.835682442442	0.12299827675	0
S10150	0.0459695220649	0.828891875463	0.125138602472	0
S10155	0.0427096611899	0.834915321563	0.122375017247	0
S1016	0.04306371876	0.833539766241	0.123396514999	0
S10163	0.0433149483233	0.833541112625	0.123143939051	0
S10167	0.0428572812172	0.835742194867	0.121400523916	0
S10168	0.0419356913881	0.837650906873	0.120413401739	0
S10173	0.0417422585726	0.83917890614	0.119078835287	0
S10175	0.0438629882319	0.832717580941	0.123419430827	0
S10179	0.0422574173784	0.835803145937	0.121939436684	0
S10186	0.0395778446976	0.838137831825	0.122284323477	0
S1019	0.0419391060693	0.834561708757	0.123499185173	0
S10190	0.0428610486314	0.834927356104	0.122211595265	0
S10195	0.044447204418	0.831687992759	0.123864802823	0
S10196	0.0436723532271	0.832854655711	0.123472991061	0
S10200	0.0441273214273	0.830372532366	0.125500146207	0
S10201	0.0463134805727	0.828796261313	0.124890258115	0
S10202	0.0430704080368	0.833757339679	0.123172252285	0
S10205	0.0440975581686	0.835319720386	0.120582721445	0
S10211	0.0426116949603	0.835222919436	0.122165385604	0
S10221	0.0436533481851	0.834097763406	0.122248888409	0
S10222	0.0440280403075	0.833024858542	0.122947101151	0
S10226	0.0436723112076	0.833384081842	0.12294360695	0
S10227	0.0440806952934	0.831402510616	0.12451679409	0
S10228	0.0433099469	0.834339268236	0.122350784864	0
S10232	0.040432896946	0.841099016134	0.11846808692	0
S10248	0.0437752343363	0.836592484001	0.119632281663	0
S10249	0.04540108638	0.824815809885	0.129783103735	0
S1025	0.0422700817016	0.834592052304	0.123137865994	0
S10266	0.044058045205	0.831820629778	0.124121325017	0
S10269	0.0435727511197	0.833635449345	0.122791799535	0
S10272	0.0443526876234	0.833225361774	0.122421950603	0
S10273	0.0438346833193	0.833047762939	0.123117553742	0
S10274	0.0439142862171	0.832834973672	0.123250740111	0
S1028	0.0444582359629	0.83253735151	0.123004412527	0
S10280	0.0429551007225	0.831994988135	0.125049911142	0
S10283	0.0413765073947	0.835508853325	0.12311463928	0
S1029	0.0428747456389	0.834206346602	0.122918907759	0
S10292	0.0417436078536	0.838459448525	0.119796943621	0
S10294	0.042452798722	0.836490529958	0.12105667132	0
S10302	0.0430771290099	0.834894637939	0.122028233051	0
S10303	0.0428413071475	0.834020420449	0.123138272404	0
S10323	0.0430742638405	0.834310623414	0.122615112745	0
S10326	0.0438151768709	0.831093781503	0.125091041626	0
S10328	0.0424502274146	0.83728370447	0.120266068116	0
S10329	0.0426615604076	0.834842067287	0.122496372306	0
S10336	0.0432570941745	0.832452292843	0.124290612983	0
S10340	0.0435396947886	0.835754528843	0.120705776369	0
S10347	0.0419421088283	0.836440996824	0.121616894348	0
S10353	0.0431467034705	0.833274290839	0.123579005691	0
S10356	0.0420684670864	0.835768014101	0.122163518813	0
S10358	0.0441194939554	0.831152098297	0.124728407748	0
S10365	0.0439385139248	0.831570252425	0.12449123365	0
S1037	0.040554067242	0.8407329108	0.118713021958	0
S10373	0.0424088172992	0.835692362273	0.121898820428	0
S10374	0.0426906636572	0.834788666189	0.122520670154	0
S10375	0.0441228182475	0.832223380261	0.123653801491	0
S10377	0.0414128799732	0.837689850972	0.120897269055	0
S10378	0.0434683183597	0.835071163041	0.121460518599	0
S10390	0.0420032880167	0.836699727695	0.121296984289	0
S10391	0.0420989221846	0.833652876442	0.124248201373	0
